#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","1.0342951,","9.892841,",-0.7374141,-,stairs,down,-,(including,gravity).
#datetime:,28/05/2013,11:32:23,-0.7374141,-,stairs,down,-,(including,gravity).
##########################################,"1.0342951,","9.892841,",-0.7374141,-,stairs,down,-,(including,gravity).
#activity:,6,-,stn,-,stairs,down,-,10s,gravity).
#subject,id:,5,-0.7374141,-,stairs,down,-,(including,gravity).
#first,name:,sub5,-0.7374141,-,stairs,down,-,(including,gravity).
#last,name:,sub5,-0.7374141,-,stairs,down,-,(including,gravity).
#age:,36,"9.892841,",-0.7374141,-,stairs,down,-,(including,gravity).
#height(cm):,160,"9.892841,",-0.7374141,-,stairs,down,-,(including,gravity).
#weight(kg):,50,"9.892841,",-0.7374141,-,stairs,down,-,(including,gravity).
#gender:,female,"9.892841,",-0.7374141,-,stairs,down,-,(including,gravity).
"1596553263000,","0.22984336,","7.192182,",1.8195933,-,stairs,down,-,(including,gravity).
"1596562364000,","0.25857377,","7.335834,",1.982399,-,stairs,down,-,(including,gravity).
"1596573250000,","0.30645782,","7.5465236,",2.0685902,-,stairs,down,-,(including,gravity).
"1596582438000,","0.34476504,","7.690176,",2.087744,-,stairs,down,-,(including,gravity).
"1596592567000,","0.31603462,","7.7189064,",1.8770541,-,stairs,down,-,(including,gravity).
"1596603196000,","0.2681506,","7.5944076,",1.6663644,-,stairs,down,-,(including,gravity).
"1596615762000,","0.18195933,","7.3166804,",1.5514427,-,stairs,down,-,(including,gravity).
"1596626126000,","0.17238252,","6.933608,",1.5514427,-,stairs,down,-,(including,gravity).
"1596637265000,","0.18195933,","6.742072,",1.7621324,-,stairs,down,-,(including,gravity).
"1596646319000,","0.2777274,","6.8282633,",2.1452048,-,stairs,down,-,(including,gravity).
"1596657005000,","0.4309563,","7.2783732,",2.5474305,-,stairs,down,-,(including,gravity).
"1596667082000,","0.41180268,","7.8625584,",2.920926,-,stairs,down,-,(including,gravity).
"1596678495000,","0.22984336,","8.331821,",3.1890767,-,stairs,down,-,(including,gravity).
"1596691670000,","-0.29688102,","8.532935,",3.1890767,-,stairs,down,-,(including,gravity).
"1596703028000,","-0.37349546,","8.322245,",3.0262709,-,stairs,down,-,(including,gravity).
"1596713113000,","-0.32561144,","8.226477,",2.8060043,-,stairs,down,-,(including,gravity).
"1596722338000,","-0.16280572,","8.255207,",2.6623523,-,stairs,down,-,(including,gravity).
"1596732358000,","0.06703765,","8.619126,",2.6623523,-,stairs,down,-,(including,gravity).
"1596742561000,","0.41180268,","9.251195,",2.7485435,-,stairs,down,-,(including,gravity).
"1596753307000,","0.63206923,","9.873688,",3.0933087,-,stairs,down,-,(including,gravity).
"1596762910000,","0.78529817,","10.70687,",3.6296098,-,stairs,down,-,(including,gravity).
"1596774443000,","0.7469909,","11.358093,",4.0414124,-,stairs,down,-,(including,gravity).
"1596784758000,","0.4309563,","11.492168,",4.060566,-,stairs,down,-,(including,gravity).
"1596808712000,","-0.11492168,","8.350976,",2.3558946,-,stairs,down,-,(including,gravity).
"1596818675000,","0.60333884,","8.475474,",1.3694834,-,stairs,down,-,(including,gravity).
"1596830627000,","1.283292,","9.739613,",1.1013328,-,stairs,down,-,(including,gravity).
"1596855516000,","0.6512229,","12.74673,",-0.9864111,-,stairs,down,-,(including,gravity).
"1596865808000,","-0.009576807,","14.269443,",-2.4229321,-,stairs,down,-,(including,gravity).
"1596876519000,","0.46926352,","16.903065,",-1.1109096,-,stairs,down,-,(including,gravity).
"1596886635000,","1.5610195,","18.224663,",0.047884032,-,stairs,down,-,(including,gravity).
"1596896510000,","0.30645782,","18.885464,",1.091756,-,stairs,down,-,(including,gravity).
"1596907972000,","-3.1794999,","17.324444,",1.2641385,-,stairs,down,-,(including,gravity).
"1596919914000,","-5.0661306,","12.928689,",0.7086837,-,stairs,down,-,(including,gravity).
"1596931038000,","-4.7979803,","9.14585,",0.6607997,-,stairs,down,-,(including,gravity).
"1596941843000,","-3.9360676,","6.4643445,",0.6991069,-,stairs,down,-,(including,gravity).
"1596953380000,","-2.834735,","5.4300494,",0.4405331,-,stairs,down,-,(including,gravity).
"1596966123000,","-1.2066777,","6.8761473,",-1.6472107,-,stairs,down,-,(including,gravity).
"1596977231000,","-0.36391866,","8.523358,",-1.5801731,-,stairs,down,-,(including,gravity).
"1596987495000,","0.38307226,","9.892841,",-1.1492168,-,stairs,down,-,(including,gravity).
"1596996860000,","0.5554548,","10.70687,",-0.89064306,-,stairs,down,-,(including,gravity).
"1597007677000,","0.2873042,","10.754754,",-0.8523358,-,stairs,down,-,(including,gravity).
"1597017196000,","0.06703765,","10.43872,",-0.8619126,-,stairs,down,-,(including,gravity).
"1597031289000,","-0.10534488,","10.333375,",-0.7374141,-,stairs,down,-,(including,gravity).
"1597041389000,","-0.45010993,","10.5919485,",-0.61291564,-,stairs,down,-,(including,gravity).
"1597053165000,","-0.90979666,","10.927136,",-0.45968673,-,stairs,down,-,(including,gravity).
"1597062759000,","-1.4269443,","10.716447,",0.6607997,-,stairs,down,-,(including,gravity).
"1597072647000,","-1.3215994,","10.362105,",1.436521,-,stairs,down,-,(including,gravity).
"1597083513000,","-1.1492168,","9.873688,",1.9249382,-,stairs,down,-,(including,gravity).
"1597097679000,","-1.1683705,","9.346964,",1.9440918,-,stairs,down,-,(including,gravity).
"1597107705000,","-1.2354081,","8.848969,",1.5227122,-,stairs,down,-,(including,gravity).
"1597117109000,","-1.2545617,","8.475474,",1.0821792,-,stairs,down,-,(including,gravity).
"1597128365000,","-1.1875241,","8.283937,",0.8523358,-,stairs,down,-,(including,gravity).
"1597139140000,","-1.340753,","8.293514,",0.6703765,-,stairs,down,-,(including,gravity).
"1597148475000,","-1.5801731,","8.197746,",0.61291564,-,stairs,down,-,(including,gravity).
"1597160918000,","-1.8674773,","7.699753,",0.49799395,-,stairs,down,-,(including,gravity).
"1597171687000,","-1.8195933,","7.489063,",0.58418524,-,stairs,down,-,(including,gravity).
"1597181108000,","-1.6376339,","7.431602,",0.7086837,-,stairs,down,-,(including,gravity).
"1597192662000,","-1.4077905,","7.6135616,",0.7374141,-,stairs,down,-,(including,gravity).
"1597202984000,","-1.1300632,","7.9391727,",0.78529817,-,stairs,down,-,(including,gravity).
"1597216836000,","-0.89064306,","8.437167,",0.9576807,-,stairs,down,-,(including,gravity).
"1597231955000,","-0.5363012,","9.241618,",1.4460979,-,stairs,down,-,(including,gravity).
"1597241871000,","-0.51714754,","9.203311,",1.7812861,-,stairs,down,-,(including,gravity).
"1597252269000,","-0.8523358,","8.8777,",1.6280571,-,stairs,down,-,(including,gravity).
"1597262328000,","-1.3311762,","8.42759,",1.2545617,-,stairs,down,-,(including,gravity).
"1597272547000,","-1.982399,","7.8912888,",0.842759,-,stairs,down,-,(including,gravity).
"1597282456000,","-2.6527755,","7.3166804,",0.62249243,-,stairs,down,-,(including,gravity).
"1597292609000,","-2.9879637,","6.799533,",0.9672575,-,stairs,down,-,(including,gravity).
"1597302829000,","-2.633622,","6.3302693,",1.7812861,-,stairs,down,-,(including,gravity).
"1597315979000,","-2.1930888,","5.592855,",2.2601264,-,stairs,down,-,(including,gravity).
"1597327947000,","-1.9536686,","5.257667,",0.8331822,-,stairs,down,-,(including,gravity).
"1597340837000,","-1.3215994,","5.5737014,",0.40222588,-,stairs,down,-,(including,gravity).
"1597353071000,","-0.7374141,","6.2345014,",0.38307226,-,stairs,down,-,(including,gravity).
"1597364232000,","-0.59376204,","6.8282633,",0.59376204,-,stairs,down,-,(including,gravity).
"1597376722000,","-0.8810662,","7.469909,",0.6703765,-,stairs,down,-,(including,gravity).
"1597388707000,","-1.9632454,","8.619126,",1.2449849,-,stairs,down,-,(including,gravity).
"1597399306000,","-2.7964275,","8.66701,",1.532289,-,stairs,down,-,(including,gravity).
"1597411201000,","-3.5051112,","8.580819,",1.8579005,-,stairs,down,-,(including,gravity).
"1597423566000,","-3.9935284,","8.331821,",2.2409728,-,stairs,down,-,(including,gravity).
"1597438460000,","-4.663905,","8.676587,",1.541866,-,stairs,down,-,(including,gravity).
"1597451524000,","-4.146757,","10.0269165,",1.1779473,-,stairs,down,-,(including,gravity).
"1597462580000,","-3.2465374,","12.440272,",0.78529817,-,stairs,down,-,(including,gravity).
"1597472945000,","-2.0973208,","15.399506,",0.6512229,-,stairs,down,-,(including,gravity).
"1597486600000,","1.3694834,","18.50239,",1.1109096,-,stairs,down,-,(including,gravity).
"1597497437000,","2.4133554,","18.310854,",1.3120226,-,stairs,down,-,(including,gravity).
"1597507124000,","2.27928,","16.634912,",1.9057846,-,stairs,down,-,(including,gravity).
"1597517320000,","1.8866309,","14.853627,",2.1452048,-,stairs,down,-,(including,gravity).
"1597528029000,","1.436521,","14.393941,",2.27928,-,stairs,down,-,(including,gravity).
"1597538268000,","0.90979666,","14.968549,",2.2505496,-,stairs,down,-,(including,gravity).
"1597550694000,","0.4405331,","16.041151,",2.1452048,-,stairs,down,-,(including,gravity).
"1597561997000,","0.35434186,","16.82645,",2.3080103,-,stairs,down,-,(including,gravity).
"1597572011000,","0.842759,","16.682798,",2.7102363,-,stairs,down,-,(including,gravity).
"1597581898000,","1.4460979,","16.108189,",3.3997664,-,stairs,down,-,(including,gravity).
"1597593006000,","1.5131354,","15.246277,",3.9073372,-,stairs,down,-,(including,gravity).
"1597604600000,","-0.2873042,","12.497733,",3.1603463,-,stairs,down,-,(including,gravity).
"1597615391000,","-1.3215994,","11.291056,",2.3463178,-,stairs,down,-,(including,gravity).
"1597626896000,","-1.6280571,","10.381259,",1.9536686,-,stairs,down,-,(including,gravity).
"1597636970000,","-1.340753,","9.548077,",1.8770541,-,stairs,down,-,(including,gravity).
"1597646985000,","-0.7278373,","8.762778,",1.9632454,-,stairs,down,-,(including,gravity).
"1597667263000,","0.48841715,","7.642292,",1.982399,-,stairs,down,-,(including,gravity).
"1597678993000,","0.6512229,","7.249643,",2.0207062,-,stairs,down,-,(including,gravity).
"1597690878000,","0.58418524,","6.8665705,",1.9153614,-,stairs,down,-,(including,gravity).
"1597700272000,","0.4405331,","6.397307,",1.8770541,-,stairs,down,-,(including,gravity).
"1597711705000,","0.23942018,","5.7365074,",1.9536686,-,stairs,down,-,(including,gravity).
"1597723029000,","-0.21068975,","4.510676,",2.030283,-,stairs,down,-,(including,gravity).
"1597734266000,","-0.35434186,","4.1371803,",2.2122424,-,stairs,down,-,(including,gravity).
"1597747824000,","-0.5650316,","3.9935284,",2.231396,-,stairs,down,-,(including,gravity).
"1597758264000,","-0.6895301,","4.4723687,",2.2122424,-,stairs,down,-,(including,gravity).
"1597770837000,","-0.7086837,","5.3247046,",2.3750482,-,stairs,down,-,(including,gravity).
"1597781903000,","-0.62249243,","6.435614,",2.767697,-,stairs,down,-,(including,gravity).
"1597792266000,","-0.6895301,","6.493075,",2.9017725,-,stairs,down,-,(including,gravity).
"1597807511000,","-0.80445176,","6.291962,",3.074155,-,stairs,down,-,(including,gravity).
"1597817089000,","-0.6799533,","5.9184666,",3.3327289,-,stairs,down,-,(including,gravity).
"1597827276000,","-0.49799395,","5.602432,",3.5338416,-,stairs,down,-,(including,gravity).
"1597838336000,","-0.40222588,","5.497087,",3.4763808,-,stairs,down,-,(including,gravity).
"1597847928000,","-0.37349546,","5.45878,",3.265691,-,stairs,down,-,(including,gravity).
"1597858663000,","-0.34476504,","5.6215854,",3.1603463,-,stairs,down,-,(including,gravity).
"1597870574000,","-0.45010993,","6.5984197,",2.5091233,-,stairs,down,-,(including,gravity).
"1597880927000,","-0.45968673,","7.2592196,",2.1739352,-,stairs,down,-,(including,gravity).
"1597890639000,","-0.545878,","7.9391727,",2.0973208,-,stairs,down,-,(including,gravity).
"1597901340000,","-0.6991069,","8.532935,",2.3558946,-,stairs,down,-,(including,gravity).
"1597910853000,","-0.82360536,","8.868123,",2.719813,-,stairs,down,-,(including,gravity).
"1597920827000,","-0.81402856,","9.040505,",3.1794999,-,stairs,down,-,(including,gravity).
"1597931500000,","-0.63206923,","9.279925,",3.6774938,-,stairs,down,-,(including,gravity).
"1597940976000,","-0.24899697,","9.548077,",3.8786068,-,stairs,down,-,(including,gravity).
"1597952148000,","0.15322891,","9.653421,",3.8115692,-,stairs,down,-,(including,gravity).
"1597961415000,","0.4405331,","9.528923,",3.7541082,-,stairs,down,-,(including,gravity).
"1597971817000,","0.50757074,","9.433155,",3.620033,-,stairs,down,-,(including,gravity).
"1597981813000,","0.4213795,","9.414001,",3.5625722,-,stairs,down,-,(including,gravity).
"1597992416000,","0.29688102,","9.490616,",3.6008794,-,stairs,down,-,(including,gravity).
"1598007557000,","0.20111294,","9.643845,",3.821146,-,stairs,down,-,(including,gravity).
"1598017073000,","-0.06703765,","10.036493,",4.1371803,-,stairs,down,-,(including,gravity).
"1598030435000,","-0.23942018,","10.1226845,",4.223372,-,stairs,down,-,(including,gravity).
"1598041265000,","-0.20111294,","10.218452,",4.1180267,-,stairs,down,-,(including,gravity).
"1598053449000,","0.16280572,","10.630256,",3.6870706,-,stairs,down,-,(including,gravity).
"1598064285000,","0.79487497,","11.520899,",3.2082303,-,stairs,down,-,(including,gravity).
"1598076614000,","1.292869,","13.302185,",3.0933087,-,stairs,down,-,(including,gravity).
"1598087505000,","1.4460979,","16.76899,",0.5650316,-,stairs,down,-,(including,gravity).
"1598097154000,","0.842759,","17.132908,",-0.32561144,-,stairs,down,-,(including,gravity).
"1598107698000,","0.12449849,","15.907076,",-1.2545617,-,stairs,down,-,(including,gravity).
"1598118820000,","-0.47884035,","14.15452,",-1.7908629,-,stairs,down,-,(including,gravity).
"1598131564000,","-0.8619126,","12.564771,",-1.8579005,-,stairs,down,-,(including,gravity).
"1598143023000,","-1.1971009,","11.329363,",-1.5610195,-,stairs,down,-,(including,gravity).
"1598152809000,","-1.436521,","10.266336,",-1.292869,-,stairs,down,-,(including,gravity).
"1598162848000,","-1.436521,","9.404425,",-1.1109096,-,stairs,down,-,(including,gravity).
"1598172679000,","-1.091756,","9.308656,",-0.30645782,-,stairs,down,-,(including,gravity).
"1598182647000,","-0.6895301,","10.28549,",0.641646,-,stairs,down,-,(including,gravity).
"1598193420000,","-0.6512229,","12.124237,",1.2449849,-,stairs,down,-,(including,gravity).
"1598203545000,","-1.1683705,","13.560759,",1.2641385,-,stairs,down,-,(including,gravity).
"1598215373000,","-2.1643584,","13.196839,",0.8619126,-,stairs,down,-,(including,gravity).
"1598225534000,","-2.3175871,","11.779472,",0.80445176,-,stairs,down,-,(including,gravity).
"1598236055000,","-2.3750482,","10.630256,",0.92895025,-,stairs,down,-,(including,gravity).
"1598245660000,","-2.327164,","9.758766,",0.90979666,-,stairs,down,-,(including,gravity).
"1598257137000,","-2.1643584,","9.308656,",0.90021986,-,stairs,down,-,(including,gravity).
"1598266315000,","-1.9057846,","8.983045,",0.7182605,-,stairs,down,-,(including,gravity).
"1598276759000,","-1.6759412,","8.695741,",0.5746084,-,stairs,down,-,(including,gravity).
"1598286877000,","-1.3503298,","8.561666,",0.62249243,-,stairs,down,-,(including,gravity).
"1598296573000,","-1.0055647,","8.513782,",0.51714754,-,stairs,down,-,(including,gravity).
"1598306781000,","-0.7374141,","8.590396,",0.45968673,-,stairs,down,-,(including,gravity).
"1598316990000,","-0.48841715,","8.628703,",0.4309563,-,stairs,down,-,(including,gravity).
"1598327072000,","-0.35434186,","8.494628,",0.47884035,-,stairs,down,-,(including,gravity).
"1598337599000,","-0.37349546,","8.24563,",0.51714754,-,stairs,down,-,(including,gravity).
"1598347259000,","-0.38307226,","7.881712,",0.6703765,-,stairs,down,-,(including,gravity).
"1598358457000,","-0.31603462,","7.5465236,",0.78529817,-,stairs,down,-,(including,gravity).
"1598368248000,","-0.22984336,","7.374141,",1.0630256,-,stairs,down,-,(including,gravity).
"1598379468000,","-0.22984336,","7.479486,",1.4077905,-,stairs,down,-,(including,gravity).
"1598389513000,","-0.34476504,","7.747637,",1.5610195,-,stairs,down,-,(including,gravity).
"1598400497000,","-0.60333884,","8.073248,",1.6567876,-,stairs,down,-,(including,gravity).
"1598411082000,","-0.9864111,","8.24563,",1.8387469,-,stairs,down,-,(including,gravity).
"1598420633000,","-0.9864111,","8.24563,",1.8387469,-,stairs,down,-,(including,gravity).
"1598431409000,","-0.7757214,","7.6614456,",1.7238252,-,stairs,down,-,(including,gravity).
"1598441453000,","-0.61291564,","7.2592196,",1.6184803,-,stairs,down,-,(including,gravity).
