#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-0.004886922,","0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#datetime:,03/07/2013,14:19:00,0.009773844,-,car,step-in,-,6s,(angular,velocity).
##########################################,"-0.004886922,","0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#activity:,8,-,csi,-,car,step-in,-,6s,(angular,velocity).
#subject,id:,10,0.009773844,-,car,step-in,-,6s,(angular,velocity).
#first,name:,sub10,0.009773844,-,car,step-in,-,6s,(angular,velocity).
#last,name:,sub10,0.009773844,-,car,step-in,-,6s,(angular,velocity).
#age:,26,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#height(cm):,170,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#weight(kg):,90,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
#gender:,female,"0.006414085,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539452220000,","-0.0021380284,","0.0729984,",0.0070249503,-,car,step-in,-,6s,(angular,velocity).
"3539457030000,","0.00580322,","0.0729984,",0.0070249503,-,car,step-in,-,6s,(angular,velocity).
"3539462099000,","0.012217305,","0.07513642,",0.005497787,-,car,step-in,-,6s,(angular,velocity).
"3539467117000,","0.0021380284,","0.0711658,",0.011911872,-,car,step-in,-,6s,(angular,velocity).
"3539474074000,","0.005497787,","0.070249505,",0.0070249503,-,car,step-in,-,6s,(angular,velocity).
"3539477325000,","-0.004581489,","0.08246681,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539482026000,","-0.0012217305,","0.087659165,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539487030000,","-0.0036651916,","0.0711658,",0.0027488936,-,car,step-in,-,6s,(angular,velocity).
"3539492087000,","-0.006414085,","0.0729984,",6.1086525e-4,-,car,step-in,-,6s,(angular,velocity).
"3539497085000,","-0.0076358155,","0.073303826,",0.009162978,-,car,step-in,-,6s,(angular,velocity).
"3539502055000,","-0.0067195175,","0.07971791,",0.0027488936,-,car,step-in,-,6s,(angular,velocity).
"3539507017000,","-0.01160644,","0.0711658,",0.002443461,-,car,step-in,-,6s,(angular,velocity).
"3539512030000,","-0.004276057,","0.06963864,",9.162979e-4,-,car,step-in,-,6s,(angular,velocity).
"3539517150000,","-0.014660766,","0.06566802,",-0.0018325958,-,car,step-in,-,6s,(angular,velocity).
"3539522049000,","-0.014049901,","0.07269296,",0.0061086523,-,car,step-in,-,6s,(angular,velocity).
"3539527252000,","-0.007941248,","0.06872234,",0.007330383,-,car,step-in,-,6s,(angular,velocity).
"3539532032000,","-0.0070249503,","0.06261369,",0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539537025000,","-0.004886922,","0.05375614,",0.01160644,-,car,step-in,-,6s,(angular,velocity).
"3539542096000,","-0.010079277,","0.04917465,",0.008552114,-,car,step-in,-,6s,(angular,velocity).
"3539547252000,","-0.009468411,","0.046120327,",0.012217305,-,car,step-in,-,6s,(angular,velocity).
"3539552120000,","0.0027488936,","0.040317107,",0.005497787,-,car,step-in,-,6s,(angular,velocity).
"3539557105000,","-0.01038471,","0.034513887,",0.013439035,-,car,step-in,-,6s,(angular,velocity).
"3539562100000,","-0.0067195175,","0.03726278,",0.00580322,-,car,step-in,-,6s,(angular,velocity).
"3539567100000,","-0.015271631,","0.03573562,",0.005192355,-,car,step-in,-,6s,(angular,velocity).
"3539572130000,","-0.014660766,","0.040317107,",0.0061086523,-,car,step-in,-,6s,(angular,velocity).
"3539577058000,","-0.015577064,","0.03573562,",0.004581489,-,car,step-in,-,6s,(angular,velocity).
"3539582051000,","-0.014660766,","0.04062254,",0.008552114,-,car,step-in,-,6s,(angular,velocity).
"3539587045000,","-0.01863139,","0.050396383,",0.0143553335,-,car,step-in,-,6s,(angular,velocity).
"3539592135000,","-0.014660766,","0.052839845,",0.013439035,-,car,step-in,-,6s,(angular,velocity).
"3539597042000,","-0.022602014,","0.055283304,",0.013439035,-,car,step-in,-,6s,(angular,velocity).
"3539602073000,","-0.023823744,","0.047036625,",0.0015271631,-,car,step-in,-,6s,(angular,velocity).
"3539607048000,","-0.02565634,","0.041233405,",0.005192355,-,car,step-in,-,6s,(angular,velocity).
"3539612929000,","-0.034513887,","0.039095376,",0.003970624,-,car,step-in,-,6s,(angular,velocity).
"3539617222000,","-0.029626964,","0.019242255,",-0.0021380284,-,car,step-in,-,6s,(angular,velocity).
"3539622065000,","-0.028710667,","0.0070249503,",-0.0070249503,-,car,step-in,-,6s,(angular,velocity).
"3539627026000,","-0.03023783,","0.006414085,",-0.0012217305,-,car,step-in,-,6s,(angular,velocity).
"3539632051000,","-0.03023783,","-0.0076358155,",0.0012217305,-,car,step-in,-,6s,(angular,velocity).
"3539637040000,","-0.03573562,","-0.01282817,",-0.0061086523,-,car,step-in,-,6s,(angular,velocity).
"3539642170000,","-0.03176499,","-0.0106901415,",-0.0067195175,-,car,step-in,-,6s,(angular,velocity).
"3539647021000,","-0.04062254,","-0.02107485,",-0.008857546,-,car,step-in,-,6s,(angular,velocity).
"3539652052000,","-0.040317107,","-0.0106901415,",-0.011911872,-,car,step-in,-,6s,(angular,velocity).
"3539657044000,","-0.043676864,","0.0070249503,",-0.007330383,-,car,step-in,-,6s,(angular,velocity).
"3539662053000,","-0.053450707,","0.02107485,",-0.015882496,-,car,step-in,-,6s,(angular,velocity).
"3539667039000,","-0.041233405,","0.042455133,",-0.018020526,-,car,step-in,-,6s,(angular,velocity).
"3539672094000,","-0.050396383,","0.052839845,",-0.019242255,-,car,step-in,-,6s,(angular,velocity).
"3539677243000,","-0.037873644,","0.079107046,",-0.01985312,-,car,step-in,-,6s,(angular,velocity).
"3539682055000,","-0.039095376,","0.1160644,",-0.02107485,-,car,step-in,-,6s,(angular,velocity).
"3539687205000,","-0.044593163,","0.14202617,",-0.030543262,-,car,step-in,-,6s,(angular,velocity).
"3539692063000,","-0.046731193,","0.16035213,",-0.03726278,-,car,step-in,-,6s,(angular,velocity).
"3539697076000,","-0.049480084,","0.19975294,",-0.03359759,-,car,step-in,-,6s,(angular,velocity).
"3539702048000,","-0.056199603,","0.22266038,",-0.03176499,-,car,step-in,-,6s,(angular,velocity).
"3539707009000,","-0.05375614,","0.25809056,",-0.036651913,-,car,step-in,-,6s,(angular,velocity).
"3539712034000,","-0.054367006,","0.28985557,",-0.03145956,-,car,step-in,-,6s,(angular,velocity).
"3539717066000,","-0.050701816,","0.29993483,",-0.02321288,-,car,step-in,-,6s,(angular,velocity).
"3539722125000,","-0.056505036,","0.3286455,",-0.029932396,-,car,step-in,-,6s,(angular,velocity).
"3539727110000,","-0.03970624,","0.3484986,",-0.028710667,-,car,step-in,-,6s,(angular,velocity).
"3539732046000,","-0.032375857,","0.35827246,",-0.01985312,-,car,step-in,-,6s,(angular,velocity).
"3539737023000,","-0.015577064,","0.36346483,",-0.019242255,-,car,step-in,-,6s,(angular,velocity).
"3539742078000,","-0.01038471,","0.36987892,",-0.021991149,-,car,step-in,-,6s,(angular,velocity).
"3539747040000,","-0.006414085,","0.3735441,",-0.01160644,-,car,step-in,-,6s,(angular,velocity).
"3539752105000,","-6.1086525e-4,","0.37934732,",-0.0021380284,-,car,step-in,-,6s,(angular,velocity).
"3539757037000,","0.0106901415,","0.38423425,",-0.0067195175,-,car,step-in,-,6s,(angular,velocity).
"3539762001000,","0.018325957,","0.3827071,",-0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3539767147000,","0.025961773,","0.38728857,",-0.013133603,-,car,step-in,-,6s,(angular,velocity).
"3539772150000,","0.04153884,","0.3912592,",-0.008857546,-,car,step-in,-,6s,(angular,velocity).
"3539777057000,","0.047036625,","0.3915646,",-0.011911872,-,car,step-in,-,6s,(angular,velocity).
"3539782210000,","0.059253927,","0.3930918,",-0.022602014,-,car,step-in,-,6s,(angular,velocity).
"3539787046000,","0.067500606,","0.40500367,",-0.025961773,-,car,step-in,-,6s,(angular,velocity).
"3539792078000,","0.07238753,","0.4089743,",-0.024740042,-,car,step-in,-,6s,(angular,velocity).
"3539797088000,","0.080634214,","0.42180246,",-0.02443461,-,car,step-in,-,6s,(angular,velocity).
"3539802063000,","0.0720821,","0.42943826,",-0.03481932,-,car,step-in,-,6s,(angular,velocity).
"3539807042000,","0.06627888,","0.43585235,",-0.03268129,-,car,step-in,-,6s,(angular,velocity).
"3539812037000,","0.06566802,","0.4392121,",-0.04184427,-,car,step-in,-,6s,(angular,velocity).
"3539817062000,","0.06872234,","0.44532076,",-0.042760566,-,car,step-in,-,6s,(angular,velocity).
"3539822065000,","0.061086524,","0.4605924,",-0.048563786,-,car,step-in,-,6s,(angular,velocity).
"3539827050000,","0.058337633,","0.46181414,",-0.044593163,-,car,step-in,-,6s,(angular,velocity).
"3539832059000,","0.04550946,","0.4615087,",-0.05100725,-,car,step-in,-,6s,(angular,velocity).
"3539837027000,","0.03726278,","0.46670106,",-0.050701816,-,car,step-in,-,6s,(angular,velocity).
"3539842105000,","0.042455133,","0.46944994,",-0.040927973,-,car,step-in,-,6s,(angular,velocity).
"3539847007000,","0.028710667,","0.4605924,",-0.046120327,-,car,step-in,-,6s,(angular,velocity).
"3539852053000,","0.0143553335,","0.462425,",-0.056199603,-,car,step-in,-,6s,(angular,velocity).
"3539857007000,","0.014049901,","0.46670106,",-0.05681047,-,car,step-in,-,6s,(angular,velocity).
"3539862029000,","0.005497787,","0.48075095,",-0.06872234,-,car,step-in,-,6s,(angular,velocity).
"3539867127000,","-0.004276057,","0.4908302,",-0.0693332,-,car,step-in,-,6s,(angular,velocity).
"3539872045000,","-0.009468411,","0.5015204,",-0.06566802,-,car,step-in,-,6s,(angular,velocity).
"3539877057000,","-0.035430185,","0.51893,",-0.06291912,-,car,step-in,-,6s,(angular,velocity).
"3539882034000,","-0.04795292,","0.5348125,",-0.08124508,-,car,step-in,-,6s,(angular,velocity).
"3539886999000,","-0.04550946,","0.55771995,",-0.070249505,-,car,step-in,-,6s,(angular,velocity).
"3539892126000,","-0.05681047,","0.57726765,",-0.07727446,-,car,step-in,-,6s,(angular,velocity).
"3539897071000,","-0.06352998,","0.5946773,",-0.07360926,-,car,step-in,-,6s,(angular,velocity).
"3539902213000,","-0.0720821,","0.6041457,",-0.07727446,-,car,step-in,-,6s,(angular,velocity).
"3539907061000,","-0.06414085,","0.6160576,",-0.076358154,-,car,step-in,-,6s,(angular,velocity).
"3539912050000,","-0.07086037,","0.6356053,",-0.07269296,-,car,step-in,-,6s,(angular,velocity).
"3539917189000,","-0.0720821,","0.6533204,",-0.06719518,-,car,step-in,-,6s,(angular,velocity).
"3539922037000,","-0.073303826,","0.6737844,",-0.070249505,-,car,step-in,-,6s,(angular,velocity).
"3539927134000,","-0.07819075,","0.68844515,",-0.06414085,-,car,step-in,-,6s,(angular,velocity).
"3539932094000,","-0.070554934,","0.7012733,",-0.06566802,-,car,step-in,-,6s,(angular,velocity).
"3539937036000,","-0.0711658,","0.713796,",-0.06291912,-,car,step-in,-,6s,(angular,velocity).
"3539942208000,","-0.07544186,","0.7180721,",-0.060170226,-,car,step-in,-,6s,(angular,velocity).
"3539947060000,","-0.065973446,","0.7296785,",-0.05467244,-,car,step-in,-,6s,(angular,velocity).
"3539952024000,","-0.057421334,","0.7415904,",-0.050701816,-,car,step-in,-,6s,(angular,velocity).
"3539957021000,","-0.046731193,","0.7467828,",-0.04428773,-,car,step-in,-,6s,(angular,velocity).
"3539962057000,","-0.050396383,","0.74372846,",-0.04550946,-,car,step-in,-,6s,(angular,velocity).
"3539967077000,","-0.0421497,","0.74189585,",-0.043982297,-,car,step-in,-,6s,(angular,velocity).
"3539972042000,","-0.04734206,","0.7360926,",-0.045814894,-,car,step-in,-,6s,(angular,velocity).
"3539977077000,","-0.03940081,","0.7199047,",-0.044593163,-,car,step-in,-,6s,(angular,velocity).
"3539982048000,","-0.04337143,","0.70554936,",-0.035430185,-,car,step-in,-,6s,(angular,velocity).
"3539987064000,","-0.04184427,","0.6948592,",-0.03573562,-,car,step-in,-,6s,(angular,velocity).
"3539992063000,","-0.062002823,","0.68111473,",-0.034513887,-,car,step-in,-,6s,(angular,velocity).
"3539997179000,","-0.059253927,","0.6600399,",-0.033292156,-,car,step-in,-,6s,(angular,velocity).
"3540002092000,","-0.07727446,","0.63621616,",-0.035430185,-,car,step-in,-,6s,(angular,velocity).
"3540007083000,","-0.08002335,","0.62796944,",-0.03634648,-,car,step-in,-,6s,(angular,velocity).
"3540012059000,","-0.09101892,","0.6078109,",-0.046731193,-,car,step-in,-,6s,(angular,velocity).
"3540017212000,","-0.10629055,","0.593761,",-0.04734206,-,car,step-in,-,6s,(angular,velocity).
"3540022047000,","-0.10751228,","0.593761,",-0.043982297,-,car,step-in,-,6s,(angular,velocity).
"3540027051000,","-0.11789699,","0.602924,",-0.03970624,-,car,step-in,-,6s,(angular,velocity).
"3540032048000,","-0.12217305,","0.60903263,",-0.03940081,-,car,step-in,-,6s,(angular,velocity).
"3540037051000,","-0.13316862,","0.6047566,",-0.03268129,-,car,step-in,-,6s,(angular,velocity).
"3540042067000,","-0.122478485,","0.5885687,",-0.029932396,-,car,step-in,-,6s,(angular,velocity).
"3540047070000,","-0.12736541,","0.5885687,",-0.024129177,-,car,step-in,-,6s,(angular,velocity).
"3540052028000,","-0.129198,","0.59620446,",-0.014966198,-,car,step-in,-,6s,(angular,velocity).
"3540057057000,","-0.12797627,","0.59131753,",-9.162979e-4,-,car,step-in,-,6s,(angular,velocity).
"3540062051000,","-0.124311075,","0.59528816,",0.011911872,-,car,step-in,-,6s,(angular,velocity).
"3540067070000,","-0.13439035,","0.60231316,",0.016187929,-,car,step-in,-,6s,(angular,velocity).
"3540072069000,","-0.1441642,","0.6001751,",0.024129177,-,car,step-in,-,6s,(angular,velocity).
"3540077203000,","-0.16157386,","0.57726765,",0.04337143,-,car,step-in,-,6s,(angular,velocity).
"3540082055000,","-0.17867808,","0.5491679,",0.061086524,-,car,step-in,-,6s,(angular,velocity).
"3540087053000,","-0.19364429,","0.51893,",0.07086037,-,car,step-in,-,6s,(angular,velocity).
"3540092151000,","-0.20158553,","0.4877759,",0.081855945,-,car,step-in,-,6s,(angular,velocity).
"3540097089000,","-0.20189096,","0.44318274,",0.08002335,-,car,step-in,-,6s,(angular,velocity).
"3540102063000,","-0.20433442,","0.37995818,",0.08460484,-,car,step-in,-,6s,(angular,velocity).
"3540107065000,","-0.19181168,","0.32803464,",0.0983493,-,car,step-in,-,6s,(angular,velocity).
"3540112040000,","-0.19364429,","0.28619036,",0.09101892,-,car,step-in,-,6s,(angular,velocity).
"3540117110000,","-0.19242255,","0.25350907,",0.08002335,-,car,step-in,-,6s,(angular,velocity).
"3540122920000,","-0.18478674,","0.23243423,",0.06688975,-,car,step-in,-,6s,(angular,velocity).
"3540127526000,","-0.18753563,","0.21135938,",0.055588737,-,car,step-in,-,6s,(angular,velocity).
"3540132046000,","-0.19517145,","0.22510384,",0.02687807,-,car,step-in,-,6s,(angular,velocity).
"3540137064000,","-0.20586158,","0.23548855,",0.016798794,-,car,step-in,-,6s,(angular,velocity).
"3540142067000,","-0.21380283,","0.2501493,",-0.0070249503,-,car,step-in,-,6s,(angular,velocity).
"3540147034000,","-0.22999077,","0.2657264,",-0.025045475,-,car,step-in,-,6s,(angular,velocity).
"3540152056000,","-0.23548855,","0.29779682,",-0.048563786,-,car,step-in,-,6s,(angular,velocity).
"3540157081000,","-0.2406809,","0.31764993,",-0.06872234,-,car,step-in,-,6s,(angular,velocity).
"3540162105000,","-0.23518312,","0.32895094,",-0.07788532,-,car,step-in,-,6s,(angular,velocity).
"3540167111000,","-0.22937989,","0.33383787,",-0.083383106,-,car,step-in,-,6s,(angular,velocity).
"3540172080000,","-0.21166481,","0.32284227,",-0.093462385,-,car,step-in,-,6s,(angular,velocity).
"3540177085000,","-0.1881465,","0.3136793,",-0.09254608,-,car,step-in,-,6s,(angular,velocity).
"3540182029000,","-0.16584991,","0.30665436,",-0.09010262,-,car,step-in,-,6s,(angular,velocity).
"3540187033000,","-0.14172074,","0.29260445,",-0.084910266,-,car,step-in,-,6s,(angular,velocity).
"3540192138000,","-0.12950343,","0.2773328,",-0.08032878,-,car,step-in,-,6s,(angular,velocity).
"3540197094000,","-0.12767084,","0.2770274,",-0.06566802,-,car,step-in,-,6s,(angular,velocity).
"3540201935000,","-0.112704635,","0.2733622,",-0.052839845,-,car,step-in,-,6s,(angular,velocity).
"3540206954000,","-0.11178834,","0.27580565,",-0.03848451,-,car,step-in,-,6s,(angular,velocity).
"3540211936000,","-0.113926366,","0.27458394,",-0.025961773,-,car,step-in,-,6s,(angular,velocity).
"3540216955000,","-0.10720685,","0.27947086,",-0.009773844,-,car,step-in,-,6s,(angular,velocity).
"3540221951000,","-0.11362094,","0.29565877,",0.00580322,-,car,step-in,-,6s,(angular,velocity).
"3540226939000,","-0.1151481,","0.3023783,",0.022296581,-,car,step-in,-,6s,(angular,velocity).
"3540231932000,","-0.10598512,","0.32406402,",0.025961773,-,car,step-in,-,6s,(angular,velocity).
"3540236915000,","-0.1001819,","0.3182608,",0.046120327,-,car,step-in,-,6s,(angular,velocity).
"3540242004000,","-0.09010262,","0.34147367,",0.06078109,-,car,step-in,-,6s,(angular,velocity).
"3540246937000,","-0.10415252,","0.35155296,",0.06627888,-,car,step-in,-,6s,(angular,velocity).
"3540251973000,","-0.100792766,","0.36743546,",0.07941248,-,car,step-in,-,6s,(angular,velocity).
"3540256981000,","-0.098043874,","0.36865717,",0.093462385,-,car,step-in,-,6s,(angular,velocity).
"3540262006000,","-0.11209377,","0.36743546,",0.105068825,-,car,step-in,-,6s,(angular,velocity).
"3540267018000,","-0.116980694,","0.36774087,",0.124005646,-,car,step-in,-,6s,(angular,velocity).
"3540272005000,","-0.121256754,","0.3549127,",0.13561209,-,car,step-in,-,6s,(angular,velocity).
"3540277003000,","-0.12889257,","0.32803464,",0.13744467,-,car,step-in,-,6s,(angular,velocity).
"3540281977000,","-0.14752395,","0.29779682,",0.15210545,-,car,step-in,-,6s,(angular,velocity).
"3540287012000,","-0.16065755,","0.25228736,",0.16035213,-,car,step-in,-,6s,(angular,velocity).
"3540292040000,","-0.17562376,","0.22235495,",0.1591304,-,car,step-in,-,6s,(angular,velocity).
"3540297030000,","-0.18142697,","0.19120082,",0.16737708,-,car,step-in,-,6s,(angular,velocity).
"3540302035000,","-0.1872302,","0.16707164,",0.17287487,-,car,step-in,-,6s,(angular,velocity).
"3540307079000,","-0.20280726,","0.1469131,",0.17104226,-,car,step-in,-,6s,(angular,velocity).
"3540312056000,","-0.22174409,","0.13897185,",0.17348573,-,car,step-in,-,6s,(angular,velocity).
"3540317381000,","-0.22479841,","0.14752395,",0.17470746,-,car,step-in,-,6s,(angular,velocity).
"3540322070000,","-0.2302962,","0.15118915,",0.17440203,-,car,step-in,-,6s,(angular,velocity).
"3540327074000,","-0.23762658,","0.15363261,",0.16432275,-,car,step-in,-,6s,(angular,velocity).
"3540332069000,","-0.23426682,","0.15118915,",0.16249016,-,car,step-in,-,6s,(angular,velocity).
"3540337055000,","-0.22296582,","0.16218472,",0.16493362,-,car,step-in,-,6s,(angular,velocity).
"3540342099000,","-0.20311269,","0.17134771,",0.16035213,-,car,step-in,-,6s,(angular,velocity).
