#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","0.00580322,","0.004276057,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#datetime:,05/07/2013,11:27:39,0.0067195175,-,back,sitting,chair,-,(angular,velocity).
##########################################,"0.00580322,","0.004276057,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#activity:,12,-,bsc,-,back,sitting,chair,-,10s,velocity).
#subject,id:,1,0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#first,name:,sub1,0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#last,name:,sub1,0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#age:,32,"0.004276057,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#height(cm):,180,"0.004276057,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#weight(kg):,85,"0.004276057,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
#gender:,male,"0.004276057,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
"2318614036000,","-0.0036651916,","-0.0033597588,",0.004886922,-,back,sitting,chair,-,(angular,velocity).
"2318619144000,","0.0033597588,","0.009468411,",0.009773844,-,back,sitting,chair,-,(angular,velocity).
"2318624081000,","-0.004276057,","0.0067195175,",0.007941248,-,back,sitting,chair,-,(angular,velocity).
"2318629049000,","-9.162979e-4,","0.003970624,",0.0070249503,-,back,sitting,chair,-,(angular,velocity).
"2318634055000,","3.0543262e-4,","0.002443461,",0.008246681,-,back,sitting,chair,-,(angular,velocity).
"2318639032000,","-0.0012217305,","-0.003970624,",0.010995574,-,back,sitting,chair,-,(angular,velocity).
"2318645166000,","0.01038471,","-0.002443461,",0.004581489,-,back,sitting,chair,-,(angular,velocity).
"2318649071000,","0.01160644,","0.00580322,",0.0018325958,-,back,sitting,chair,-,(angular,velocity).
"2318654141000,","0.007330383,","-0.0021380284,",0.0036651916,-,back,sitting,chair,-,(angular,velocity).
"2318659094000,","0.017104227,","-0.0021380284,",0.01160644,-,back,sitting,chair,-,(angular,velocity).
"2318664082000,","0.0143553335,","-3.0543262e-4,",0.007941248,-,back,sitting,chair,-,(angular,velocity).
"2318669080000,","0.0106901415,","0.004276057,",0.009773844,-,back,sitting,chair,-,(angular,velocity).
"2318674117000,","0.02076942,","-0.007941248,",0.012217305,-,back,sitting,chair,-,(angular,velocity).
"2318679054000,","0.014049901,","-0.005192355,",0.009162978,-,back,sitting,chair,-,(angular,velocity).
"2318684033000,","0.016493361,","0.0061086523,",0.012217305,-,back,sitting,chair,-,(angular,velocity).
"2318689002000,","0.013439035,","0.005192355,",0.016493361,-,back,sitting,chair,-,(angular,velocity).
"2318694079000,","0.0125227375,","0.0036651916,",0.004886922,-,back,sitting,chair,-,(angular,velocity).
"2318699112000,","0.014966198,","0.0061086523,",0.01160644,-,back,sitting,chair,-,(angular,velocity).
"2318704052000,","0.009468411,","0.0125227375,",0.012217305,-,back,sitting,chair,-,(angular,velocity).
"2318709000000,","0.01038471,","0.014049901,",0.011911872,-,back,sitting,chair,-,(angular,velocity).
"2318714915000,","0.007941248,","0.018936822,",0.015271631,-,back,sitting,chair,-,(angular,velocity).
"2318719103000,","0.006414085,","0.02443461,",0.014966198,-,back,sitting,chair,-,(angular,velocity).
"2318724061000,","0.013439035,","0.015577064,",0.013439035,-,back,sitting,chair,-,(angular,velocity).
"2318729041000,","0.007330383,","0.008246681,",0.011911872,-,back,sitting,chair,-,(angular,velocity).
"2318734024000,","0.008246681,","0.0143553335,",0.014966198,-,back,sitting,chair,-,(angular,velocity).
"2318739035000,","0.008246681,","0.008857546,",0.0143553335,-,back,sitting,chair,-,(angular,velocity).
"2318744051000,","0.008552114,","0.008552114,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
"2318749051000,","0.005497787,","-6.1086525e-4,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
"2318754004000,","0.0036651916,","-6.1086525e-4,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
"2318759018000,","0.007941248,","-6.1086525e-4,",0.008857546,-,back,sitting,chair,-,(angular,velocity).
"2318764051000,","0.005497787,","0.011301007,",0.0061086523,-,back,sitting,chair,-,(angular,velocity).
"2318769142000,","0.0027488936,","0.004276057,",0.00580322,-,back,sitting,chair,-,(angular,velocity).
"2318774059000,","0.00580322,","0.008857546,",0.010079277,-,back,sitting,chair,-,(angular,velocity).
"2318779038000,","0.0106901415,","0.017715093,",0.003970624,-,back,sitting,chair,-,(angular,velocity).
"2318784540000,","-9.162979e-4,","0.014049901,",0.010079277,-,back,sitting,chair,-,(angular,velocity).
"2318789037000,","0.010995574,","0.013439035,",0.0067195175,-,back,sitting,chair,-,(angular,velocity).
"2318794172000,","0.008552114,","0.02443461,",0.0018325958,-,back,sitting,chair,-,(angular,velocity).
"2318799041000,","-0.0033597588,","0.015577064,",0.007941248,-,back,sitting,chair,-,(angular,velocity).
"2318804039000,","0.0027488936,","0.0143553335,",0.007330383,-,back,sitting,chair,-,(angular,velocity).
"2318809082000,","0.0070249503,","0.024740042,",-0.00580322,-,back,sitting,chair,-,(angular,velocity).
"2318814028000,","-0.00580322,","0.025350908,",0.0018325958,-,back,sitting,chair,-,(angular,velocity).
"2318819061000,","-0.003970624,","0.025961773,",0.0036651916,-,back,sitting,chair,-,(angular,velocity).
"2318824057000,","-9.162979e-4,","0.02687807,",0.0033597588,-,back,sitting,chair,-,(angular,velocity).
"2318829039000,","-0.008552114,","0.023823744,",0.007941248,-,back,sitting,chair,-,(angular,velocity).
"2318834068000,","-0.0143553335,","0.0290161,",0.010079277,-,back,sitting,chair,-,(angular,velocity).
"2318839024000,","-0.009162978,","0.024129177,",0.0106901415,-,back,sitting,chair,-,(angular,velocity).
"2318844051000,","-0.004276057,","0.025350908,",0.014966198,-,back,sitting,chair,-,(angular,velocity).
"2318849095000,","0.008246681,","0.028405234,",0.01863139,-,back,sitting,chair,-,(angular,velocity).
"2318854289000,","0.015882496,","0.032070424,",0.020158553,-,back,sitting,chair,-,(angular,velocity).
"2318859029000,","0.018020526,","0.030848695,",0.026267206,-,back,sitting,chair,-,(angular,velocity).
"2318864019000,","0.016493361,","0.026572637,",0.017715093,-,back,sitting,chair,-,(angular,velocity).
"2318869087000,","0.018020526,","0.03390302,",0.02321288,-,back,sitting,chair,-,(angular,velocity).
"2318874118000,","0.040927973,","0.040317107,",0.018020526,-,back,sitting,chair,-,(angular,velocity).
"2318879233000,","0.048563786,","0.02565634,",0.020158553,-,back,sitting,chair,-,(angular,velocity).
"2318884035000,","0.058643065,","0.025045475,",0.022296581,-,back,sitting,chair,-,(angular,velocity).
"2318888998000,","0.059864793,","0.038789943,",0.027794369,-,back,sitting,chair,-,(angular,velocity).
"2318894173000,","0.07391469,","0.029932396,",0.033292156,-,back,sitting,chair,-,(angular,velocity).
"2318899025000,","0.09254608,","0.020158553,",0.03176499,-,back,sitting,chair,-,(angular,velocity).
"2318904033000,","0.095294975,","0.027488936,",0.032375857,-,back,sitting,chair,-,(angular,velocity).
"2318909029000,","0.093767814,","0.028099801,",0.03268129,-,back,sitting,chair,-,(angular,velocity).
"2318914010000,","0.109650314,","0.03145956,",0.035124753,-,back,sitting,chair,-,(angular,velocity).
"2318919149000,","0.129198,","0.04795292,",0.03359759,-,back,sitting,chair,-,(angular,velocity).
"2318924076000,","0.124311075,","0.058337633,",0.03481932,-,back,sitting,chair,-,(angular,velocity).
"2318929158000,","0.13439035,","0.064751714,",0.03481932,-,back,sitting,chair,-,(angular,velocity).
"2318934125000,","0.1459968,","0.0720821,",0.040011674,-,back,sitting,chair,-,(angular,velocity).
"2318939032000,","0.14172074,","0.07727446,",0.03145956,-,back,sitting,chair,-,(angular,velocity).
"2318944178000,","0.15607607,","0.07391469,",0.03970624,-,back,sitting,chair,-,(angular,velocity).
"2318949093000,","0.17104226,","0.0729984,",0.04337143,-,back,sitting,chair,-,(angular,velocity).
"2318954059000,","0.17348573,","0.07727446,",0.046731193,-,back,sitting,chair,-,(angular,velocity).
"2318959003000,","0.18325958,","0.08827003,",0.036957346,-,back,sitting,chair,-,(angular,velocity).
"2318964027000,","0.19425514,","0.10598512,",0.039095376,-,back,sitting,chair,-,(angular,velocity).
"2318970133000,","0.19761491,","0.11026118,",0.04184427,-,back,sitting,chair,-,(angular,velocity).
"2318974046000,","0.20280726,","0.111177474,",0.0421497,-,back,sitting,chair,-,(angular,velocity).
"2318979103000,","0.2012801,","0.0983493,",0.037873644,-,back,sitting,chair,-,(angular,velocity).
"2318984005000,","0.22510384,","0.105068825,",0.03634648,-,back,sitting,chair,-,(angular,velocity).
"2318989029000,","0.226631,","0.09865474,",0.03940081,-,back,sitting,chair,-,(angular,velocity).
"2318994081000,","0.23090707,","0.09040806,",0.040317107,-,back,sitting,chair,-,(angular,velocity).
"2318999274000,","0.23762658,","0.07513642,",0.03726278,-,back,sitting,chair,-,(angular,velocity).
"2319004082000,","0.2510656,","0.06627888,",0.03268129,-,back,sitting,chair,-,(angular,velocity).
"2319009025000,","0.26297748,","0.07422013,",0.027183503,-,back,sitting,chair,-,(angular,velocity).
"2319014019000,","0.2648101,","0.0693332,",0.028710667,-,back,sitting,chair,-,(angular,velocity).
"2319019034000,","0.28130344,","0.0711658,",0.03023783,-,back,sitting,chair,-,(angular,velocity).
"2319024271000,","0.2773328,","0.084910266,",0.027183503,-,back,sitting,chair,-,(angular,velocity).
"2319029034000,","0.27947086,","0.07849618,",0.032375857,-,back,sitting,chair,-,(angular,velocity).
"2319034034000,","0.2843578,","0.0842994,",0.03481932,-,back,sitting,chair,-,(angular,velocity).
"2319040143000,","0.2932153,","0.08155051,",0.036957346,-,back,sitting,chair,-,(angular,velocity).
"2319044138000,","0.30207285,","0.08368854,",0.04153884,-,back,sitting,chair,-,(angular,velocity).
"2319049113000,","0.301462,","0.079107046,",0.05222898,-,back,sitting,chair,-,(angular,velocity).
"2319054103000,","0.32375857,","0.089491755,",0.04917465,-,back,sitting,chair,-,(angular,velocity).
"2319059080000,","0.35185838,","0.08582657,",0.04734206,-,back,sitting,chair,-,(angular,velocity).
"2319064008000,","0.3680463,","0.092240654,",0.04520403,-,back,sitting,chair,-,(angular,velocity).
"2319069155000,","0.37659842,","0.09712757,",0.045814894,-,back,sitting,chair,-,(angular,velocity).
"2319074064000,","0.38423425,","0.09132435,",0.04520403,-,back,sitting,chair,-,(angular,velocity).
"2319079055000,","0.40439278,","0.08582657,",0.04153884,-,back,sitting,chair,-,(angular,velocity).
"2319084155000,","0.4297437,","0.0842994,",0.043676864,-,back,sitting,chair,-,(angular,velocity).
"2319089045000,","0.43799037,","0.079107046,",0.042760566,-,back,sitting,chair,-,(angular,velocity).
"2319094068000,","0.44623706,","0.058643065,",0.044593163,-,back,sitting,chair,-,(angular,velocity).
"2319099080000,","0.46883908,","0.042455133,",0.053450707,-,back,sitting,chair,-,(angular,velocity).
"2319104112000,","0.49021935,","0.02107485,",0.063224554,-,back,sitting,chair,-,(angular,velocity).
"2319109585000,","0.4999932,","-0.005192355,",0.07086037,-,back,sitting,chair,-,(angular,velocity).
"2319114094000,","0.5216789,","-0.018325957,",0.081855945,-,back,sitting,chair,-,(angular,velocity).
"2319119085000,","0.5314528,","-0.029321533,",0.08307768,-,back,sitting,chair,-,(angular,velocity).
"2319124132000,","0.5491679,","-0.022602014,",0.08857546,-,back,sitting,chair,-,(angular,velocity).
"2319129064000,","0.5684101,","-0.026572637,",0.09865474,-,back,sitting,chair,-,(angular,velocity).
"2319134046000,","0.57543504,","-0.019242255,",0.109650314,-,back,sitting,chair,-,(angular,velocity).
"2319139029000,","0.5873469,","-0.029626964,",0.10445796,-,back,sitting,chair,-,(angular,velocity).
"2319144109000,","0.6010914,","-0.021685716,",0.11759156,-,back,sitting,chair,-,(angular,velocity).
"2319149088000,","0.6059783,","-0.027183503,",0.116980694,-,back,sitting,chair,-,(angular,velocity).
"2319154049000,","0.6243043,","-0.024740042,",0.12003502,-,back,sitting,chair,-,(angular,velocity).
"2319159037000,","0.623388,","-0.01985312,",0.11636983,-,back,sitting,chair,-,(angular,velocity).
"2319164019000,","0.6258314,","-9.162979e-4,",0.11728613,-,back,sitting,chair,-,(angular,velocity).
"2319169128000,","0.6230826,","-0.004581489,",0.116675265,-,back,sitting,chair,-,(angular,velocity).
"2319174069000,","0.6249151,","0.0030543262,",0.12064589,-,back,sitting,chair,-,(angular,velocity).
"2319179062000,","0.6261369,","0.004276057,",0.12583824,-,back,sitting,chair,-,(angular,velocity).
"2319184199000,","0.6386596,","0.0015271631,",0.1151481,-,back,sitting,chair,-,(angular,velocity).
"2319189035000,","0.6536258,","0.0070249503,",0.106595986,-,back,sitting,chair,-,(angular,velocity).
"2319194084000,","0.65118235,","-0.01160644,",0.10629055,-,back,sitting,chair,-,(angular,velocity).
"2319199060000,","0.66798115,","-0.016798794,",0.09132435,-,back,sitting,chair,-,(angular,velocity).
"2319205121000,","0.6765333,","-0.017104227,",0.07849618,-,back,sitting,chair,-,(angular,velocity).
"2319209144000,","0.6808093,","-0.019242255,",0.07452556,-,back,sitting,chair,-,(angular,velocity).
"2319214001000,","0.6914995,","-0.015577064,",0.0720821,-,back,sitting,chair,-,(angular,velocity).
"2319219138000,","0.69913524,","-0.004276057,",0.0729984,-,back,sitting,chair,-,(angular,velocity).
"2319224050000,","0.6936375,","0.007941248,",0.07666359,-,back,sitting,chair,-,(angular,velocity).
"2319229060000,","0.6740898,","0.023823744,",0.07513642,-,back,sitting,chair,-,(angular,velocity).
"2319234074000,","0.66798115,","0.048563786,",0.067500606,-,back,sitting,chair,-,(angular,velocity).
"2319239028000,","0.66737026,","0.058337633,",0.07269296,-,back,sitting,chair,-,(angular,velocity).
"2319244184000,","0.65026605,","0.08093964,",0.06658431,-,back,sitting,chair,-,(angular,velocity).
"2319249065000,","0.6637051,","0.09560041,",0.06780604,-,back,sitting,chair,-,(angular,velocity).
"2319254075000,","0.66675943,","0.12522738,",0.07269296,-,back,sitting,chair,-,(angular,velocity).
"2319259102000,","0.65148777,","0.14172074,",0.07544186,-,back,sitting,chair,-,(angular,velocity).
"2319264086000,","0.6575964,","0.15668693,",0.071776666,-,back,sitting,chair,-,(angular,velocity).
"2319269079000,","0.6627888,","0.18387043,",0.07971791,-,back,sitting,chair,-,(angular,velocity).
"2319274105000,","0.6588182,","0.19425514,",0.0842994,-,back,sitting,chair,-,(angular,velocity).
"2319279101000,","0.6545421,","0.2180789,",0.08277224,-,back,sitting,chair,-,(angular,velocity).
"2319284046000,","0.64751714,","0.23854288,",0.087964594,-,back,sitting,chair,-,(angular,velocity).
"2319289097000,","0.6423248,","0.25259277,",0.09407325,-,back,sitting,chair,-,(angular,velocity).
"2319294967000,","0.63071835,","0.27091873,",0.09712757,-,back,sitting,chair,-,(angular,velocity).
"2319299072000,","0.6291912,","0.29901853,",0.098043874,-,back,sitting,chair,-,(angular,velocity).
"2319304109000,","0.6273586,","0.3304781,",0.106901415,-,back,sitting,chair,-,(angular,velocity).
"2319309075000,","0.6221663,","0.3475823,",0.11148291,-,back,sitting,chair,-,(angular,velocity).
"2319314087000,","0.6133087,","0.36346483,",0.110872045,-,back,sitting,chair,-,(angular,velocity).
"2319319074000,","0.61453044,","0.3848451,",0.10720685,-,back,sitting,chair,-,(angular,velocity).
"2319324085000,","0.59742624,","0.41783184,",0.108123146,-,back,sitting,chair,-,(angular,velocity).
"2319329109000,","0.57635134,","0.45540005,",0.10720685,-,back,sitting,chair,-,(angular,velocity).
"2319334000000,","0.57848936,","0.4908302,",0.099571034,-,back,sitting,chair,-,(angular,velocity).
"2319339088000,","0.5742133,","0.52839845,",0.098043874,-,back,sitting,chair,-,(angular,velocity).
"2319344077000,","0.56596667,","0.5448918,",0.08246681,-,back,sitting,chair,-,(angular,velocity).
"2319349222000,","0.5842926,","0.5546656,",0.07238753,-,back,sitting,chair,-,(angular,velocity).
"2319354011000,","0.6038403,","0.5412266,",0.044898596,-,back,sitting,chair,-,(angular,velocity).
"2319359040000,","0.6047566,","0.52778757,",0.042455133,-,back,sitting,chair,-,(angular,velocity).
"2319365141000,","0.61636305,","0.48533243,",0.0143553335,-,back,sitting,chair,-,(angular,velocity).
"2319369194000,","0.6249151,","0.46089783,",-0.0015271631,-,back,sitting,chair,-,(angular,velocity).
"2319374090000,","0.6236934,","0.4184427,",-0.02076942,-,back,sitting,chair,-,(angular,velocity).
"2319379098000,","0.6230826,","0.38789943,",-0.03573562,-,back,sitting,chair,-,(angular,velocity).
"2319384094000,","0.62858033,","0.37568212,",-0.055283304,-,back,sitting,chair,-,(angular,velocity).
"2319389102000,","0.6282749,","0.37598756,",-0.063224554,-,back,sitting,chair,-,(angular,velocity).
"2319394083000,","0.6560693,","0.40408736,",-0.0711658,-,back,sitting,chair,-,(angular,velocity).
"2319399062000,","0.6914995,","0.42638394,",-0.076052725,-,back,sitting,chair,-,(angular,velocity).
"2319404127000,","0.72173727,","0.44073927,",-0.08857546,-,back,sitting,chair,-,(angular,velocity).
"2319409036000,","0.75991637,","0.42852196,",-0.09621128,-,back,sitting,chair,-,(angular,velocity).
"2319414035000,","0.8173377,","0.38362336,",-0.09040806,-,back,sitting,chair,-,(angular,velocity).
"2319419128000,","0.8533788,","0.31520647,",-0.086132,-,back,sitting,chair,-,(angular,velocity).
"2319424121000,","0.88361657,","0.22021692,",-0.08674286,-,back,sitting,chair,-,(angular,velocity).
"2319429060000,","0.8784242,","0.098043874,",-0.09407325,-,back,sitting,chair,-,(angular,velocity).
"2319434703000,","0.88056225,","-0.04520403,",-0.096516706,-,back,sitting,chair,-,(angular,velocity).
"2319439026000,","0.8723156,","-0.19730948,",-0.09896017,-,back,sitting,chair,-,(angular,velocity).
"2319444082000,","0.8881981,","-0.32620203,",-0.10598512,-,back,sitting,chair,-,(angular,velocity).
"2319449110000,","0.8894198,","-0.46181414,",-0.11209377,-,back,sitting,chair,-,(angular,velocity).
"2319454143000,","0.91751957,","-0.5299256,",-0.11484267,-,back,sitting,chair,-,(angular,velocity).
"2319459042000,","0.9578367,","-0.6462954,",-0.11759156,-,back,sitting,chair,-,(angular,velocity).
"2319464065000,","0.97524637,","-0.711658,",-0.13683382,-,back,sitting,chair,-,(angular,velocity).
"2319469127000,","1.006095,","-0.7189884,",-0.1704314,-,back,sitting,chair,-,(angular,velocity).
"2319474062000,","1.0106765,","-0.66675943,",-0.1957823,-,back,sitting,chair,-,(angular,velocity).
"2319479046000,","0.9950995,","-0.56291234,",-0.20891592,-,back,sitting,chair,-,(angular,velocity).
"2319484010000,","0.9944886,","-0.43768495,",-0.19975294,-,back,sitting,chair,-,(angular,velocity).
"2319489037000,","0.9877691,","-0.31673363,",-0.18906279,-,back,sitting,chair,-,(angular,velocity).
"2319494098000,","0.9966267,","-0.16157386,",-0.17592919,-,back,sitting,chair,-,(angular,velocity).
"2319499199000,","1.0085385,","3.0543262e-4,",-0.17654006,-,back,sitting,chair,-,(angular,velocity).
"2319504460000,","1.028697,","0.18387043,",-0.16584991,-,back,sitting,chair,-,(angular,velocity).
"2319509013000,","1.0708468,","0.3640757,",-0.16584991,-,back,sitting,chair,-,(angular,velocity).
"2319514020000,","1.0873401,","0.47861293,",-0.16615535,-,back,sitting,chair,-,(angular,velocity).
"2319519402000,","1.1169671,","0.5381723,",-0.183565,-,back,sitting,chair,-,(angular,velocity).
"2319524140000,","1.1404854,","0.54550266,",-0.20219639,-,back,sitting,chair,-,(angular,velocity).
"2319529047000,","1.1533136,","0.4841107,",-0.20586158,-,back,sitting,chair,-,(angular,velocity).
"2319538382000,","1.1808025,","0.34300083,",-0.21166481,-,back,sitting,chair,-,(angular,velocity).
"2319539243000,","1.2137892,","0.32284227,",-0.20311269,-,back,sitting,chair,-,(angular,velocity).
"2319544114000,","1.2055426,","0.28191432,",-0.18967366,-,back,sitting,chair,-,(angular,velocity).
"2319549163000,","1.1258247,","0.28069258,",-0.18142697,-,back,sitting,chair,-,(angular,velocity).
"2319554674000,","1.026559,","0.18020524,",-0.1853976,-,back,sitting,chair,-,(angular,velocity).
