#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","-9.059659,","2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#datetime:,05/07/2013,10:40:33,2.3175871,-,sideward,lying,-,(including,gravity).
##########################################,"-9.059659,","2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#activity:,13,-,sdl,-,sideward,lying,-,10s,gravity).
#subject,id:,2,2.3175871,-,sideward,lying,-,(including,gravity).
#first,name:,sub2,2.3175871,-,sideward,lying,-,(including,gravity).
#last,name:,sub2,2.3175871,-,sideward,lying,-,(including,gravity).
#age:,26,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#height(cm):,169,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#weight(kg):,64,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
#gender:,male,"2.9592333,",2.3175871,-,sideward,lying,-,(including,gravity).
"524807104000,","2.6431987,","9.165004,",1.6950948,-,sideward,lying,-,(including,gravity).
"524817058000,","2.930503,","9.059659,",1.8866309,-,sideward,lying,-,(including,gravity).
"524826992000,","3.169923,","8.829816,",2.0590134,-,sideward,lying,-,(including,gravity).
"524840193000,","3.2944214,","8.360553,",1.8004397,-,sideward,lying,-,(including,gravity).
"524851488000,","3.4572272,","7.8050976,",2.4037786,-,sideward,lying,-,(including,gravity).
"524861022000,","3.7349546,","7.335834,",2.9879637,-,sideward,lying,-,(including,gravity).
"524871364000,","4.146757,","7.1634517,",2.7485435,-,sideward,lying,-,(including,gravity).
"524885618000,","4.3478703,","7.8146744,",2.5091233,-,sideward,lying,-,(including,gravity).
"524895913000,","4.0222588,","8.37013,",2.3558946,-,sideward,lying,-,(including,gravity).
"524910652000,","3.5529952,","8.973468,",2.1643584,-,sideward,lying,-,(including,gravity).
"524920326000,","3.083732,","9.251195,",1.7908629,-,sideward,lying,-,(including,gravity).
"524930300000,","3.1890767,","9.56723,",1.9728222,-,sideward,lying,-,(including,gravity).
"524940152000,","3.265691,","9.433155,",2.8060043,-,sideward,lying,-,(including,gravity).
"524951584000,","3.4284968,","7.7667904,",4.357447,-,sideward,lying,-,(including,gravity).
"524961090000,","3.514688,","7.680599,",4.357447,-,sideward,lying,-,(including,gravity).
"524971125000,","3.7732618,","7.4124484,",4.5681367,-,sideward,lying,-,(including,gravity).
"524986742000,","4.8458643,","8.734048,",4.711789,-,sideward,lying,-,(including,gravity).
"525001346000,","4.8458643,","9.653421,",3.821146,-,sideward,lying,-,(including,gravity).
"525015521000,","4.4723687,","9.442732,",3.5529952,-,sideward,lying,-,(including,gravity).
"525026340000,","4.0892963,","9.11712,",3.6104562,-,sideward,lying,-,(including,gravity).
"525036767000,","3.6104562,","7.5561004,",4.1180267,-,sideward,lying,-,(including,gravity).
"525047730000,","2.882619,","6.789956,",3.8307228,-,sideward,lying,-,(including,gravity).
"525061306000,","3.1028855,","7.4603324,",2.2409728,-,sideward,lying,-,(including,gravity).
"525071317000,","2.030283,","8.839393,",-0.92895025,-,sideward,lying,-,(including,gravity).
"525086392000,","2.6623523,","8.111555,",-0.63206923,-,sideward,lying,-,(including,gravity).
"525096334000,","2.0398598,","6.540959,",0.7086837,-,sideward,lying,-,(including,gravity).
"525111338000,","0.4309563,","3.8786068,",2.7581203,-,sideward,lying,-,(including,gravity).
"525123133000,","-0.33518824,","3.1507695,",3.217807,-,sideward,lying,-,(including,gravity).
"525136899000,","-0.7757214,","3.1411927,",4.012682,-,sideward,lying,-,(including,gravity).
"525147972000,","-1.043872,","3.9743748,",4.0318356,-,sideward,lying,-,(including,gravity).
"525160827000,","-1.8004397,","7.038953,",7.0006456,-,sideward,lying,-,(including,gravity).
"525170796000,","-0.25857377,","9.768343,",6.9623384,-,sideward,lying,-,(including,gravity).
"525183342000,","-1.8004397,","10.802638,",3.323152,-,sideward,lying,-,(including,gravity).
"525195291000,","-5.544971,","10.28549,",4.9224787,-,sideward,lying,-,(including,gravity).
"525206324000,","-5.650316,","10.496181,",10.189722,-,sideward,lying,-,(including,gravity).
"525215782000,","-3.4476504,","9.404425,",12.919112,-,sideward,lying,-,(including,gravity).
"525226079000,","-1.2641385,","5.2289367,",13.972561,-,sideward,lying,-,(including,gravity).
"525238143000,","5.2002063,","-1.5514427,",11.501745,-,sideward,lying,-,(including,gravity).
"525250755000,","6.3781533,","-0.7374141,",10.007763,-,sideward,lying,-,(including,gravity).
"525263388000,","4.817134,","0.16280572,",9.002198,-,sideward,lying,-,(including,gravity).
"525277145000,","2.4229321,","-3.5338416,",9.911995,-,sideward,lying,-,(including,gravity).
"525289600000,","0.79487497,","-4.3957543,",10.0269165,-,sideward,lying,-,(including,gravity).
"525301275000,","-1.5801731,","-3.7828386,",9.3182335,-,sideward,lying,-,(including,gravity).
"525311440000,","-2.9783869,","-2.633622,",9.040505,-,sideward,lying,-,(including,gravity).
"525325328000,","-4.414908,","-1.1492168,",14.288596,-,sideward,lying,-,(including,gravity).
"525335982000,","-13.924677,","-4.0892963,",18.224663,-,sideward,lying,-,(including,gravity).
"525350494000,","-14.4609785,","-5.889736,",18.885464,-,sideward,lying,-,(including,gravity).
"525360887000,","-5.803545,","-6.2345014,",13.64695,-,sideward,lying,-,(including,gravity).
"525371221000,","0.842759,","-3.217807,",10.70687,-,sideward,lying,-,(including,gravity).
"525385785000,","7.345411,","11.243171,",7.1347213,-,sideward,lying,-,(including,gravity).
"525396119000,","9.557653,","15.389929,",6.9527617,-,sideward,lying,-,(including,gravity).
"525409085000,","9.615114,","17.468096,",5.6215854,-,sideward,lying,-,(including,gravity).
"525418569000,","7.144298,","16.002844,",5.410896,-,sideward,lying,-,(including,gravity).
"525432255000,","5.9759274,","8.485051,",8.025364,-,sideward,lying,-,(including,gravity).
"525448150000,","7.5561004,","-5.00867,",4.6830587,-,sideward,lying,-,(including,gravity).
"525460659000,","7.479486,","-8.858546,",3.3423057,-,sideward,lying,-,(including,gravity).
"525470739000,","7.3166804,","-11.21444,",4.0222588,-,sideward,lying,-,(including,gravity).
"525481511000,","6.751649,","-12.593501,",5.899313,-,sideward,lying,-,(including,gravity).
"525491323000,","4.548983,","-11.674128,",7.8625584,-,sideward,lying,-,(including,gravity).
"525501947000,","0.095768064,","-7.5561004,",6.7612257,-,sideward,lying,-,(including,gravity).
"525511754000,","-3.8594532,","-4.156334,",5.3821654,-,sideward,lying,-,(including,gravity).
"525522585000,","-7.5944076,","-0.36391866,",4.960786,-,sideward,lying,-,(including,gravity).
"525533100000,","-7.8529816,","1.4077905,",5.449203,-,sideward,lying,-,(including,gravity).
"525543451000,","-7.6231384,","2.9975405,",5.7843914,-,sideward,lying,-,(including,gravity).
"525555641000,","-6.540959,","3.8115692,",5.899313,-,sideward,lying,-,(including,gravity).
"525566440000,","-4.4819455,","3.064578,",6.8091097,-,sideward,lying,-,(including,gravity).
"525576860000,","-2.8538885,","1.5035586,",8.121132,-,sideward,lying,-,(including,gravity).
"525586549000,","-2.2888567,","-0.47884035,",9.241618,-,sideward,lying,-,(including,gravity).
"525600975000,","-2.5570073,","-2.6623523,",10.065224,-,sideward,lying,-,(including,gravity).
"525611897000,","-3.0262709,","-4.7309427,",9.308656,-,sideward,lying,-,(including,gravity).
"525624757000,","-1.7621324,","-7.2687964,",7.8625584,-,sideward,lying,-,(including,gravity).
"525635946000,","-0.842759,","-7.6710224,",6.435614,-,sideward,lying,-,(including,gravity).
"525645943000,","-0.1340753,","-7.8146744,",5.094861,-,sideward,lying,-,(including,gravity).
"525660941000,","-0.19153613,","-7.833828,",3.6966474,-,sideward,lying,-,(including,gravity).
"525671379000,","-0.93852705,","-7.843405,",4.0318356,-,sideward,lying,-,(including,gravity).
"525686008000,","-2.1739352,","-8.350976,",4.9703627,-,sideward,lying,-,(including,gravity).
"525696347000,","-3.8786068,","-9.385271,",6.5696893,-,sideward,lying,-,(including,gravity).
"525716782000,","-6.742072,","-10.793061,",8.676587,-,sideward,lying,-,(including,gravity).
"525730213000,","-7.038953,","-10.25676,",7.153875,-,sideward,lying,-,(including,gravity).
"525740912000,","-6.0621185,","-10.228029,",5.353435,-,sideward,lying,-,(including,gravity).
"525752107000,","-4.3287168,","-9.643845,",2.8060043,-,sideward,lying,-,(including,gravity).
"525763626000,","-2.6048915,","-8.561666,",1.1300632,-,sideward,lying,-,(including,gravity).
"525775467000,","-1.5227122,","-7.4028716,",1.0534488,-,sideward,lying,-,(including,gravity).
"525785691000,","-1.0630256,","-6.6271505,",1.8770541,-,sideward,lying,-,(including,gravity).
"525795747000,","-1.0630256,","-6.253655,",2.777274,-,sideward,lying,-,(including,gravity).
"525811270000,","-1.9153614,","-6.1770406,",3.7062242,-,sideward,lying,-,(including,gravity).
"525822870000,","-2.4037786,","-6.033388,",3.5051112,-,sideward,lying,-,(including,gravity).
"525835519000,","-2.8634653,","-5.554548,",2.9400797,-,sideward,lying,-,(including,gravity).
"525846189000,","-3.2561142,","-5.056554,",1.7908629,-,sideward,lying,-,(including,gravity).
"525859518000,","-4.2904096,","-4.8458643,",-1.0821792,-,sideward,lying,-,(including,gravity).
"525869836000,","-5.0661306,","-5.45878,",-2.384625,-,sideward,lying,-,(including,gravity).
"525881296000,","-6.2632318,","-6.694188,",-2.5474305,-,sideward,lying,-,(including,gravity).
"525891898000,","-7.7189064,","-8.494628,",-0.9576807,-,sideward,lying,-,(including,gravity).
"525902405000,","-9.3182335,","-10.658986,",2.9400797,-,sideward,lying,-,(including,gravity).
"525915365000,","-10.43872,","-12.200851,",7.374141,-,sideward,lying,-,(including,gravity).
"525925504000,","-10.802638,","-12.449849,",9.9790325,-,sideward,lying,-,(including,gravity).
"525936034000,","-9.56723,","-9.442732,",6.042965,-,sideward,lying,-,(including,gravity).
"525946250000,","-7.7572136,","-6.9240313,",2.4708161,-,sideward,lying,-,(including,gravity).
"525958828000,","-6.3302693,","-5.2385135,",0.7182605,-,sideward,lying,-,(including,gravity).
"525969588000,","-5.813122,","-4.6160207,",1.1109096,-,sideward,lying,-,(including,gravity).
"525979666000,","-5.813122,","-4.7884035,",2.4899697,-,sideward,lying,-,(including,gravity).
"525990263000,","-6.0238113,","-5.3821654,",3.8402996,-,sideward,lying,-,(including,gravity).
"526000793000,","-6.1004257,","-6.1387334,",4.865018,-,sideward,lying,-,(including,gravity).
"526010434000,","-5.9184666,","-6.751649,",5.1140146,-,sideward,lying,-,(including,gravity).
"526020326000,","-5.650316,","-7.240066,",4.501099,-,sideward,lying,-,(including,gravity).
"526030380000,","-5.535394,","-7.469909,",3.4284968,-,sideward,lying,-,(including,gravity).
"526040530000,","-5.2289367,","-7.3166804,",2.7389667,-,sideward,lying,-,(including,gravity).
"526050704000,","-5.21936,","-6.6846113,",2.1930888,-,sideward,lying,-,(including,gravity).
"526061005000,","-5.6120086,","-5.7843914,",1.6663644,-,sideward,lying,-,(including,gravity).
"526071244000,","-6.14831,","-5.0757074,",1.2162545,-,sideward,lying,-,(including,gravity).
"526085397000,","-7.1251445,","-3.7732618,",2.633622,-,sideward,lying,-,(including,gravity).
"526095730000,","-6.9048777,","-3.1890767,",4.2425256,-,sideward,lying,-,(including,gravity).
"526105340000,","-5.9759274,","-2.777274,",5.717354,-,sideward,lying,-,(including,gravity).
"526115974000,","-5.2863975,","-2.585738,",6.5984197,-,sideward,lying,-,(including,gravity).
"526126452000,","-5.1906295,","-2.5091233,",6.6079965,-,sideward,lying,-,(including,gravity).
"526136553000,","-5.6120086,","-2.6527755,",5.6982,-,sideward,lying,-,(including,gravity).
"526148281000,","-6.2345014,","-2.72939,",4.55856,-,sideward,lying,-,(including,gravity).
"526160766000,","-7.201759,","-3.4763808,",2.585738,-,sideward,lying,-,(including,gravity).
"526176640000,","-8.686164,","-3.6391866,",1.7717092,-,sideward,lying,-,(including,gravity).
"526188371000,","-8.963891,","-4.2904096,",2.3463178,-,sideward,lying,-,(including,gravity).
"526200315000,","-8.762778,","-4.3957543,",3.3518825,-,sideward,lying,-,(including,gravity).
"526209538000,","-8.178593,","-4.414908,",4.367024,-,sideward,lying,-,(including,gravity).
"526220527000,","-7.5848308,","-3.7828386,",6.0238113,-,sideward,lying,-,(including,gravity).
"526231127000,","-6.9719152,","-3.1986535,",6.9719152,-,sideward,lying,-,(including,gravity).
"526240796000,","-6.339846,","-3.217807,",7.240066,-,sideward,lying,-,(including,gravity).
"526251381000,","-5.363012,","-2.8538885,",4.7022123,-,sideward,lying,-,(including,gravity).
"526262798000,","-5.2289367,","-1.7525556,",3.4093432,-,sideward,lying,-,(including,gravity).
"526276184000,","-5.00867,","-0.59376204,",2.5761611,-,sideward,lying,-,(including,gravity).
"526285760000,","-4.596867,","0.63206923,",1.5705963,-,sideward,lying,-,(including,gravity).
"526295977000,","-4.3287168,","1.8483237,",0.7565677,-,sideward,lying,-,(including,gravity).
"526311568000,","-3.7924154,","3.8498764,",-0.17238252,-,sideward,lying,-,(including,gravity).
"526321590000,","-3.6296098,","4.548983,",-0.2681506,-,sideward,lying,-,(including,gravity).
"526332371000,","-3.5625722,","5.056554,",-0.24899697,-,sideward,lying,-,(including,gravity).
"526344756000,","-3.7062242,","5.6407394,",-0.29688102,-,sideward,lying,-,(including,gravity).
"526357234000,","-3.8498764,","6.2249246,",-0.047884032,-,sideward,lying,-,(including,gravity).
"526367152000,","-4.1371803,","6.655881,",0.009576807,-,sideward,lying,-,(including,gravity).
"526381305000,","-7.0964136,","7.565677,",-1.0630256,-,sideward,lying,-,(including,gravity).
"526391161000,","-10.0748005,","9.232041,",-2.384625,-,sideward,lying,-,(including,gravity).
"526402894000,","-14.518439,","11.664551,",-2.8921957,-,sideward,lying,-,(including,gravity).
"526415232000,","-17.027563,","14.403518,",-0.93852705,-,sideward,lying,-,(including,gravity).
"526427469000,","-16.634912,","16.615759,",0.45968673,-,sideward,lying,-,(including,gravity).
"526439624000,","-10.783484,","13.22557,",0.5650316,-,sideward,lying,-,(including,gravity).
"526451554000,","-9.040505,","9.844957,",0.10534488,-,sideward,lying,-,(including,gravity).
"526461559000,","-8.130709,","5.9759274,",0.6991069,-,sideward,lying,-,(including,gravity).
"526472728000,","-7.3549876,","3.5338416,",0.39264908,-,sideward,lying,-,(including,gravity).
"526486048000,","-6.4739213,","2.8538885,",-0.9864111,-,sideward,lying,-,(including,gravity).
"526496519000,","-5.9663506,","2.5474305,",-2.633622,-,sideward,lying,-,(including,gravity).
"526507403000,","-6.9240313,","3.2082303,",-5.305551,-,sideward,lying,-,(including,gravity).
"526519663000,","-8.236053,","4.405331,",-6.9719152,-,sideward,lying,-,(including,gravity).
"526529430000,","-9.873688,","5.506664,",-9.136273,-,sideward,lying,-,(including,gravity).
"526541187000,","-11.520899,","6.397307,",-11.463438,-,sideward,lying,-,(including,gravity).
"526551068000,","-13.081918,","6.789956,",-12.603078,-,sideward,lying,-,(including,gravity).
"526561659000,","-13.244724,","7.28795,",-12.74673,-,sideward,lying,-,(including,gravity).
"526571721000,","-13.388376,","7.3166804,",-11.808203,-,sideward,lying,-,(including,gravity).
"526587053000,","-15.313314,","7.28795,",-11.836933,-,sideward,lying,-,(including,gravity).
"526598270000,","-12.871228,","7.5465236,",-10.860099,-,sideward,lying,-,(including,gravity).
"526612174000,","-8.868123,","7.536947,",-9.433155,-,sideward,lying,-,(including,gravity).
"526625296000,","-5.161899,","7.1251445,",-8.6095495,-,sideward,lying,-,(including,gravity).
"526636846000,","0.7182605,","5.8226986,",-9.174581,-,sideward,lying,-,(including,gravity).
"526646622000,","1.5993267,","4.8937483,",-9.481039,-,sideward,lying,-,(including,gravity).
"526661374000,","1.7046716,","4.2425256,",-8.532935,-,sideward,lying,-,(including,gravity).
"526671370000,","1.1779473,","3.964798,",-6.703765,-,sideward,lying,-,(including,gravity).
"526685556000,","-1.3790601,","3.964798,",-2.6623523,-,sideward,lying,-,(including,gravity).
"526695586000,","-3.9839516,","4.367024,",-2.2888567,-,sideward,lying,-,(including,gravity).
"526706973000,","-7.1347213,","5.2002063,",-3.1603463,-,sideward,lying,-,(including,gravity).
"526716823000,","-10.055647,","5.793968,",-4.1659107,-,sideward,lying,-,(including,gravity).
"526727853000,","-11.434708,","5.046977,",-4.6255975,-,sideward,lying,-,(including,gravity).
"526739663000,","-11.176133,","4.0222588,",-5.3247046,-,sideward,lying,-,(including,gravity).
"526752260000,","-10.25676,","3.5242648,",-6.655881,-,sideward,lying,-,(including,gravity).
"526764632000,","-8.37013,","3.7732618,",-7.824251,-,sideward,lying,-,(including,gravity).
"526777126000,","-7.642292,","4.098873,",-7.489063,-,sideward,lying,-,(including,gravity).
"526788367000,","-7.1155677,","4.357447,",-7.086837,-,sideward,lying,-,(including,gravity).
"526801823000,","-6.789956,","4.510676,",-6.694188,-,sideward,lying,-,(including,gravity).
"526812176000,","-6.5696893,","4.5777135,",-5.7843914,-,sideward,lying,-,(including,gravity).
"526821770000,","-6.5696893,","4.5777135,",-5.7843914,-,sideward,lying,-,(including,gravity).
"526834762000,","-6.885724,","4.9895163,",-5.401319,-,sideward,lying,-,(including,gravity).
"526844683000,","-7.0485296,","5.353435,",-5.305551,-,sideward,lying,-,(including,gravity).
"526856365000,","-7.1730285,","5.6790466,",-5.171476,-,sideward,lying,-,(including,gravity).
"526867030000,","-7.2209125,","5.8322754,",-5.142745,-,sideward,lying,-,(including,gravity).
"526877036000,","-7.240066,","5.7748146,",-5.3821654,-,sideward,lying,-,(including,gravity).
"526889562000,","-7.2687964,","5.631162,",-5.1235914,-,sideward,lying,-,(including,gravity).
"526901146000,","-7.1730285,","5.142745,",-4.6926355,-,sideward,lying,-,(including,gravity).
"526910958000,","-7.029376,","4.960786,",-4.414908,-,sideward,lying,-,(including,gravity).
"526921354000,","-6.8569937,","4.7979803,",-4.2521024,-,sideward,lying,-,(including,gravity).
"526936530000,","-6.655881,","4.6926355,",-4.2904096,-,sideward,lying,-,(including,gravity).
"526946188000,","-6.4164605,","4.606444,",-4.3766007,-,sideward,lying,-,(including,gravity).
"526961465000,","-6.3302693,","4.501099,",-4.5681367,-,sideward,lying,-,(including,gravity).
"526971109000,","-6.445191,","4.5777135,",-4.6160207,-,sideward,lying,-,(including,gravity).
"526985630000,","-6.6654577,","4.7309427,",-4.5298295,-,sideward,lying,-,(including,gravity).
"526996188000,","-6.8186865,","4.9703627,",-4.5872903,-,sideward,lying,-,(including,gravity).
"527010437000,","-7.2209125,","5.650316,",-4.462792,-,sideward,lying,-,(including,gravity).
"527020752000,","-7.3549876,","5.8705826,",-4.453215,-,sideward,lying,-,(including,gravity).
"527035632000,","-7.4507556,","5.9759274,",-4.3861775,-,sideward,lying,-,(including,gravity).
"527045414000,","-7.603985,","5.851429,",-4.223372,-,sideward,lying,-,(including,gravity).
"527055165000,","-7.7189064,","5.544971,",-4.1659107,-,sideward,lying,-,(including,gravity).
"527065062000,","-7.9008656,","5.1906295,",-4.0701427,-,sideward,lying,-,(including,gravity).
"527075506000,","-8.034941,","4.7500963,",-3.9743748,-,sideward,lying,-,(including,gravity).
"527085519000,","-8.0445175,","4.4244847,",-3.916914,-,sideward,lying,-,(including,gravity).
"527095278000,","-8.063671,","4.1946416,",-3.763685,-,sideward,lying,-,(including,gravity).
"527106301000,","-8.015787,","4.2425256,",-3.5529952,-,sideward,lying,-,(including,gravity).
"527115744000,","-7.920019,","4.5298295,",-3.3997664,-,sideward,lying,-,(including,gravity).
"527126348000,","-7.8050976,","4.8937483,",-3.2465374,-,sideward,lying,-,(including,gravity).
"527136295000,","-7.747637,","5.305551,",-3.1986535,-,sideward,lying,-,(including,gravity).
"527146200000,","-7.7667904,","5.5737014,",-3.2369606,-,sideward,lying,-,(including,gravity).
"527157013000,","-7.9391727,","5.6982,",-3.4955344,-,sideward,lying,-,(including,gravity).
"527169815000,","-8.101978,","5.554548,",-3.667917,-,sideward,lying,-,(including,gravity).
"527181008000,","-8.197746,","5.3342814,",-3.763685,-,sideward,lying,-,(including,gravity).
"527191570000,","-8.264784,","5.104438,",-3.8115692,-,sideward,lying,-,(including,gravity).
"527202041000,","-8.255207,","4.8841715,",-3.8402996,-,sideward,lying,-,(including,gravity).
"527215625000,","-8.2169,","4.663905,",-3.6008794,-,sideward,lying,-,(including,gravity).
"527226803000,","-8.197746,","4.548983,",-3.6104562,-,sideward,lying,-,(including,gravity).
"527239605000,","-8.24563,","4.5777135,",-3.6008794,-,sideward,lying,-,(including,gravity).
"527251285000,","-8.264784,","4.6255975,",-3.5529952,-,sideward,lying,-,(including,gravity).
"527262408000,","-8.236053,","4.663905,",-3.41892,-,sideward,lying,-,(including,gravity).
"527276337000,","-8.1402855,","4.7405195,",-3.1028855,-,sideward,lying,-,(including,gravity).
"527286513000,","-7.9870567,","4.6926355,",-2.96881,-,sideward,lying,-,(including,gravity).
"527296619000,","-7.776367,","4.548983,",-2.9592333,-,sideward,lying,-,(including,gravity).
"527311186000,","-7.5944076,","4.280833,",-2.9879637,-,sideward,lying,-,(including,gravity).
"527321031000,","-7.575254,","4.0414124,",-3.1028855,-,sideward,lying,-,(including,gravity).
"527335562000,","-8.073248,","3.8019924,",-3.371036,-,sideward,lying,-,(including,gravity).
"527345606000,","-8.360553,","3.9264908,",-3.4380736,-,sideward,lying,-,(including,gravity).
"527356837000,","-8.513782,","4.156334,",-3.3806129,-,sideward,lying,-,(including,gravity).
"527366412000,","-8.465898,","4.462792,",-3.217807,-,sideward,lying,-,(including,gravity).
"527378424000,","-8.283937,","4.6351743,",-2.9783869,-,sideward,lying,-,(including,gravity).
"527390212000,","-8.015787,","4.711789,",-2.681506,-,sideward,lying,-,(including,gravity).
"527402756000,","-7.3549876,","4.76925,",-2.3080103,-,sideward,lying,-,(including,gravity).
"527415407000,","-6.83784,","4.903325,",-2.4037786,-,sideward,lying,-,(including,gravity).
"527426557000,","-6.646304,","4.9895163,",-2.6527755,-,sideward,lying,-,(including,gravity).
"527436434000,","-6.646304,","4.999093,",-3.016694,-,sideward,lying,-,(including,gravity).
"527451136000,","-6.885724,","4.999093,",-3.3039982,-,sideward,lying,-,(including,gravity).
"527461090000,","-7.3071036,","5.0182467,",-3.41892,-,sideward,lying,-,(including,gravity).
"527471695000,","-8.714894,","5.257667,",-3.2273839,-,sideward,lying,-,(including,gravity).
"527484170000,","-9.308656,","5.439626,",-2.9592333,-,sideward,lying,-,(including,gravity).
"527494365000,","-9.739613,","5.602432,",-2.681506,-,sideward,lying,-,(including,gravity).
"527506318000,","-9.911995,","5.650316,",-2.4229321,-,sideward,lying,-,(including,gravity).
"527516872000,","-9.950302,","5.506664,",-2.2888567,-,sideward,lying,-,(including,gravity).
"527527224000,","-9.931149,","5.315128,",-2.2218192,-,sideward,lying,-,(including,gravity).
"527539539000,","-9.931149,","5.1810527,",-2.4420857,-,sideward,lying,-,(including,gravity).
"527552453000,","-9.940725,","4.951209,",-2.8634653,-,sideward,lying,-,(including,gravity).
"527564636000,","-9.873688,","4.903325,",-2.882619,-,sideward,lying,-,(including,gravity).
"527577123000,","-9.672575,","4.8745947,",-2.815581,-,sideward,lying,-,(including,gravity).
"527588555000,","-9.461885,","4.8458643,",-2.6719291,-,sideward,lying,-,(including,gravity).
"527602131000,","-8.916007,","4.817134,",-2.432509,-,sideward,lying,-,(including,gravity).
"527614575000,","-8.66701,","4.8458643,",-2.3463178,-,sideward,lying,-,(including,gravity).
"527626822000,","-8.456321,","4.7979803,",-2.2122424,-,sideward,lying,-,(including,gravity).
"527638364000,","-8.293514,","4.7788267,",-2.1452048,-,sideward,lying,-,(including,gravity).
"527651934000,","-8.034941,","4.606444,",-2.0973208,-,sideward,lying,-,(including,gravity).
"527665674000,","-7.9487495,","4.596867,",-1.9632454,-,sideward,lying,-,(including,gravity).
"527677194000,","-7.9966335,","4.55856,",-1.8004397,-,sideward,lying,-,(including,gravity).
"527690707000,","-8.1402855,","4.5681367,",-1.4748282,-,sideward,lying,-,(including,gravity).
"527703352000,","-8.197746,","4.4436383,",-1.3694834,-,sideward,lying,-,(including,gravity).
"527714803000,","-8.293514,","4.3382936,",-1.2258313,-,sideward,lying,-,(including,gravity).
"527727738000,","-8.580819,","4.0318356,",-0.82360536,-,sideward,lying,-,(including,gravity).
"527740217000,","-8.781932,","3.9743748,",-0.6799533,-,sideward,lying,-,(including,gravity).
"527752767000,","-8.983045,","4.0222588,",-0.5267244,-,sideward,lying,-,(including,gravity).
"527765133000,","-9.107543,","4.10845,",-0.31603462,-,sideward,lying,-,(including,gravity).
"527776873000,","-9.222465,","4.213795,",0.12449849,-,sideward,lying,-,(including,gravity).
