#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-1.0693196,","-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#datetime:,29/05/2013,14:18:30,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
##########################################,"-1.0693196,","-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#activity:,4,-,jum,-,jumping,-,30s,axes,(angular,velocity).
#subject,id:,7,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#first,name:,sub7,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#last,name:,sub7,-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#age:,25,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#height(cm):,189,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#weight(kg):,80,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
#gender:,male,"-0.007330383,",-0.2883284,-,jumping,-,30s,axes,(angular,velocity).
"4165964006000,","-0.88300574,","0.46028697,",0.02076942,-,jumping,-,30s,axes,(angular,velocity).
"4165968980000,","-0.70463306,","0.38331795,",9.162979e-4,-,jumping,-,30s,axes,(angular,velocity).
"4165974690000,","-0.5174029,","0.33017266,",-0.02687807,-,jumping,-,30s,axes,(angular,velocity).
"4165979033000,","-0.34422258,","0.31031954,",-0.041233405,-,jumping,-,30s,axes,(angular,velocity).
"4165983968000,","-0.18967366,","0.17134771,",-0.08124508,-,jumping,-,30s,axes,(angular,velocity).
"4165988964000,","0.18325958,","0.043982297,",-0.11484267,-,jumping,-,30s,axes,(angular,velocity).
"4165993929000,","0.5006041,","0.116980694,",-0.10903945,-,jumping,-,30s,axes,(angular,velocity).
"4165998969000,","0.44165558,","0.19028452,",-0.08032878,-,jumping,-,30s,axes,(angular,velocity).
"4166004000000,","0.34972036,","0.25442538,",-0.06780604,-,jumping,-,30s,axes,(angular,velocity).
"4166008985000,","0.2947425,","0.30665436,",-0.04795292,-,jumping,-,30s,axes,(angular,velocity).
"4166014028000,","0.2443461,","0.36132678,",-0.029321533,-,jumping,-,30s,axes,(angular,velocity).
"4166018994000,","0.19120082,","0.3921755,",-0.0106901415,-,jumping,-,30s,axes,(angular,velocity).
"4166024019000,","0.15027285,","0.4392121,",-9.162979e-4,-,jumping,-,30s,axes,(angular,velocity).
"4166029095000,","0.09865474,","0.48747048,",0.016493361,-,jumping,-,30s,axes,(angular,velocity).
"4166034027000,","0.05467244,","0.5207626,",0.033292156,-,jumping,-,30s,axes,(angular,velocity).
"4166039044000,","0.017104227,","0.5534439,",0.04153884,-,jumping,-,30s,axes,(angular,velocity).
"4166044745000,","-0.021991149,","0.5720753,",0.053450707,-,jumping,-,30s,axes,(angular,velocity).
"4166049007000,","-0.04520403,","0.58093286,",0.0571159,-,jumping,-,30s,axes,(angular,velocity).
"4166053922000,","-0.05497787,","0.5830709,",0.05955936,-,jumping,-,30s,axes,(angular,velocity).
"4166058878000,","-0.06047566,","0.59040123,",0.05955936,-,jumping,-,30s,axes,(angular,velocity).
"4166063870000,","-0.06261369,","0.59528816,",0.06688975,-,jumping,-,30s,axes,(angular,velocity).
"4166068886000,","-0.063224554,","0.55771995,",0.061391957,-,jumping,-,30s,axes,(angular,velocity).
"4166073880000,","-0.06811147,","0.5152648,",0.04734206,-,jumping,-,30s,axes,(angular,velocity).
"4166078884000,","-0.064446285,","0.48197266,",0.05009095,-,jumping,-,30s,axes,(angular,velocity).
"4166083874000,","-0.064446285,","0.4373795,",0.04550946,-,jumping,-,30s,axes,(angular,velocity).
"4166088868000,","-0.047647487,","0.3894266,",0.032375857,-,jumping,-,30s,axes,(angular,velocity).
"4166093865000,","-0.043982297,","0.32498032,",0.03176499,-,jumping,-,30s,axes,(angular,velocity).
"4166098882000,","-0.025045475,","0.27855456,",0.016493361,-,jumping,-,30s,axes,(angular,velocity).
"4166103894000,","-0.008552114,","0.21410827,",0.008552114,-,jumping,-,30s,axes,(angular,velocity).
"4166108880000,","0.014049901,","0.1704314,",6.1086525e-4,-,jumping,-,30s,axes,(angular,velocity).
"4166113909000,","0.020463986,","0.14905111,",-0.005497787,-,jumping,-,30s,axes,(angular,velocity).
"4166118889000,","0.03726278,","0.113926366,",-0.0125227375,-,jumping,-,30s,axes,(angular,velocity).
"4166123881000,","0.043982297,","0.099571034,",-0.018020526,-,jumping,-,30s,axes,(angular,velocity).
"4166128904000,","0.03848451,","0.07849618,",-0.018325957,-,jumping,-,30s,axes,(angular,velocity).
"4166134063000,","0.0421497,","0.06811147,",-0.0143553335,-,jumping,-,30s,axes,(angular,velocity).
"4166138891000,","0.032986723,","0.0693332,",-0.0143553335,-,jumping,-,30s,axes,(angular,velocity).
"4166143878000,","0.040011674,","0.059864793,",-0.009162978,-,jumping,-,30s,axes,(angular,velocity).
"4166148916000,","0.03359759,","0.052839845,",-0.01160644,-,jumping,-,30s,axes,(angular,velocity).
"4166153983000,","0.03604105,","0.04886922,",-0.01160644,-,jumping,-,30s,axes,(angular,velocity).
"4166158975000,","0.025961773,","0.03940081,",0.0012217305,-,jumping,-,30s,axes,(angular,velocity).
"4166164055000,","0.02443461,","0.021685716,",0.004581489,-,jumping,-,30s,axes,(angular,velocity).
"4166169026000,","0.026572637,","0.03970624,",0.017104227,-,jumping,-,30s,axes,(angular,velocity).
"4166173986000,","0.03481932,","0.028099801,",0.025961773,-,jumping,-,30s,axes,(angular,velocity).
"4166179032000,","0.03604105,","0.025350908,",0.040011674,-,jumping,-,30s,axes,(angular,velocity).
"4166184038000,","0.034513887,","0.025350908,",0.03726278,-,jumping,-,30s,axes,(angular,velocity).
"4166189013000,","0.028710667,","0.029932396,",0.055588737,-,jumping,-,30s,axes,(angular,velocity).
"4166193971000,","0.026267206,","0.040011674,",0.06872234,-,jumping,-,30s,axes,(angular,velocity).
"4166199027000,","0.02443461,","0.056199603,",0.05222898,-,jumping,-,30s,axes,(angular,velocity).
"4166203989000,","0.007941248,","0.08155051,",0.0580322,-,jumping,-,30s,axes,(angular,velocity).
"4166208987000,","-0.015271631,","0.099571034,",0.0693332,-,jumping,-,30s,axes,(angular,velocity).
"4166214015000,","-0.013133603,","0.09285152,",0.07513642,-,jumping,-,30s,axes,(angular,velocity).
"4166219012000,","-0.025350908,","0.08307768,",0.07696902,-,jumping,-,30s,axes,(angular,velocity).
"4166224219000,","-0.024740042,","0.058337633,",0.076358154,-,jumping,-,30s,axes,(angular,velocity).
"4166230132000,","-0.0106901415,","0.03359759,",0.07666359,-,jumping,-,30s,axes,(angular,velocity).
"4166234011000,","-0.0143553335,","0.009773844,",0.07147124,-,jumping,-,30s,axes,(angular,velocity).
"4166239009000,","-0.0070249503,","-0.0033597588,",0.06261369,-,jumping,-,30s,axes,(angular,velocity).
"4166243966000,","0.0012217305,","-0.013439035,",0.067500606,-,jumping,-,30s,axes,(angular,velocity).
"4166249001000,","-0.0061086523,","-0.019242255,",0.05497787,-,jumping,-,30s,axes,(angular,velocity).
"4166254355000,","6.1086525e-4,","-0.03390302,",0.049785517,-,jumping,-,30s,axes,(angular,velocity).
"4166258977000,","-0.0015271631,","-0.035430185,",0.04734206,-,jumping,-,30s,axes,(angular,velocity).
"4166264012000,","0.0061086523,","-0.031154128,",0.032070424,-,jumping,-,30s,axes,(angular,velocity).
"4166269026000,","0.01038471,","-0.035124753,",0.030543262,-,jumping,-,30s,axes,(angular,velocity).
"4166273979000,","0.006414085,","-0.028710667,",0.028405234,-,jumping,-,30s,axes,(angular,velocity).
"4166279142000,","0.008857546,","-0.021380283,",0.024740042,-,jumping,-,30s,axes,(angular,velocity).
"4166284005000,","0.018936822,","-0.011301007,",0.015882496,-,jumping,-,30s,axes,(angular,velocity).
"4166289032000,","0.019242255,","0.0076358155,",0.024129177,-,jumping,-,30s,axes,(angular,velocity).
"4166294028000,","0.02076942,","0.0143553335,",0.016798794,-,jumping,-,30s,axes,(angular,velocity).
"4166300126000,","0.009468411,","0.024129177,",0.02076942,-,jumping,-,30s,axes,(angular,velocity).
"4166303985000,","0.011301007,","0.044593163,",0.018325957,-,jumping,-,30s,axes,(angular,velocity).
"4166309288000,","0.0076358155,","0.05375614,",0.034208454,-,jumping,-,30s,axes,(angular,velocity).
"4166314014000,","0.00580322,","0.062308256,",0.03359759,-,jumping,-,30s,axes,(angular,velocity).
"4166319013000,","-9.162979e-4,","0.06841691,",0.034513887,-,jumping,-,30s,axes,(angular,velocity).
"4166324215000,","0.004581489,","0.084910266,",0.03145956,-,jumping,-,30s,axes,(angular,velocity).
"4166329179000,","9.162979e-4,","0.086132,",0.029932396,-,jumping,-,30s,axes,(angular,velocity).
"4166334067000,","-3.0543262e-4,","0.08674286,",0.03726278,-,jumping,-,30s,axes,(angular,velocity).
"4166339010000,","-0.01038471,","0.0888809,",0.022296581,-,jumping,-,30s,axes,(angular,velocity).
"4166344021000,","-0.008246681,","0.09101892,",0.024129177,-,jumping,-,30s,axes,(angular,velocity).
"4166349027000,","-0.013133603,","0.09254608,",0.030848695,-,jumping,-,30s,axes,(angular,velocity).
"4166353986000,","-0.008552114,","0.08674286,",0.021991149,-,jumping,-,30s,axes,(angular,velocity).
"4166359001000,","-0.016187929,","0.079107046,",0.028710667,-,jumping,-,30s,axes,(angular,velocity).
"4166364133000,","-0.013133603,","0.06566802,",0.030848695,-,jumping,-,30s,axes,(angular,velocity).
"4166369004000,","-0.010079277,","0.04886922,",0.035430185,-,jumping,-,30s,axes,(angular,velocity).
"4166373992000,","-0.022296581,","0.040317107,",0.0421497,-,jumping,-,30s,axes,(angular,velocity).
"4166379098000,","-0.019547688,","0.03756821,",0.036651913,-,jumping,-,30s,axes,(angular,velocity).
"4166384013000,","-0.016187929,","0.043066,",0.04428773,-,jumping,-,30s,axes,(angular,velocity).
"4166388986000,","-0.01282817,","0.035430185,",0.04642576,-,jumping,-,30s,axes,(angular,velocity).
"4166393982000,","-0.013744468,","0.023823744,",0.046120327,-,jumping,-,30s,axes,(angular,velocity).
"4166398996000,","-0.0143553335,","0.021991149,",0.05100725,-,jumping,-,30s,axes,(angular,velocity).
"4166404007000,","0.0021380284,","0.007941248,",0.05100725,-,jumping,-,30s,axes,(angular,velocity).
"4166408970000,","0.0030543262,","0.01038471,",0.053450707,-,jumping,-,30s,axes,(angular,velocity).
"4166414042000,","0.002443461,","0.011301007,",0.048563786,-,jumping,-,30s,axes,(angular,velocity).
"4166419026000,","0.0021380284,","0.013439035,",0.04795292,-,jumping,-,30s,axes,(angular,velocity).
"4166423990000,","0.003970624,","0.004581489,",0.044593163,-,jumping,-,30s,axes,(angular,velocity).
"4166429001000,","0.010995574,","-0.010079277,",0.047036625,-,jumping,-,30s,axes,(angular,velocity).
"4166434018000,","0.01282817,","-0.007330383,",0.040317107,-,jumping,-,30s,axes,(angular,velocity).
"4166438989000,","0.0076358155,","-0.028710667,",0.029932396,-,jumping,-,30s,axes,(angular,velocity).
"4166443973000,","0.01740966,","-0.027794369,",0.020463986,-,jumping,-,30s,axes,(angular,velocity).
"4166448995000,","-0.0036651916,","-0.021991149,",0.025045475,-,jumping,-,30s,axes,(angular,velocity).
"4166454014000,","0.0015271631,","-0.027183503,",0.017715093,-,jumping,-,30s,axes,(angular,velocity).
"4166458979000,","-0.012217305,","-0.03176499,",0.020158553,-,jumping,-,30s,axes,(angular,velocity).
"4166464055000,","-0.015577064,","-0.034513887,",0.01863139,-,jumping,-,30s,axes,(angular,velocity).
"4166468990000,","-0.014049901,","-0.02565634,",0.017715093,-,jumping,-,30s,axes,(angular,velocity).
"4166474126000,","-0.021685716,","-0.014966198,",0.01863139,-,jumping,-,30s,axes,(angular,velocity).
"4166479121000,","-0.023518313,","-0.02687807,",0.01985312,-,jumping,-,30s,axes,(angular,velocity).
"4166484011000,","-0.03848451,","-0.023823744,",0.017104227,-,jumping,-,30s,axes,(angular,velocity).
"4166489007000,","-0.032986723,","-0.028099801,",0.02107485,-,jumping,-,30s,axes,(angular,velocity).
"4166493972000,","-0.04795292,","-0.015271631,",0.02443461,-,jumping,-,30s,axes,(angular,velocity).
"4166498998000,","-0.05222898,","-0.014660766,",0.022602014,-,jumping,-,30s,axes,(angular,velocity).
"4166504012000,","-0.060170226,","-0.014966198,",0.01863139,-,jumping,-,30s,axes,(angular,velocity).
"4166509112000,","-0.061391957,","-0.032375857,",0.016187929,-,jumping,-,30s,axes,(angular,velocity).
"4166514050000,","-0.050396383,","-0.037873644,",0.0143553335,-,jumping,-,30s,axes,(angular,velocity).
"4166519037000,","-0.053145275,","-0.050396383,",0.016187929,-,jumping,-,30s,axes,(angular,velocity).
"4166524130000,","-0.0571159,","-0.07086037,",0.010995574,-,jumping,-,30s,axes,(angular,velocity).
"4166528995000,","-0.049785517,","-0.08399397,",0.0070249503,-,jumping,-,30s,axes,(angular,velocity).
"4166534018000,","-0.061086524,","-0.10598512,",0.004886922,-,jumping,-,30s,axes,(angular,velocity).
"4166538987000,","-0.05375614,","-0.115453534,",0.008857546,-,jumping,-,30s,axes,(angular,velocity).
"4166543972000,","-0.06566802,","-0.12736541,",0.004581489,-,jumping,-,30s,axes,(angular,velocity).
"4166549018000,","-0.06414085,","-0.13591751,",-0.0018325958,-,jumping,-,30s,axes,(angular,velocity).
"4166553999000,","-0.07727446,","-0.13805555,",0.005192355,-,jumping,-,30s,axes,(angular,velocity).
"4166558981000,","-0.07452556,","-0.14385876,",-0.009773844,-,jumping,-,30s,axes,(angular,velocity).
"4166564005000,","-0.074830994,","-0.15363261,",-0.009773844,-,jumping,-,30s,axes,(angular,velocity).
"4166569024000,","-0.08155051,","-0.17012598,",-0.011911872,-,jumping,-,30s,axes,(angular,velocity).
"4166573972000,","-0.089491755,","-0.19547687,",-0.010079277,-,jumping,-,30s,axes,(angular,velocity).
"4166579072000,","-0.100792766,","-0.22143865,",-0.0061086523,-,jumping,-,30s,axes,(angular,velocity).
"4166584014000,","-0.111177474,","-0.2519819,",-0.002443461,-,jumping,-,30s,axes,(angular,velocity).
"4166589037000,","-0.12583824,","-0.2733622,",0.008246681,-,jumping,-,30s,axes,(angular,velocity).
"4166594033000,","-0.15424347,","-0.30634892,",0.016187929,-,jumping,-,30s,axes,(angular,velocity).
"4166598994000,","-0.16615535,","-0.35155296,",0.02565634,-,jumping,-,30s,axes,(angular,velocity).
"4166604001000,","-0.19425514,","-0.3903429,",0.02565634,-,jumping,-,30s,axes,(angular,velocity).
"4166608987000,","-0.20952678,","-0.39828414,",0.037873644,-,jumping,-,30s,axes,(angular,velocity).
"4166614064000,","-0.22235495,","-0.42943826,",0.03756821,-,jumping,-,30s,axes,(angular,velocity).
"4166618991000,","-0.23823744,","-0.45753807,",0.05009095,-,jumping,-,30s,axes,(angular,velocity).
"4166625241000,","-0.24678956,","-0.4792238,",0.05681047,-,jumping,-,30s,axes,(angular,velocity).
"4166629221000,","-0.27947086,","-0.4801401,",0.05589417,-,jumping,-,30s,axes,(angular,velocity).
"4166634039000,","-0.28496864,","-0.5015204,",0.058948494,-,jumping,-,30s,axes,(angular,velocity).
"4166638991000,","-0.29443705,","-0.5128214,",0.057421334,-,jumping,-,30s,axes,(angular,velocity).
"4166643970000,","-0.30482176,","-0.5326745,",0.04520403,-,jumping,-,30s,axes,(angular,velocity).
"4166649047000,","-0.32162055,","-0.55741453,",0.048563786,-,jumping,-,30s,axes,(angular,velocity).
"4166653993000,","-0.3417791,","-0.6020077,",0.03726278,-,jumping,-,30s,axes,(angular,velocity).
"4166658987000,","-0.34147367,","-0.6441574,",0.02565634,-,jumping,-,30s,axes,(angular,velocity).
"4166664011000,","-0.36254853,","-0.6963864,",0.016493361,-,jumping,-,30s,axes,(angular,velocity).
"4166669176000,","-0.37965274,","-0.74067414,",3.0543262e-4,-,jumping,-,30s,axes,(angular,velocity).
"4166674013000,","-0.37934732,","-0.77213365,",-0.022296581,-,jumping,-,30s,axes,(angular,velocity).
"4166679182000,","-0.3735441,","-0.784351,",-0.040317107,-,jumping,-,30s,axes,(angular,velocity).
"4166684015000,","-0.35888332,","-0.7733554,",-0.057421334,-,jumping,-,30s,axes,(angular,velocity).
"4166688990000,","-0.3576616,","-0.73945236,",-0.07666359,-,jumping,-,30s,axes,(angular,velocity).
"4166694264000,","-0.34269542,","-0.6786713,",-0.09437868,-,jumping,-,30s,axes,(angular,velocity).
"4166699011000,","-0.33169982,","-0.57451874,",-0.105068825,-,jumping,-,30s,axes,(angular,velocity).
"4166703991000,","-0.3417791,","-0.5207626,",-0.12614368,-,jumping,-,30s,axes,(angular,velocity).
"4166708972000,","-0.3622431,","-0.42210788,",-0.13072516,-,jumping,-,30s,axes,(angular,velocity).
"4166714025000,","-0.376293,","-0.321926,",-0.14294247,-,jumping,-,30s,axes,(angular,velocity).
"4166719034000,","-0.40469822,","-0.2275473,",-0.14935656,-,jumping,-,30s,axes,(angular,velocity).
"4166723991000,","-0.43127087,","-0.15088372,",-0.15424347,-,jumping,-,30s,axes,(angular,velocity).
"4166729000000,","-0.46028697,","-0.08735373,",-0.16371189,-,jumping,-,30s,axes,(angular,velocity).
"4166734018000,","-0.49632803,","-0.013133603,",-0.17654006,-,jumping,-,30s,axes,(angular,velocity).
"4166739012000,","-0.5109888,","0.042760566,",-0.19058995,-,jumping,-,30s,axes,(angular,velocity).
"4166743986000,","-0.52290064,","0.080634214,",-0.20922135,-,jumping,-,30s,axes,(angular,velocity).
"4166749017000,","-0.5519168,","0.10476339,",-0.20891592,-,jumping,-,30s,axes,(angular,velocity).
"4166753986000,","-0.5907067,","0.1328632,",-0.20616703,-,jumping,-,30s,axes,(angular,velocity).
"4166758971000,","-0.627664,","0.15118915,",-0.20189096,-,jumping,-,30s,axes,(angular,velocity).
"4166763986000,","-0.6759224,","0.19394971,",-0.18570304,-,jumping,-,30s,axes,(angular,velocity).
"4166769049000,","-0.72784597,","0.21746802,",-0.16432275,-,jumping,-,30s,axes,(angular,velocity).
"4166773988000,","-0.79504114,","0.2415972,",-0.14294247,-,jumping,-,30s,axes,(angular,velocity).
"4166779134000,","-0.86009824,","0.2556471,",-0.12492194,-,jumping,-,30s,axes,(angular,velocity).
"4166784016000,","-0.92057395,","0.26542094,",-0.10903945,-,jumping,-,30s,axes,(angular,velocity).
"4166789010000,","-0.9804387,","0.28680122,",-0.101098195,-,jumping,-,30s,axes,(angular,velocity).
"4166794030000,","-1.0235047,","0.29626966,",-0.10781772,-,jumping,-,30s,axes,(angular,velocity).
"4166799031000,","-1.0946705,","0.28955013,",-0.1160644,-,jumping,-,30s,axes,(angular,velocity).
"4166804062000,","-1.1728612,","0.28130344,",-0.1328632,-,jumping,-,30s,axes,(angular,velocity).
"4166809000000,","-1.2528846,","0.2669481,",-0.15271631,-,jumping,-,30s,axes,(angular,velocity).
"4166814017000,","-1.303281,","0.22999077,",-0.19394971,-,jumping,-,30s,axes,(angular,velocity).
"4166819040000,","-1.4175128,","0.19150625,",-0.24831672,-,jumping,-,30s,axes,(angular,velocity).
"4166823984000,","-1.5357152,","0.14446963,",-0.31581733,-,jumping,-,30s,axes,(angular,velocity).
"4166829137000,","-1.666135,","0.09773844,",-0.4016439,-,jumping,-,30s,axes,(angular,velocity).
"4166834082000,","-1.7956384,","0.05222898,",-0.49296826,-,jumping,-,30s,axes,(angular,velocity).
"4166839036000,","-1.9165897,","0.061086524,",-0.58184916,-,jumping,-,30s,axes,(angular,velocity).
"4166843976000,","-2.0744984,","0.09437868,",-0.66950834,-,jumping,-,30s,axes,(angular,velocity).
"4166848999000,","-2.268448,","0.13164146,",-0.7761043,-,jumping,-,30s,axes,(angular,velocity).
"4166854033000,","-2.5033257,","0.26206118,",-0.8604037,-,jumping,-,30s,axes,(angular,velocity).
"4166859040000,","-2.801428,","0.4709771,",-0.9407325,-,jumping,-,30s,axes,(angular,velocity).
"4166864013000,","-3.1117475,","0.795652,",-1.0363328,-,jumping,-,30s,axes,(angular,velocity).
"4166869306000,","-3.3496795,","1.2229522,",-1.1349876,-,jumping,-,30s,axes,(angular,velocity).
"4166874016000,","-3.5225544,","1.6270396,",-1.207986,-,jumping,-,30s,axes,(angular,velocity).
"4166880360000,","-3.5659258,","1.8735237,",-1.2684617,-,jumping,-,30s,axes,(angular,velocity).
"4166884026000,","-3.460246,","1.8781052,",-1.3377949,-,jumping,-,30s,axes,(angular,velocity).
"4166889042000,","-3.2571335,","1.5714508,",-1.4001031,-,jumping,-,30s,axes,(angular,velocity).
"4166894029000,","-3.0411925,","1.0036516,",-1.4672983,-,jumping,-,30s,axes,(angular,velocity).
"4166899041000,","-2.886949,","0.25717425,",-1.5457945,-,jumping,-,30s,axes,(angular,velocity).
"4166904044000,","-2.8102856,","-0.062308256,",-1.5439619,-,jumping,-,30s,axes,(angular,velocity).
"4166909029000,","-2.7953193,","-0.33414328,",-1.4993688,-,jumping,-,30s,axes,(angular,velocity).
"4166914014000,","-2.7430904,","-0.10445796,",-1.3206906,-,jumping,-,30s,axes,(angular,velocity).
"4166919102000,","-2.536618,","0.3594942,",-1.0925325,-,jumping,-,30s,axes,(angular,velocity).
"4166924029000,","-2.259896,","0.8753699,",-0.8509353,-,jumping,-,30s,axes,(angular,velocity).
"4166929169000,","-2.0277672,","1.280679,",-0.64873886,-,jumping,-,30s,axes,(angular,velocity).
"4166934067000,","-1.9184223,","1.4065173,",-0.514654,-,jumping,-,30s,axes,(angular,velocity).
"4166939035000,","-1.9190332,","1.2339478,",-0.47678033,-,jumping,-,30s,axes,(angular,velocity).
"4166944022000,","-1.9465221,","0.9841039,",-0.44043383,-,jumping,-,30s,axes,(angular,velocity).
"4166949877000,","-1.9040669,","0.62980205,",-0.42485678,-,jumping,-,30s,axes,(angular,velocity).
"4166954129000,","-1.820073,","0.11881329,",-0.41996986,-,jumping,-,30s,axes,(angular,velocity).
"4166959031000,","-1.7305813,","-0.47891834,",-0.3998113,-,jumping,-,30s,axes,(angular,velocity).
"4166964014000,","-1.7531832,","-1.142318,",-0.35308012,-,jumping,-,30s,axes,(angular,velocity).
"4166969051000,","-1.8988746,","-1.8524488,",-0.30176744,-,jumping,-,30s,axes,(angular,velocity).
"4166974055000,","-2.0668626,","-2.52043,",-0.23671028,-,jumping,-,30s,axes,(angular,velocity).
"4166979177000,","-2.1813998,","-2.9538388,",-0.16065755,-,jumping,-,30s,axes,(angular,velocity).
"4166984019000,","-2.1181753,","-2.9969049,",-0.035430185,-,jumping,-,30s,axes,(angular,velocity).
"4166989037000,","-1.9040669,","-2.4489589,",0.10140363,-,jumping,-,30s,axes,(angular,velocity).
"4166994032000,","-1.6178766,","-1.3200798,",0.20280726,-,jumping,-,30s,axes,(angular,velocity).
"4166999046000,","-1.4049901,","-0.09162979,",0.20066923,-,jumping,-,30s,axes,(angular,velocity).
"4167003985000,","-1.3579534,","0.39003745,",0.16829337,-,jumping,-,30s,axes,(angular,velocity).
"4167009065000,","-1.3991868,","0.9434814,",0.10903945,-,jumping,-,30s,axes,(angular,velocity).
"4167014038000,","-1.5415184,","0.94806284,",0.05009095,-,jumping,-,30s,axes,(angular,velocity).
"4167019970000,","-1.5906931,","0.3827071,",-0.017104227,-,jumping,-,30s,axes,(angular,velocity).
"4167023986000,","-1.4343116,","0.13133603,",-0.058337633,-,jumping,-,30s,axes,(angular,velocity).
"4167028996000,","-1.3732251,","-0.3173445,",-0.12736541,-,jumping,-,30s,axes,(angular,velocity).
"4167034017000,","-1.2864822,","-0.636827,",-0.14263703,-,jumping,-,30s,axes,(angular,velocity).
"4167038991000,","-1.2712106,","-0.8472701,",-0.16187929,-,jumping,-,30s,axes,(angular,velocity).
"4167043998000,","-1.2284501,","-1.0268645,",-0.13652839,-,jumping,-,30s,axes,(angular,velocity).
"4167049112000,","-1.0980303,","-1.2895365,",-0.04917465,-,jumping,-,30s,axes,(angular,velocity).
"4167053995000,","-0.88331115,","-1.7476854,",0.09682214,-,jumping,-,30s,axes,(angular,velocity).
"4167059045000,","-0.59528816,","-2.2559254,",0.28344148,-,jumping,-,30s,axes,(angular,velocity).
"4167064084000,","-0.25778514,","-2.547919,",0.49021935,-,jumping,-,30s,axes,(angular,velocity).
"4167069025000,","0.04153884,","-2.6929994,",0.68386364,-,jumping,-,30s,axes,(angular,velocity).
"4167073979000,","0.2782491,","-2.7482827,",0.8552113,-,jumping,-,30s,axes,(angular,velocity).
"4167079004000,","0.48716503,","-2.6367998,",0.94806284,-,jumping,-,30s,axes,(angular,velocity).
"4167084014000,","0.6771441,","-2.3423629,",1.024421,-,jumping,-,30s,axes,(angular,velocity).
