#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","6.885724,","6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#datetime:,03/07/2013,14:06:01,3.1316159,-,sit,chair,-,(including,gravity).
##########################################,"6.885724,","6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#activity:,7,-,sch,-,sit,chair,-,6s,gravity).
#subject,id:,10,3.1316159,-,sit,chair,-,(including,gravity).
#first,name:,sub10,3.1316159,-,sit,chair,-,(including,gravity).
#last,name:,sub10,3.1316159,-,sit,chair,-,(including,gravity).
#age:,26,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#height(cm):,170,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#weight(kg):,90,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
#gender:,female,"6.3111157,",3.1316159,-,sit,chair,-,(including,gravity).
"2959733554000,","-1.0821792,","9.902418,",-1.1109096,-,sit,chair,-,(including,gravity).
"2959743747000,","-1.0821792,","9.883265,",-1.1204864,-,sit,chair,-,(including,gravity).
"2959753732000,","-1.1300632,","9.854534,",-1.1204864,-,sit,chair,-,(including,gravity).
"2959765972000,","-1.1683705,","9.844957,",-1.1300632,-,sit,chair,-,(including,gravity).
"2959777618000,","-1.2449849,","9.825804,",-1.1204864,-,sit,chair,-,(including,gravity).
"2959788420000,","-1.4556746,","9.768343,",-1.0630256,-,sit,chair,-,(including,gravity).
"2959798658000,","-1.5227122,","9.77792,",-0.9959879,-,sit,chair,-,(including,gravity).
"2959808229000,","-1.5610195,","9.758766,",-0.92895025,-,sit,chair,-,(including,gravity).
"2959818629000,","-1.6089035,","9.816227,",-0.90021986,-,sit,chair,-,(including,gravity).
"2959828485000,","-1.6280571,","9.80665,",-0.8619126,-,sit,chair,-,(including,gravity).
"2959838936000,","-1.6663644,","9.825804,",-0.79487497,-,sit,chair,-,(including,gravity).
"2959851143000,","-1.6567876,","9.864111,",-0.7374141,-,sit,chair,-,(including,gravity).
"2959861962000,","-1.6280571,","9.873688,",-0.6991069,-,sit,chair,-,(including,gravity).
"2959872058000,","-1.6089035,","9.864111,",-0.6799533,-,sit,chair,-,(including,gravity).
"2959882729000,","-1.6089035,","9.864111,",-0.641646,-,sit,chair,-,(including,gravity).
"2959893107000,","-1.5610195,","9.835381,",-0.641646,-,sit,chair,-,(including,gravity).
"2959902794000,","-1.5610195,","9.825804,",-0.6607997,-,sit,chair,-,(including,gravity).
"2959913170000,","-1.541866,","9.758766,",-0.7374141,-,sit,chair,-,(including,gravity).
"2959924113000,","-1.5705963,","9.739613,",-0.82360536,-,sit,chair,-,(including,gravity).
"2959933707000,","-1.541866,","9.720459,",-0.90021986,-,sit,chair,-,(including,gravity).
"2959943523000,","-1.5131354,","9.710882,",-0.9672575,-,sit,chair,-,(including,gravity).
"2959953645000,","-1.484405,","9.701305,",-1.0247183,-,sit,chair,-,(including,gravity).
"2959964250000,","-1.4460979,","9.720459,",-1.091756,-,sit,chair,-,(including,gravity).
"2959974276000,","-1.4460979,","9.758766,",-1.1492168,-,sit,chair,-,(including,gravity).
"2959986442000,","-1.3790601,","9.758766,",-1.2449849,-,sit,chair,-,(including,gravity).
"2959996932000,","-1.340753,","9.730036,",-1.1875241,-,sit,chair,-,(including,gravity).
"2960009357000,","-1.283292,","9.691729,",-1.1971009,-,sit,chair,-,(including,gravity).
"2960019026000,","-1.1683705,","9.672575,",-1.1300632,-,sit,chair,-,(including,gravity).
"2960028725000,","-1.0821792,","9.691729,",-1.1587936,-,sit,chair,-,(including,gravity).
"2960041128000,","-1.0534488,","9.643845,",-1.1683705,-,sit,chair,-,(including,gravity).
"2960051783000,","-1.091756,","9.653421,",-1.1492168,-,sit,chair,-,(including,gravity).
"2960062853000,","-1.13964,","9.682152,",-1.1683705,-,sit,chair,-,(including,gravity).
"2960072387000,","-1.1492168,","9.691729,",-1.1683705,-,sit,chair,-,(including,gravity).
"2960082961000,","-1.1779473,","9.682152,",-1.1683705,-,sit,chair,-,(including,gravity).
"2960092808000,","-1.1779473,","9.662998,",-1.1204864,-,sit,chair,-,(including,gravity).
"2960102880000,","-1.091756,","9.691729,",-1.1109096,-,sit,chair,-,(including,gravity).
"2960113538000,","-1.1109096,","9.672575,",-1.1492168,-,sit,chair,-,(including,gravity).
"2960124213000,","-1.0821792,","9.701305,",-1.1971009,-,sit,chair,-,(including,gravity).
"2960133890000,","-1.0726024,","9.710882,",-1.2449849,-,sit,chair,-,(including,gravity).
"2960145232000,","-1.0821792,","9.787497,",-1.340753,-,sit,chair,-,(including,gravity).
"2960157748000,","-1.0534488,","9.787497,",-1.4269443,-,sit,chair,-,(including,gravity).
"2960167364000,","-1.043872,","9.797073,",-1.5131354,-,sit,chair,-,(including,gravity).
"2960177215000,","-1.0726024,","9.797073,",-1.6376339,-,sit,chair,-,(including,gravity).
"2960187973000,","-1.1587936,","9.758766,",-1.7046716,-,sit,chair,-,(including,gravity).
"2960197511000,","-1.2545617,","9.730036,",-1.7525556,-,sit,chair,-,(including,gravity).
"2960207909000,","-1.388637,","9.615114,",-1.7621324,-,sit,chair,-,(including,gravity).
"2960218418000,","-1.4939818,","9.490616,",-1.7525556,-,sit,chair,-,(including,gravity).
"2960227916000,","-1.6376339,","9.423578,",-1.7621324,-,sit,chair,-,(including,gravity).
"2960238214000,","-1.7429788,","9.346964,",-1.8004397,-,sit,chair,-,(including,gravity).
"2960251382000,","-2.0111294,","9.184157,",-1.8674773,-,sit,chair,-,(including,gravity).
"2960263805000,","-2.1260512,","9.165004,",-1.8674773,-,sit,chair,-,(including,gravity).
"2960273430000,","-2.2409728,","9.165004,",-1.8100165,-,sit,chair,-,(including,gravity).
"2960283755000,","-2.327164,","9.14585,",-1.7908629,-,sit,chair,-,(including,gravity).
"2960294407000,","-2.3463178,","9.203311,",-1.6950948,-,sit,chair,-,(including,gravity).
"2960304782000,","-2.27928,","9.184157,",-1.5131354,-,sit,chair,-,(including,gravity).
"2960316715000,","-2.135628,","9.337387,",-1.4077905,-,sit,chair,-,(including,gravity).
"2960327115000,","-1.8962077,","9.528923,",-1.1587936,-,sit,chair,-,(including,gravity).
"2960337937000,","-1.532289,","9.873688,",-0.11492168,-,sit,chair,-,(including,gravity).
"2960347463000,","-1.0151415,","10.228029,",1.0726024,-,sit,chair,-,(including,gravity).
"2960358023000,","-0.7565677,","10.390836,",0.5267244,-,sit,chair,-,(including,gravity).
"2960368297000,","-0.8331822,","10.342952,",-0.16280572,-,sit,chair,-,(including,gravity).
"2960377771000,","-1.0821792,","10.208876,",-0.80445176,-,sit,chair,-,(including,gravity).
"2960388731000,","-1.4556746,","10.247183,",-1.436521,-,sit,chair,-,(including,gravity).
"2960398160000,","-1.3790601,","10.304645,",-1.4269443,-,sit,chair,-,(including,gravity).
"2960408830000,","-1.283292,","10.199299,",-1.340753,-,sit,chair,-,(including,gravity).
"2960419748000,","-1.2258313,","10.01734,",-1.4460979,-,sit,chair,-,(including,gravity).
"2960431743000,","-1.1587936,","9.873688,",-1.6663644,-,sit,chair,-,(including,gravity).
"2960441383000,","-0.9959879,","9.854534,",-1.8962077,-,sit,chair,-,(including,gravity).
"2960451834000,","-0.7374141,","9.797073,",-2.078167,-,sit,chair,-,(including,gravity).
"2960461730000,","-0.45968673,","9.730036,",-2.0494366,-,sit,chair,-,(including,gravity).
"2960472784000,","-0.22984336,","9.634268,",-1.9536686,-,sit,chair,-,(including,gravity).
"2960483044000,","0.06703765,","9.509769,",-1.9153614,-,sit,chair,-,(including,gravity).
"2960492771000,","0.2777274,","9.404425,",-1.982399,-,sit,chair,-,(including,gravity).
"2960502302000,","0.49799395,","9.32781,",-1.9536686,-,sit,chair,-,(including,gravity).
"2960512526000,","0.7182605,","9.289502,",-1.7238252,-,sit,chair,-,(including,gravity).
"2960522559000,","0.93852705,","9.3182335,",-1.3599066,-,sit,chair,-,(including,gravity).
"2960532899000,","1.1013328,","9.442732,",-0.82360536,-,sit,chair,-,(including,gravity).
"2960543167000,","1.091756,","9.557653,",-0.32561144,-,sit,chair,-,(including,gravity).
"2960552966000,","0.79487497,","9.586384,",-0.095768064,-,sit,chair,-,(including,gravity).
"2960565920000,","0.009576807,","9.519346,",-0.46926352,-,sit,chair,-,(including,gravity).
"2960576372000,","-0.24899697,","9.615114,",-0.45010993,-,sit,chair,-,(including,gravity).
"2960588758000,","-0.24899697,","9.844957,",-0.36391866,-,sit,chair,-,(including,gravity).
"2960598151000,","-0.12449849,","9.988609,",-0.33518824,-,sit,chair,-,(including,gravity).
"2960608844000,","0.009576807,","9.864111,",-0.34476504,-,sit,chair,-,(including,gravity).
"2960618606000,","0.18195933,","9.586384,",-0.5363012,-,sit,chair,-,(including,gravity).
"2960628666000,","0.45010993,","9.346964,",-0.7278373,-,sit,chair,-,(including,gravity).
"2960641172000,","0.63206923,","9.097966,",-0.7278373,-,sit,chair,-,(including,gravity).
"2960651874000,","0.7757214,","8.8777,",-0.545878,-,sit,chair,-,(including,gravity).
"2960661796000,","0.92895025,","8.8777,",-0.2777274,-,sit,chair,-,(including,gravity).
"2960671475000,","1.0821792,","8.8777,",-0.06703765,-,sit,chair,-,(including,gravity).
"2960684106000,","1.5131354,","9.050082,",-0.02873042,-,sit,chair,-,(including,gravity).
"2960693808000,","1.7812861,","9.212888,",-0.08619126,-,sit,chair,-,(including,gravity).
"2960705093000,","1.8100165,","9.021352,",-0.19153613,-,sit,chair,-,(including,gravity).
"2960715272000,","2.384625,","9.232041,",-0.15322891,-,sit,chair,-,(including,gravity).
"2960725666000,","2.6527755,","9.11712,",-0.1436521,-,sit,chair,-,(including,gravity).
"2960737448000,","2.8538885,","9.021352,",-0.25857377,-,sit,chair,-,(including,gravity).
"2960747111000,","2.9113493,","8.829816,",-0.1436521,-,sit,chair,-,(including,gravity).
"2960758421000,","3.1028855,","8.829816,",-0.038307227,-,sit,chair,-,(including,gravity).
"2960771850000,","3.122039,","8.628703,",0.02873042,-,sit,chair,-,(including,gravity).
"2960783980000,","3.2465374,","8.542512,",-0.35434186,-,sit,chair,-,(including,gravity).
"2960795402000,","3.3518825,","8.494628,",-0.6607997,-,sit,chair,-,(including,gravity).
"2960807670000,","3.5051112,","8.494628,",-0.81402856,-,sit,chair,-,(including,gravity).
"2960817194000,","3.5051112,","8.494628,",-0.8810662,-,sit,chair,-,(including,gravity).
"2960827565000,","3.4955344,","8.552089,",-0.89064306,-,sit,chair,-,(including,gravity).
"2960837643000,","3.5913026,","8.8777,",-0.92895025,-,sit,chair,-,(including,gravity).
"2960847498000,","3.6583402,","9.3182335,",-0.91937345,-,sit,chair,-,(including,gravity).
"2960858961000,","3.6774938,","9.816227,",-1.0055647,-,sit,chair,-,(including,gravity).
"2960868622000,","3.6583402,","10.304645,",-1.0726024,-,sit,chair,-,(including,gravity).
"2960878199000,","3.8498764,","10.716447,",-0.8810662,-,sit,chair,-,(including,gravity).
"2960891052000,","3.5338416,","10.601525,",-0.51714754,-,sit,chair,-,(including,gravity).
"2960900666000,","3.4955344,","10.419566,",-0.36391866,-,sit,chair,-,(including,gravity).
"2960913386000,","3.217807,","10.0269165,",-0.17238252,-,sit,chair,-,(including,gravity).
"2960922762000,","3.0262709,","9.77792,",0.076614454,-,sit,chair,-,(including,gravity).
"2960933344000,","2.9783869,","9.414001,",0.22984336,-,sit,chair,-,(including,gravity).
"2960943026000,","2.8538885,","8.944737,",0.60333884,-,sit,chair,-,(including,gravity).
"2960953094000,","2.8921957,","9.059659,",1.1492168,-,sit,chair,-,(including,gravity).
"2960963322000,","3.074155,","9.021352,",1.3694834,-,sit,chair,-,(including,gravity).
"2960973314000,","2.8634653,","8.848969,",1.3503298,-,sit,chair,-,(including,gravity).
"2960984041000,","2.920926,","8.935161,",1.4173675,-,sit,chair,-,(including,gravity).
"2960993742000,","3.1028855,","8.887277,",1.4269443,-,sit,chair,-,(including,gravity).
"2961003934000,","3.5338416,","8.925584,",1.541866,-,sit,chair,-,(including,gravity).
"2961014769000,","4.3287168,","9.136273,",1.7238252,-,sit,chair,-,(including,gravity).
"2961024814000,","4.5681367,","9.165004,",1.4748282,-,sit,chair,-,(including,gravity).
"2961035251000,","5.00867,","9.193734,",1.4269443,-,sit,chair,-,(including,gravity).
"2961046420000,","5.0278234,","8.963891,",1.2737153,-,sit,chair,-,(including,gravity).
"2961056573000,","4.9799395,","8.686164,",0.9959879,-,sit,chair,-,(including,gravity).
"2961067230000,","5.094861,","8.456321,",0.6607997,-,sit,chair,-,(including,gravity).
"2961077208000,","5.6982,","7.9391727,",0.5554548,-,sit,chair,-,(including,gravity).
"2961087415000,","6.397307,","8.130709,",0.7086837,-,sit,chair,-,(including,gravity).
"2961097288000,","6.3206925,","7.872135,",0.80445176,-,sit,chair,-,(including,gravity).
"2961108598000,","6.895301,","8.293514,",0.79487497,-,sit,chair,-,(including,gravity).
"2961118321000,","7.2209125,","8.303091,",0.92895025,-,sit,chair,-,(including,gravity).
"2961128136000,","7.3166804,","8.178593,",1.2066777,-,sit,chair,-,(including,gravity).
"2961141755000,","7.680599,","8.236053,",1.13964,-,sit,chair,-,(including,gravity).
"2961151366000,","7.8912888,","8.149862,",1.0342951,-,sit,chair,-,(including,gravity).
"2961162199000,","7.843405,","7.73806,",1.0630256,-,sit,chair,-,(including,gravity).
"2961171595000,","7.7667904,","7.2783732,",1.2354081,-,sit,chair,-,(including,gravity).
"2961182433000,","7.5561004,","7.1155677,",1.5131354,-,sit,chair,-,(including,gravity).
"2961192108000,","7.4124484,","7.144298,",1.8387469,-,sit,chair,-,(including,gravity).
"2961201747000,","7.3645644,","7.0006456,",2.2601264,-,sit,chair,-,(including,gravity).
"2961212585000,","7.3071036,","6.83784,",2.4037786,-,sit,chair,-,(including,gravity).
"2961222621000,","7.2592196,","7.019799,",2.1068976,-,sit,chair,-,(including,gravity).
"2961233388000,","7.240066,","7.144298,",1.8004397,-,sit,chair,-,(including,gravity).
"2961243049000,","7.393295,","6.981492,",1.9728222,-,sit,chair,-,(including,gravity).
"2961253121000,","7.603985,","6.933608,",2.183512,-,sit,chair,-,(including,gravity).
"2961263325000,","7.9008656,","7.07726,",2.432509,-,sit,chair,-,(including,gravity).
"2961274300000,","8.37013,","7.3549876,",2.3463178,-,sit,chair,-,(including,gravity).
"2961284393000,","8.456321,","7.2592196,",2.5761611,-,sit,chair,-,(including,gravity).
"2961294764000,","8.42759,","6.991069,",2.7868507,-,sit,chair,-,(including,gravity).
"2961306905000,","8.264784,","6.703765,",2.7485435,-,sit,chair,-,(including,gravity).
"2961317876000,","8.054094,","6.6654577,",2.5187001,-,sit,chair,-,(including,gravity).
"2961328744000,","7.747637,","6.3781533,",2.4037786,-,sit,chair,-,(including,gravity).
"2961339674000,","7.52737,","6.2728086,",2.3558946,-,sit,chair,-,(including,gravity).
"2961349722000,","7.4124484,","6.090849,",2.4516625,-,sit,chair,-,(including,gravity).
"2961360741000,","7.3071036,","5.9567738,",2.633622,-,sit,chair,-,(including,gravity).
"2961370584000,","7.0581064,","5.813122,",2.7389667,-,sit,chair,-,(including,gravity).
"2961381056000,","6.83784,","5.717354,",2.7581203,-,sit,chair,-,(including,gravity).
"2961391143000,","6.6750345,","5.7365074,",2.767697,-,sit,chair,-,(including,gravity).
"2961401115000,","6.6367273,","5.707777,",2.8443117,-,sit,chair,-,(including,gravity).
"2961413064000,","6.694188,","6.0142345,",2.96881,-,sit,chair,-,(including,gravity).
"2961422203000,","6.7708025,","6.042965,",2.930503,-,sit,chair,-,(including,gravity).
"2961433006000,","6.8186865,","6.253655,",2.9783869,-,sit,chair,-,(including,gravity).
"2961442745000,","6.8761473,","6.483498,",2.8634653,-,sit,chair,-,(including,gravity).
"2961452535000,","6.9048777,","6.5601125,",2.7581203,-,sit,chair,-,(including,gravity).
"2961463308000,","6.933608,","6.6271505,",2.6719291,-,sit,chair,-,(including,gravity).
"2961472746000,","6.885724,","6.493075,",2.681506,-,sit,chair,-,(including,gravity).
"2961483593000,","6.8665705,","6.4164605,",2.6623523,-,sit,chair,-,(including,gravity).
"2961493694000,","6.895301,","6.397307,",2.4995465,-,sit,chair,-,(including,gravity).
"2961503967000,","6.885724,","6.339846,",2.72939,-,sit,chair,-,(including,gravity).
"2961515119000,","6.885724,","6.339846,",2.719813,-,sit,chair,-,(including,gravity).
"2961525335000,","6.8761473,","6.4260373,",2.7868507,-,sit,chair,-,(including,gravity).
"2961536980000,","6.9240313,","6.4643445,",2.815581,-,sit,chair,-,(including,gravity).
"2961546401000,","6.9623384,","6.5122285,",2.633622,-,sit,chair,-,(including,gravity).
"2961557377000,","6.981492,","6.7133417,",2.4612393,-,sit,chair,-,(including,gravity).
"2961567114000,","7.019799,","6.540959,",2.777274,-,sit,chair,-,(including,gravity).
"2961576726000,","6.9719152,","6.6750345,",2.777274,-,sit,chair,-,(including,gravity).
"2961587339000,","7.067683,","6.703765,",2.8921957,-,sit,chair,-,(including,gravity).
"2961596928000,","7.1347213,","6.799533,",2.7581203,-,sit,chair,-,(including,gravity).
"2961608365000,","7.038953,","6.9623384,",2.825158,-,sit,chair,-,(including,gravity).
"2961618888000,","7.0581064,","6.981492,",2.767697,-,sit,chair,-,(including,gravity).
"2961629104000,","6.981492,","7.0485296,",2.815581,-,sit,chair,-,(including,gravity).
"2961639364000,","6.981492,","7.067683,",2.6527755,-,sit,chair,-,(including,gravity).
"2961649408000,","6.9240313,","7.038953,",2.6623523,-,sit,chair,-,(including,gravity).
"2961659571000,","6.9527617,","7.1059904,",2.6431987,-,sit,chair,-,(including,gravity).
"2961670000000,","6.9623384,","7.086837,",2.6527755,-,sit,chair,-,(including,gravity).
"2961681541000,","6.933608,","7.086837,",2.7006595,-,sit,chair,-,(including,gravity).
"2961693146000,","6.9048777,","7.07726,",2.825158,-,sit,chair,-,(including,gravity).
"2961702786000,","6.8761473,","7.0102224,",3.016694,-,sit,chair,-,(including,gravity).
"2961712773000,","6.799533,","6.943185,",3.169923,-,sit,chair,-,(including,gravity).
"2961723243000,","6.742072,","6.9240313,",3.2369606,-,sit,chair,-,(including,gravity).
"2961733581000,","6.646304,","6.8091097,",3.2944214,-,sit,chair,-,(including,gravity).
"2961743831000,","6.5696893,","6.694188,",3.466804,-,sit,chair,-,(including,gravity).
"2961753648000,","6.531382,","6.5026517,",3.5338416,-,sit,chair,-,(including,gravity).
"2961766226000,","6.5601125,","6.4164605,",3.3901896,-,sit,chair,-,(including,gravity).
"2961776341000,","7.0581064,","6.253655,",2.2409728,-,sit,chair,-,(including,gravity).
"2961787269000,","7.4507556,","6.167464,",2.030283,-,sit,chair,-,(including,gravity).
"2961797022000,","7.8050976,","6.1004257,",2.2122424,-,sit,chair,-,(including,gravity).
"2961808720000,","8.082825,","6.0621185,",2.480393,-,sit,chair,-,(including,gravity).
"2961818299000,","8.236053,","6.0238113,",2.719813,-,sit,chair,-,(including,gravity).
"2961828185000,","8.2169,","5.985504,",2.9496565,-,sit,chair,-,(including,gravity).
"2961841548000,","8.130709,","5.93762,",3.1603463,-,sit,chair,-,(including,gravity).
"2961851094000,","8.025364,","5.8226986,",3.2369606,-,sit,chair,-,(including,gravity).
"2961861720000,","7.8050976,","5.7365074,",3.3518825,-,sit,chair,-,(including,gravity).
"2961871369000,","7.5561004,","5.6886234,",3.323152,-,sit,chair,-,(including,gravity).
"2961881607000,","7.374141,","5.631162,",3.3039982,-,sit,chair,-,(including,gravity).
"2961891480000,","7.249643,","5.497087,",3.169923,-,sit,chair,-,(including,gravity).
"2961901715000,","7.1155677,","5.5641246,",3.3135753,-,sit,chair,-,(including,gravity).
"2961912963000,","7.019799,","5.602432,",3.3614593,-,sit,chair,-,(including,gravity).
"2961923573000,","6.7803793,","5.497087,",3.466804,-,sit,chair,-,(including,gravity).
"2961933295000,","6.8665705,","5.497087,",3.466804,-,sit,chair,-,(including,gravity).
"2961943456000,","6.7229185,","5.3247046,",3.7924154,-,sit,chair,-,(including,gravity).
"2961953284000,","6.6846113,","5.2480903,",4.012682,-,sit,chair,-,(including,gravity).
"2961965350000,","6.655881,","5.2385135,",4.185065,-,sit,chair,-,(including,gravity).
"2961977403000,","6.5984197,","5.21936,",4.261679,-,sit,chair,-,(including,gravity).
"2961987660000,","6.5505357,","5.2289367,",4.2904096,-,sit,chair,-,(including,gravity).
"2961997281000,","6.531382,","5.2480903,",4.185065,-,sit,chair,-,(including,gravity).
"2962008651000,","6.5122285,","5.305551,",4.1946416,-,sit,chair,-,(including,gravity).
"2962018076000,","6.5122285,","5.3725886,",4.1371803,-,sit,chair,-,(including,gravity).
"2962028029000,","6.5026517,","5.401319,",4.060566,-,sit,chair,-,(including,gravity).
"2962038072000,","6.4739213,","5.3821654,",4.098873,-,sit,chair,-,(including,gravity).
"2962048156000,","6.435614,","5.353435,",4.0892963,-,sit,chair,-,(including,gravity).
"2962058367000,","6.435614,","5.363012,",4.1659107,-,sit,chair,-,(including,gravity).
"2962068508000,","6.445191,","5.2863975,",4.2521024,-,sit,chair,-,(including,gravity).
"2962078648000,","6.445191,","5.2480903,",4.280833,-,sit,chair,-,(including,gravity).
"2962089320000,","6.4739213,","5.2002063,",4.2999864,-,sit,chair,-,(including,gravity).
"2962099077000,","6.5026517,","5.2480903,",4.3382936,-,sit,chair,-,(including,gravity).
"2962111677000,","6.579266,","5.3438582,",4.3957543,-,sit,chair,-,(including,gravity).
"2962121960000,","6.531382,","5.48751,",4.414908,-,sit,chair,-,(including,gravity).
"2962133756000,","6.5122285,","5.535394,",4.4436383,-,sit,chair,-,(including,gravity).
"2962143593000,","6.4739213,","5.5641246,",4.4915223,-,sit,chair,-,(including,gravity).
"2962153649000,","6.4547677,","5.631162,",4.4340615,-,sit,chair,-,(including,gravity).
"2962164584000,","6.5026517,","5.66947,",4.31914,-,sit,chair,-,(including,gravity).
"2962176489000,","6.5505357,","5.717354,",4.213795,-,sit,chair,-,(including,gravity).
"2962187487000,","6.646304,","5.746084,",4.0318356,-,sit,chair,-,(including,gravity).
"2962197279000,","6.751649,","5.765238,",3.9360676,-,sit,chair,-,(including,gravity).
"2962207970000,","6.847417,","5.765238,",3.8786068,-,sit,chair,-,(including,gravity).
"2962217897000,","6.9144545,","5.813122,",3.7828386,-,sit,chair,-,(including,gravity).
"2962227688000,","6.991069,","5.841852,",3.763685,-,sit,chair,-,(including,gravity).
"2962238321000,","7.0102224,","5.813122,",3.7445314,-,sit,chair,-,(including,gravity).
"2962248150000,","7.0485296,","5.7748146,",3.7062242,-,sit,chair,-,(including,gravity).
