#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-6.1086525e-4,","0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#datetime:,05/07/2013,10:46:44,0.009773844,-,fall,forward,lying,-,(angular,velocity).
##########################################,"-6.1086525e-4,","0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#activity:,10,-,fol,-,fall,forward,lying,-,10s,velocity).
#subject,id:,10,0.009773844,-,fall,forward,lying,-,(angular,velocity).
#first,name:,sub10,0.009773844,-,fall,forward,lying,-,(angular,velocity).
#last,name:,sub10,0.009773844,-,fall,forward,lying,-,(angular,velocity).
#age:,26,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#height(cm):,170,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#weight(kg):,90,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
#gender:,female,"0.005497787,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
"883892630000,","0.16584991,","-0.36957347,",0.25992316,-,fall,forward,lying,-,(angular,velocity).
"883897630000,","0.16798794,","-0.37018433,",0.25717425,-,fall,forward,lying,-,(angular,velocity).
"883902609000,","0.17104226,","-0.37904188,",0.26175576,-,fall,forward,lying,-,(angular,velocity).
"883907614000,","0.15454891,","-0.38973203,",0.26236662,-,fall,forward,lying,-,(angular,velocity).
"883912649000,","0.14966199,","-0.40744713,",0.26297748,-,fall,forward,lying,-,(angular,velocity).
"883917651000,","0.15302174,","-0.41447207,",0.25350907,-,fall,forward,lying,-,(angular,velocity).
"883922634000,","0.14905111,","-0.41386122,",0.26328292,-,fall,forward,lying,-,(angular,velocity).
"883927817000,","0.1441642,","-0.40408736,",0.26328292,-,fall,forward,lying,-,(angular,velocity).
"883932599000,","0.122783914,","-0.3894266,",0.26358834,-,fall,forward,lying,-,(angular,velocity).
"883937650000,","0.12156218,","-0.35430184,",0.26267207,-,fall,forward,lying,-,(angular,velocity).
"883942668000,","0.09773844,","-0.3231477,",0.2648101,-,fall,forward,lying,-,(angular,velocity).
"883947624000,","0.073303826,","-0.28221974,",0.25717425,-,fall,forward,lying,-,(angular,velocity).
"883952628000,","0.053450707,","-0.23976462,",0.25289822,-,fall,forward,lying,-,(angular,velocity).
"883957612000,","0.033292156,","-0.1994475,",0.25045475,-,fall,forward,lying,-,(angular,velocity).
"883962680000,","0.010079277,","-0.15271631,",0.23609942,-,fall,forward,lying,-,(angular,velocity).
"883967657000,","-0.020158553,","-0.12461651,",0.22021692,-,fall,forward,lying,-,(angular,velocity).
"883972611000,","-0.029321533,","-0.09010262,",0.2134974,-,fall,forward,lying,-,(angular,velocity).
"883977613000,","-0.04153884,","-0.0729984,",0.19608775,-,fall,forward,lying,-,(angular,velocity).
"883982593000,","-0.048258353,","-0.05375614,",0.17898351,-,fall,forward,lying,-,(angular,velocity).
"883987663000,","-0.058337633,","-0.05222898,",0.1459968,-,fall,forward,lying,-,(angular,velocity).
"883992681000,","-0.043676864,","-0.06078109,",0.1255328,-,fall,forward,lying,-,(angular,velocity).
"883997672000,","-0.03604105,","-0.06261369,",0.10293079,-,fall,forward,lying,-,(angular,velocity).
"884002618000,","-0.038179077,","-0.06261369,",0.084910266,-,fall,forward,lying,-,(angular,velocity).
"884007608000,","-0.025045475,","-0.06811147,",0.067500606,-,fall,forward,lying,-,(angular,velocity).
"884012630000,","-0.021380283,","-0.046731193,",0.04795292,-,fall,forward,lying,-,(angular,velocity).
"884017652000,","-0.034513887,","-0.023823744,",0.027794369,-,fall,forward,lying,-,(angular,velocity).
"884022692000,","-0.027488936,","-0.004581489,",0.013744468,-,fall,forward,lying,-,(angular,velocity).
"884027613000,","-0.04550946,","0.025045475,",-0.00580322,-,fall,forward,lying,-,(angular,velocity).
"884032579000,","-0.08277224,","0.03604105,",-0.01282817,-,fall,forward,lying,-,(angular,velocity).
"884037733000,","-0.09315695,","0.057726767,",-0.02565634,-,fall,forward,lying,-,(angular,velocity).
"884043873000,","-0.116675265,","0.09040806,",-0.046120327,-,fall,forward,lying,-,(angular,velocity).
"884047725000,","-0.17287487,","0.111177474,",-0.04795292,-,fall,forward,lying,-,(angular,velocity).
"884052610000,","-0.1853976,","0.14080444,",-0.061391957,-,fall,forward,lying,-,(angular,velocity).
"884057607000,","-0.22724187,","0.15607607,",-0.06414085,-,fall,forward,lying,-,(angular,velocity).
"884062649000,","-0.2648101,","0.1695151,",-0.06811147,-,fall,forward,lying,-,(angular,velocity).
"884067608000,","-0.29077184,","0.17898351,",-0.079107046,-,fall,forward,lying,-,(angular,velocity).
"884072630000,","-0.32803464,","0.19120082,",-0.08368854,-,fall,forward,lying,-,(angular,velocity).
"884077576000,","-0.355829,","0.1863139,",-0.07971791,-,fall,forward,lying,-,(angular,velocity).
"884082608000,","-0.37293324,","0.17134771,",-0.07360926,-,fall,forward,lying,-,(angular,velocity).
"884087636000,","-0.37690386,","0.16218472,",-0.08368854,-,fall,forward,lying,-,(angular,velocity).
"884092640000,","-0.38423425,","0.15271631,",-0.0870483,-,fall,forward,lying,-,(angular,velocity).
"884097655000,","-0.37507126,","0.1414153,",-0.086132,-,fall,forward,lying,-,(angular,velocity).
"884102610000,","-0.35521814,","0.13744467,",-0.09437868,-,fall,forward,lying,-,(angular,velocity).
"884107595000,","-0.32650748,","0.13408493,",-0.09773844,-,fall,forward,lying,-,(angular,velocity).
"884112699000,","-0.2910773,","0.13347405,",-0.105374254,-,fall,forward,lying,-,(angular,velocity).
"884117646000,","-0.25900686,","0.14996742,",-0.10140363,-,fall,forward,lying,-,(angular,velocity).
"884122631000,","-0.21960606,","0.15790866,",-0.11178834,-,fall,forward,lying,-,(angular,velocity).
"884127622000,","-0.17989981,","0.1685988,",-0.09315695,-,fall,forward,lying,-,(angular,velocity).
"884132601000,","-0.1572978,","0.20616703,",-0.089491755,-,fall,forward,lying,-,(angular,velocity).
"884137674000,","-0.13683382,","0.23732115,",-0.07849618,-,fall,forward,lying,-,(angular,velocity).
"884142657000,","-0.11148291,","0.26389378,",-0.073303826,-,fall,forward,lying,-,(angular,velocity).
"884147682000,","-0.10781772,","0.28008172,",-0.057421334,-,fall,forward,lying,-,(angular,velocity).
"884152616000,","-0.08368854,","0.27214047,",-0.04184427,-,fall,forward,lying,-,(angular,velocity).
"884157576000,","-0.05955936,","0.2415972,",-0.05589417,-,fall,forward,lying,-,(angular,velocity).
"884162633000,","-0.013744468,","0.19792034,",-0.047647487,-,fall,forward,lying,-,(angular,velocity).
"884167647000,","0.02687807,","0.13897185,",-0.0571159,-,fall,forward,lying,-,(angular,velocity).
"884172646000,","0.082161374,","0.087659165,",-0.055283304,-,fall,forward,lying,-,(angular,velocity).
"884177613000,","0.12705997,","0.05009095,",-0.06078109,-,fall,forward,lying,-,(angular,velocity).
"884183077000,","0.16707164,","0.032070424,",-0.065973446,-,fall,forward,lying,-,(angular,velocity).
"884187661000,","0.2003638,","0.030543262,",-0.06719518,-,fall,forward,lying,-,(angular,velocity).
"884192625000,","0.22876903,","0.029932396,",-0.057421334,-,fall,forward,lying,-,(angular,velocity).
"884197623000,","0.22388211,","0.025350908,",-0.060170226,-,fall,forward,lying,-,(angular,velocity).
"884202764000,","0.20372356,","0.032375857,",-0.056199603,-,fall,forward,lying,-,(angular,velocity).
"884207621000,","0.16584991,","0.027794369,",-0.062002823,-,fall,forward,lying,-,(angular,velocity).
"884212633000,","0.11942416,","0.02076942,",-0.065973446,-,fall,forward,lying,-,(angular,velocity).
"884217636000,","0.079107046,","0.005497787,",-0.070249505,-,fall,forward,lying,-,(angular,velocity).
"884222611000,","0.0290161,","-0.0030543262,",-0.07238753,-,fall,forward,lying,-,(angular,velocity).
"884227606000,","-0.007330383,","-0.011301007,",-0.07666359,-,fall,forward,lying,-,(angular,velocity).
"884232607000,","-0.013133603,","-0.01863139,",-0.07971791,-,fall,forward,lying,-,(angular,velocity).
"884237676000,","-0.046731193,","-0.023518313,",-0.08277224,-,fall,forward,lying,-,(angular,velocity).
"884242690000,","-0.070249505,","-0.039095376,",-0.09254608,-,fall,forward,lying,-,(angular,velocity).
"884247615000,","-0.06414085,","-0.050701816,",-0.116980694,-,fall,forward,lying,-,(angular,velocity).
"884252919000,","-0.043066,","-0.043982297,",-0.14110987,-,fall,forward,lying,-,(angular,velocity).
"884257585000,","-0.0033597588,","-0.03359759,",-0.16371189,-,fall,forward,lying,-,(angular,velocity).
"884262644000,","0.028099801,","-0.020158553,",-0.18997909,-,fall,forward,lying,-,(angular,velocity).
"884267645000,","0.071776666,","0.008246681,",-0.21655174,-,fall,forward,lying,-,(angular,velocity).
"884272695000,","0.10842858,","0.040317107,",-0.25228736,-,fall,forward,lying,-,(angular,velocity).
"884277620000,","0.12492194,","0.07788532,",-0.2742785,-,fall,forward,lying,-,(angular,velocity).
"884282644000,","0.14080444,","0.10445796,",-0.2947425,-,fall,forward,lying,-,(angular,velocity).
"884287671000,","0.1469131,","0.124311075,",-0.30665436,-,fall,forward,lying,-,(angular,velocity).
"884292866000,","0.13836098,","0.14905111,",-0.3109304,-,fall,forward,lying,-,(angular,velocity).
"884297672000,","0.11881329,","0.16462818,",-0.30573806,-,fall,forward,lying,-,(angular,velocity).
"884302664000,","0.11209377,","0.18936823,",-0.29168814,-,fall,forward,lying,-,(angular,velocity).
"884307634000,","0.10415252,","0.2012801,",-0.28008172,-,fall,forward,lying,-,(angular,velocity).
"884312619000,","0.084910266,","0.20861048,",-0.25473082,-,fall,forward,lying,-,(angular,velocity).
"884317702000,","0.08124508,","0.19914207,",-0.23182335,-,fall,forward,lying,-,(angular,velocity).
"884322653000,","0.086437434,","0.2003638,",-0.20647246,-,fall,forward,lying,-,(angular,velocity).
"884327663000,","0.10629055,","0.19700404,",-0.1853976,-,fall,forward,lying,-,(angular,velocity).
"884332667000,","0.10781772,","0.19792034,",-0.16982053,-,fall,forward,lying,-,(angular,velocity).
"884337668000,","0.111177474,","0.18295415,",-0.14905111,-,fall,forward,lying,-,(angular,velocity).
"884342643000,","0.12034045,","0.17531833,",-0.129198,-,fall,forward,lying,-,(angular,velocity).
"884347792000,","0.12186762,","0.15485434,",-0.10323623,-,fall,forward,lying,-,(angular,velocity).
"884352613000,","0.12370021,","0.14446963,",-0.096516706,-,fall,forward,lying,-,(angular,velocity).
"884357634000,","0.111177474,","0.11575896,",-0.07941248,-,fall,forward,lying,-,(angular,velocity).
"884362628000,","0.10354166,","0.09987647,",-0.07788532,-,fall,forward,lying,-,(angular,velocity).
"884368579000,","0.09712757,","0.084910266,",-0.07452556,-,fall,forward,lying,-,(angular,velocity).
"884372659000,","0.0729984,","0.08032878,",-0.07788532,-,fall,forward,lying,-,(angular,velocity).
"884377627000,","0.058337633,","0.08246681,",-0.07513642,-,fall,forward,lying,-,(angular,velocity).
"884382621000,","0.051618114,","0.076052725,",-0.082161374,-,fall,forward,lying,-,(angular,velocity).
"884387711000,","0.056199603,","0.08735373,",-0.07849618,-,fall,forward,lying,-,(angular,velocity).
"884392631000,","0.04520403,","0.09896017,",-0.07849618,-,fall,forward,lying,-,(angular,velocity).
"884397635000,","0.03848451,","0.105374254,",-0.077579886,-,fall,forward,lying,-,(angular,velocity).
"884402594000,","0.038179077,","0.09865474,",-0.073303826,-,fall,forward,lying,-,(angular,velocity).
"884407614000,","0.030848695,","0.093462385,",-0.062308256,-,fall,forward,lying,-,(angular,velocity).
"884412674000,","0.036651913,","0.092240654,",-0.056505036,-,fall,forward,lying,-,(angular,velocity).
"884417680000,","0.025350908,","0.08735373,",-0.04153884,-,fall,forward,lying,-,(angular,velocity).
"884422913000,","0.021991149,","0.083383106,",-0.03970624,-,fall,forward,lying,-,(angular,velocity).
"884427620000,","0.020463986,","0.08582657,",-0.028099801,-,fall,forward,lying,-,(angular,velocity).
"884432584000,","0.023518313,","0.093462385,",-0.013439035,-,fall,forward,lying,-,(angular,velocity).
"884438630000,","0.018936822,","0.10293079,",-0.022296581,-,fall,forward,lying,-,(angular,velocity).
"884442623000,","0.021991149,","0.0983493,",-0.021991149,-,fall,forward,lying,-,(angular,velocity).
"884447607000,","0.026267206,","0.094989546,",-0.022602014,-,fall,forward,lying,-,(angular,velocity).
"884452539000,","0.035124753,","0.090713486,",-0.032986723,-,fall,forward,lying,-,(angular,velocity).
"884457544000,","0.049785517,","0.09773844,",-0.038179077,-,fall,forward,lying,-,(angular,velocity).
"884462573000,","0.06169739,","0.105068825,",-0.05222898,-,fall,forward,lying,-,(angular,velocity).
"884467517000,","0.06841691,","0.10140363,",-0.0580322,-,fall,forward,lying,-,(angular,velocity).
"884472504000,","0.07513642,","0.09865474,",-0.06994407,-,fall,forward,lying,-,(angular,velocity).
"884477500000,","0.08368854,","0.1142318,",-0.095294975,-,fall,forward,lying,-,(angular,velocity).
"884482499000,","0.11911872,","0.14049901,",-0.11026118,-,fall,forward,lying,-,(angular,velocity).
"884487623000,","0.121256754,","0.1591304,",-0.129198,-,fall,forward,lying,-,(angular,velocity).
"884492526000,","0.11789699,","0.15057829,",-0.14996742,-,fall,forward,lying,-,(angular,velocity).
"884497526000,","0.13041973,","0.15485434,",-0.18325958,-,fall,forward,lying,-,(angular,velocity).
"884502512000,","0.1414153,","0.1704314,",-0.2098322,-,fall,forward,lying,-,(angular,velocity).
"884507871000,","0.13927728,","0.16737708,",-0.22876903,-,fall,forward,lying,-,(angular,velocity).
"884512656000,","0.14569137,","0.13958271,",-0.23640485,-,fall,forward,lying,-,(angular,velocity).
"884517566000,","0.14782938,","0.13469578,",-0.2556471,-,fall,forward,lying,-,(angular,velocity).
"884522571000,","0.1386664,","0.11789699,",-0.25625798,-,fall,forward,lying,-,(angular,velocity).
"884527530000,","0.1386664,","0.112704635,",-0.26633725,-,fall,forward,lying,-,(angular,velocity).
"884532568000,","0.11881329,","0.10445796,",-0.28008172,-,fall,forward,lying,-,(angular,velocity).
"884537585000,","0.119729586,","0.098043874,",-0.27214047,-,fall,forward,lying,-,(angular,velocity).
"884542541000,","0.09560041,","0.08368854,",-0.2678644,-,fall,forward,lying,-,(angular,velocity).
"884547534000,","0.09010262,","0.07452556,",-0.2678644,-,fall,forward,lying,-,(angular,velocity).
"884552564000,","0.076052725,","0.0720821,",-0.2660318,-,fall,forward,lying,-,(angular,velocity).
"884557550000,","0.06658431,","0.058643065,",-0.24984388,-,fall,forward,lying,-,(angular,velocity).
"884562614000,","0.05100725,","0.0580322,",-0.24312437,-,fall,forward,lying,-,(angular,velocity).
"884567575000,","0.043982297,","0.06963864,",-0.23304509,-,fall,forward,lying,-,(angular,velocity).
"884572618000,","0.032986723,","0.07788532,",-0.2180789,-,fall,forward,lying,-,(angular,velocity).
"884577780000,","0.01863139,","0.076358154,",-0.20616703,-,fall,forward,lying,-,(angular,velocity).
"884582619000,","0.004886922,","0.0693332,",-0.19730948,-,fall,forward,lying,-,(angular,velocity).
"884588090000,","9.162979e-4,","0.057421334,",-0.17715092,-,fall,forward,lying,-,(angular,velocity).
"884592610000,","0.0012217305,","0.058643065,",-0.172264,-,fall,forward,lying,-,(angular,velocity).
"884597623000,","-0.02076942,","0.04795292,",-0.16249016,-,fall,forward,lying,-,(angular,velocity).
"884602575000,","-0.018020526,","0.057726767,",-0.15577064,-,fall,forward,lying,-,(angular,velocity).
"884607574000,","-0.020463986,","0.04886922,",-0.14660765,-,fall,forward,lying,-,(angular,velocity).
"884612623000,","-0.031154128,","0.038179077,",-0.1255328,-,fall,forward,lying,-,(angular,velocity).
"884617593000,","-0.03970624,","0.030848695,",-0.10629055,-,fall,forward,lying,-,(angular,velocity).
"884622627000,","-0.040011674,","0.018936822,",-0.09987647,-,fall,forward,lying,-,(angular,velocity).
"884627581000,","-0.044898596,","0.01282817,",-0.08246681,-,fall,forward,lying,-,(angular,velocity).
"884632590000,","-0.051618114,","0.016187929,",-0.070249505,-,fall,forward,lying,-,(angular,velocity).
"884637597000,","-0.04886922,","0.010079277,",-0.05131268,-,fall,forward,lying,-,(angular,velocity).
"884642618000,","-0.056505036,","0.009773844,",-0.04428773,-,fall,forward,lying,-,(angular,velocity).
"884647599000,","-0.04734206,","0.009468411,",-0.02321288,-,fall,forward,lying,-,(angular,velocity).
"884652598000,","-0.05375614,","0.0076358155,",-0.009773844,-,fall,forward,lying,-,(angular,velocity).
"884658035000,","-0.06566802,","0.015577064,",-0.0015271631,-,fall,forward,lying,-,(angular,velocity).
"884662646000,","-0.06841691,","0.014049901,",0.009773844,-,fall,forward,lying,-,(angular,velocity).
"884667633000,","-0.07666359,","0.0030543262,",0.009162978,-,fall,forward,lying,-,(angular,velocity).
"884672615000,","-0.087964594,","-0.016493361,",0.01160644,-,fall,forward,lying,-,(angular,velocity).
"884677686000,","-0.087964594,","-0.011911872,",0.0143553335,-,fall,forward,lying,-,(angular,velocity).
"884682605000,","-0.09437868,","-0.03604105,",0.015271631,-,fall,forward,lying,-,(angular,velocity).
"884687645000,","-0.10629055,","-0.03604105,",0.0067195175,-,fall,forward,lying,-,(angular,velocity).
"884693758000,","-0.12095132,","-0.03634648,",0.009468411,-,fall,forward,lying,-,(angular,velocity).
"884697682000,","-0.11728613,","-0.048563786,",6.1086525e-4,-,fall,forward,lying,-,(angular,velocity).
"884702625000,","-0.13439035,","-0.055283304,",6.1086525e-4,-,fall,forward,lying,-,(angular,velocity).
"884707622000,","-0.13958271,","-0.054061573,",-0.013744468,-,fall,forward,lying,-,(angular,velocity).
"884712632000,","-0.12217305,","-0.049480084,",-0.020158553,-,fall,forward,lying,-,(angular,velocity).
"884717645000,","-0.14049901,","-0.051618114,",-0.020158553,-,fall,forward,lying,-,(angular,velocity).
"884722597000,","-0.13958271,","-0.045814894,",-0.022602014,-,fall,forward,lying,-,(angular,velocity).
"884727692000,","-0.13194689,","-0.030543262,",-0.030848695,-,fall,forward,lying,-,(angular,velocity).
"884732651000,","-0.13041973,","-0.029932396,",-0.04062254,-,fall,forward,lying,-,(angular,velocity).
"884737642000,","-0.12858713,","-0.016493361,",-0.042455133,-,fall,forward,lying,-,(angular,velocity).
"884742645000,","-0.13255776,","-0.012217305,",-0.045814894,-,fall,forward,lying,-,(angular,velocity).
"884747752000,","-0.12095132,","0.0033597588,",-0.049480084,-,fall,forward,lying,-,(angular,velocity).
"884752682000,","-0.12461651,","0.020158553,",-0.05222898,-,fall,forward,lying,-,(angular,velocity).
"884757633000,","-0.11789699,","0.03359759,",-0.058643065,-,fall,forward,lying,-,(angular,velocity).
"884762673000,","-0.1151481,","0.039095376,",-0.0580322,-,fall,forward,lying,-,(angular,velocity).
"884767739000,","-0.124311075,","0.046120327,",-0.058948494,-,fall,forward,lying,-,(angular,velocity).
"884772703000,","-0.11759156,","0.05009095,",-0.064446285,-,fall,forward,lying,-,(angular,velocity).
"884777647000,","-0.12370021,","0.048563786,",-0.06047566,-,fall,forward,lying,-,(angular,velocity).
"884782628000,","-0.129198,","0.051923547,",-0.05100725,-,fall,forward,lying,-,(angular,velocity).
"884787611000,","-0.13530666,","0.05009095,",-0.05681047,-,fall,forward,lying,-,(angular,velocity).
"884792629000,","-0.15241088,","0.038789943,",-0.04886922,-,fall,forward,lying,-,(angular,velocity).
"884797656000,","-0.15607607,","0.038179077,",-0.0421497,-,fall,forward,lying,-,(angular,velocity).
"884802676000,","-0.16523905,","0.03481932,",-0.04337143,-,fall,forward,lying,-,(angular,velocity).
"884807644000,","-0.17989981,","0.023823744,",-0.041233405,-,fall,forward,lying,-,(angular,velocity).
"884812678000,","-0.18234327,","0.02076942,",-0.04062254,-,fall,forward,lying,-,(angular,velocity).
"884817699000,","-0.1826487,","0.02107485,",-0.036957346,-,fall,forward,lying,-,(angular,velocity).
"884823011000,","-0.17440203,","3.0543262e-4,",-0.033292156,-,fall,forward,lying,-,(angular,velocity).
"884827675000,","-0.16523905,","0.0061086523,",-0.03176499,-,fall,forward,lying,-,(angular,velocity).
"884833377000,","-0.17562376,","-0.006414085,",-0.027488936,-,fall,forward,lying,-,(angular,velocity).
"884837711000,","-0.1554652,","-0.015882496,",-0.028710667,-,fall,forward,lying,-,(angular,velocity).
"884842765000,","-0.14905111,","-0.0106901415,",-0.029932396,-,fall,forward,lying,-,(angular,velocity).
"884847627000,","-0.15760323,","-0.0070249503,",-0.021380283,-,fall,forward,lying,-,(angular,velocity).
"884852608000,","-0.15271631,","-0.0027488936,",-0.020463986,-,fall,forward,lying,-,(angular,velocity).
"884857622000,","-0.1432479,","-9.162979e-4,",-0.01985312,-,fall,forward,lying,-,(angular,velocity).
"884862704000,","-0.13347405,","0.01282817,",-0.02443461,-,fall,forward,lying,-,(angular,velocity).
"884867735000,","-0.12339478,","0.026572637,",-0.03023783,-,fall,forward,lying,-,(angular,velocity).
"884873373000,","-0.116980694,","0.04184427,",-0.040927973,-,fall,forward,lying,-,(angular,velocity).
"884877603000,","-0.11728613,","0.04520403,",-0.04550946,-,fall,forward,lying,-,(angular,velocity).
"884882633000,","-0.10781772,","0.046120327,",-0.053450707,-,fall,forward,lying,-,(angular,velocity).
"884887663000,","-0.0983493,","0.050701816,",-0.05955936,-,fall,forward,lying,-,(angular,velocity).
"884892739000,","-0.094989546,","0.056199603,",-0.05681047,-,fall,forward,lying,-,(angular,velocity).
"884897588000,","-0.1001819,","0.04886922,",-0.06658431,-,fall,forward,lying,-,(angular,velocity).
"884903082000,","-0.08093964,","0.050701816,",-0.073303826,-,fall,forward,lying,-,(angular,velocity).
"884907628000,","-0.087964594,","0.0571159,",-0.08399397,-,fall,forward,lying,-,(angular,velocity).
"884912683000,","-0.080634214,","0.062002823,",-0.08552113,-,fall,forward,lying,-,(angular,velocity).
"884917686000,","-0.07788532,","0.06505715,",-0.086132,-,fall,forward,lying,-,(angular,velocity).
"884922605000,","-0.08002335,","0.06872234,",-0.09437868,-,fall,forward,lying,-,(angular,velocity).
"884927618000,","-0.070249505,","0.08277224,",-0.093767814,-,fall,forward,lying,-,(angular,velocity).
"884932593000,","-0.06780604,","0.086437434,",-0.09682214,-,fall,forward,lying,-,(angular,velocity).
"884937627000,","-0.070554934,","0.09865474,",-0.10170906,-,fall,forward,lying,-,(angular,velocity).
"884942675000,","-0.06078109,","0.115453534,",-0.099571034,-,fall,forward,lying,-,(angular,velocity).
"884947863000,","-0.064751714,","0.13530666,",-0.101098195,-,fall,forward,lying,-,(angular,velocity).
"884952632000,","-0.06383542,","0.14110987,",-0.098043874,-,fall,forward,lying,-,(angular,velocity).
"884957591000,","-0.046120327,","0.15974127,",-0.09285152,-,fall,forward,lying,-,(angular,velocity).
"884962652000,","-0.049785517,","0.18020524,",-0.086132,-,fall,forward,lying,-,(angular,velocity).
"884967654000,","-0.052839845,","0.17715092,",-0.079107046,-,fall,forward,lying,-,(angular,velocity).
"884972658000,","-0.049785517,","0.19517145,",-0.06994407,-,fall,forward,lying,-,(angular,velocity).
"884977580000,","-0.052534413,","0.204029,",-0.06536258,-,fall,forward,lying,-,(angular,velocity).
"884982608000,","-0.059253927,","0.21166481,",-0.054061573,-,fall,forward,lying,-,(angular,velocity).
