#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","0.017715093,","-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#datetime:,05/07/2013,10:44:31,0.021685716,-,fall,forward,lying,-,(angular,velocity).
##########################################,"0.017715093,","-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#activity:,10,-,fol,-,fall,forward,lying,-,10s,velocity).
#subject,id:,10,0.021685716,-,fall,forward,lying,-,(angular,velocity).
#first,name:,sub10,0.021685716,-,fall,forward,lying,-,(angular,velocity).
#last,name:,sub10,0.021685716,-,fall,forward,lying,-,(angular,velocity).
#age:,26,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#height(cm):,170,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#weight(kg):,90,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
#gender:,female,"-0.008552114,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
"750657930000,","-1.1175779,","0.4098906,",0.12736541,-,fall,forward,lying,-,(angular,velocity).
"750663239000,","-0.98899084,","0.31673363,",0.13683382,-,fall,forward,lying,-,(angular,velocity).
"750667959000,","-0.86742866,","0.2321288,",0.14080444,-,fall,forward,lying,-,(angular,velocity).
"750672907000,","-0.73639804,","0.14996742,",0.13225232,-,fall,forward,lying,-,(angular,velocity).
"750677897000,","-0.6151413,","-0.10842858,",0.08979719,-,fall,forward,lying,-,(angular,velocity).
"750682899000,","-0.15485434,","-0.19700404,",0.06963864,-,fall,forward,lying,-,(angular,velocity).
"750687944000,","-0.010995574,","-0.20647246,",0.0729984,-,fall,forward,lying,-,(angular,velocity).
"750692930000,","3.0543262e-4,","-0.17623462,",0.076052725,-,fall,forward,lying,-,(angular,velocity).
"750697945000,","-0.04337143,","-0.18325958,",0.079107046,-,fall,forward,lying,-,(angular,velocity).
"750702919000,","-0.03481932,","-0.20066923,",0.07788532,-,fall,forward,lying,-,(angular,velocity).
"750707910000,","-0.04428773,","-0.20861048,",0.07788532,-,fall,forward,lying,-,(angular,velocity).
"750713034000,","-0.027488936,","-0.21624629,",0.077579886,-,fall,forward,lying,-,(angular,velocity).
"750717970000,","-0.019242255,","-0.22724187,",0.070249505,-,fall,forward,lying,-,(angular,velocity).
"750722966000,","-0.015882496,","-0.22357668,",0.065973446,-,fall,forward,lying,-,(angular,velocity).
"750727951000,","-0.0143553335,","-0.23396139,",0.059864793,-,fall,forward,lying,-,(angular,velocity).
"750732990000,","-0.016798794,","-0.22968534,",0.055588737,-,fall,forward,lying,-,(angular,velocity).
"750737990000,","-0.024129177,","-0.22907446,",0.05375614,-,fall,forward,lying,-,(angular,velocity).
"750742972000,","-0.017104227,","-0.22113322,",0.04520403,-,fall,forward,lying,-,(angular,velocity).
"750748014000,","-0.015577064,","-0.20158553,",0.032070424,-,fall,forward,lying,-,(angular,velocity).
"750753001000,","-0.02687807,","-0.19242255,",0.03726278,-,fall,forward,lying,-,(angular,velocity).
"750758013000,","-0.03176499,","-0.18509217,",0.034513887,-,fall,forward,lying,-,(angular,velocity).
"750762975000,","-0.035124753,","-0.17440203,",0.026267206,-,fall,forward,lying,-,(angular,velocity).
"750767981000,","-0.03848451,","-0.15577064,",0.018325957,-,fall,forward,lying,-,(angular,velocity).
"750773005000,","-0.03726278,","-0.1518,",0.015271631,-,fall,forward,lying,-,(angular,velocity).
"750778953000,","-0.03970624,","-0.15271631,",0.0106901415,-,fall,forward,lying,-,(angular,velocity).
"750782953000,","-0.034513887,","-0.1459968,",0.004886922,-,fall,forward,lying,-,(angular,velocity).
"750788043000,","-0.032070424,","-0.14294247,",-0.0061086523,-,fall,forward,lying,-,(angular,velocity).
"750793033000,","-0.017104227,","-0.13622294,",-0.011911872,-,fall,forward,lying,-,(angular,velocity).
"750798006000,","-0.022907447,","-0.13530666,",-0.019242255,-,fall,forward,lying,-,(angular,velocity).
"750802960000,","0.0018325958,","-0.129198,",-0.016798794,-,fall,forward,lying,-,(angular,velocity).
"750807940000,","0.00580322,","-0.12370021,",-0.01038471,-,fall,forward,lying,-,(angular,velocity).
"750813030000,","0.015577064,","-0.12705997,",-0.008246681,-,fall,forward,lying,-,(angular,velocity).
"750818040000,","0.012217305,","-0.122478485,",-0.010079277,-,fall,forward,lying,-,(angular,velocity).
"750823006000,","0.008246681,","-0.12950343,",-0.0033597588,-,fall,forward,lying,-,(angular,velocity).
"750827953000,","0.01863139,","-0.12370021,",0.0030543262,-,fall,forward,lying,-,(angular,velocity).
"750833010000,","0.024740042,","-0.124311075,",0.0067195175,-,fall,forward,lying,-,(angular,velocity).
"750837978000,","0.032986723,","-0.105374254,",0.011301007,-,fall,forward,lying,-,(angular,velocity).
"750842995000,","0.03726278,","-0.11026118,",0.0125227375,-,fall,forward,lying,-,(angular,velocity).
"750848921000,","0.041233405,","-0.10995574,",0.0070249503,-,fall,forward,lying,-,(angular,velocity).
"750852949000,","0.051618114,","-0.09987647,",0.010995574,-,fall,forward,lying,-,(angular,velocity).
"750857945000,","0.04795292,","-0.08460484,",0.017104227,-,fall,forward,lying,-,(angular,velocity).
"750862987000,","0.047647487,","-0.08857546,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
"750867994000,","0.049480084,","-0.09254608,",0.016187929,-,fall,forward,lying,-,(angular,velocity).
"750872975000,","0.048563786,","-0.09040806,",0.02107485,-,fall,forward,lying,-,(angular,velocity).
"750877939000,","0.05497787,","-0.07880162,",0.016798794,-,fall,forward,lying,-,(angular,velocity).
"750882939000,","0.051923547,","-0.07666359,",0.018936822,-,fall,forward,lying,-,(angular,velocity).
"750888036000,","0.05681047,","-0.07360926,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
"750893071000,","0.048563786,","-0.069027774,",0.018936822,-,fall,forward,lying,-,(angular,velocity).
"750898015000,","0.05375614,","-0.06780604,",0.026572637,-,fall,forward,lying,-,(angular,velocity).
"750902972000,","0.048563786,","-0.06078109,",0.029626964,-,fall,forward,lying,-,(angular,velocity).
"750907995000,","0.04062254,","-0.056505036,",0.022296581,-,fall,forward,lying,-,(angular,velocity).
"750913072000,","0.03634648,","-0.051618114,",0.024740042,-,fall,forward,lying,-,(angular,velocity).
"750917963000,","0.038789943,","-0.051923547,",0.028405234,-,fall,forward,lying,-,(angular,velocity).
"750923033000,","0.03726278,","-0.042760566,",0.032986723,-,fall,forward,lying,-,(angular,velocity).
"750928004000,","0.036957346,","-0.023518313,",0.03604105,-,fall,forward,lying,-,(angular,velocity).
"750932967000,","0.027488936,","-0.028710667,",0.03268129,-,fall,forward,lying,-,(angular,velocity).
"750938058000,","0.03726278,","-0.032986723,",0.035430185,-,fall,forward,lying,-,(angular,velocity).
"750943027000,","0.03390302,","-0.027183503,",0.028405234,-,fall,forward,lying,-,(angular,velocity).
"750948030000,","0.03481932,","-0.03634648,",0.0290161,-,fall,forward,lying,-,(angular,velocity).
"750953008000,","0.051923547,","-0.029321533,",0.03023783,-,fall,forward,lying,-,(angular,velocity).
"750957951000,","0.042455133,","-0.04062254,",0.0290161,-,fall,forward,lying,-,(angular,velocity).
"750963084000,","0.04520403,","-0.04520403,",0.028710667,-,fall,forward,lying,-,(angular,velocity).
"750967977000,","0.04642576,","-0.040927973,",0.031154128,-,fall,forward,lying,-,(angular,velocity).
"750973006000,","0.03604105,","-0.04062254,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
"750977972000,","0.048258353,","-0.03756821,",0.031154128,-,fall,forward,lying,-,(angular,velocity).
"750982937000,","0.04734206,","-0.027488936,",0.03176499,-,fall,forward,lying,-,(angular,velocity).
"750988555000,","0.043982297,","-0.020463986,",0.02687807,-,fall,forward,lying,-,(angular,velocity).
"750992991000,","0.04428773,","-0.02107485,",0.02443461,-,fall,forward,lying,-,(angular,velocity).
"750998016000,","0.04337143,","-0.02107485,",0.028405234,-,fall,forward,lying,-,(angular,velocity).
"751002940000,","0.043066,","-0.008552114,",0.022296581,-,fall,forward,lying,-,(angular,velocity).
"751007933000,","0.04153884,","-0.009773844,",0.014660766,-,fall,forward,lying,-,(angular,velocity).
"751014712000,","0.039095376,","-0.01863139,",0.007941248,-,fall,forward,lying,-,(angular,velocity).
"751017987000,","0.03848451,","-0.008552114,",0.008857546,-,fall,forward,lying,-,(angular,velocity).
"751023034000,","0.03940081,","-0.021380283,",0.016493361,-,fall,forward,lying,-,(angular,velocity).
"751028010000,","0.046120327,","-0.015577064,",0.0143553335,-,fall,forward,lying,-,(angular,velocity).
"751032975000,","0.042455133,","-0.024129177,",0.011911872,-,fall,forward,lying,-,(angular,velocity).
"751038028000,","0.03726278,","-0.020463986,",0.010079277,-,fall,forward,lying,-,(angular,velocity).
"751042967000,","0.031154128,","-0.028405234,",0.011301007,-,fall,forward,lying,-,(angular,velocity).
"751048340000,","0.033292156,","-0.030543262,",0.007941248,-,fall,forward,lying,-,(angular,velocity).
"751052947000,","0.027488936,","-0.040927973,",0.0067195175,-,fall,forward,lying,-,(angular,velocity).
"751058087000,","0.026572637,","-0.03481932,",0.012217305,-,fall,forward,lying,-,(angular,velocity).
"751062954000,","0.02443461,","-0.027794369,",0.012217305,-,fall,forward,lying,-,(angular,velocity).
"751067999000,","0.03359759,","-0.027488936,",0.013744468,-,fall,forward,lying,-,(angular,velocity).
"751073846000,","0.028099801,","-0.022602014,",0.013133603,-,fall,forward,lying,-,(angular,velocity).
"751077945000,","0.026267206,","-0.019547688,",0.015271631,-,fall,forward,lying,-,(angular,velocity).
"751083116000,","0.03145956,","-0.012217305,",0.02107485,-,fall,forward,lying,-,(angular,velocity).
"751087992000,","0.03390302,","-0.026267206,",0.022296581,-,fall,forward,lying,-,(angular,velocity).
"751092972000,","0.03940081,","-0.030543262,",0.024129177,-,fall,forward,lying,-,(angular,velocity).
"751098081000,","0.04550946,","-0.021380283,",0.025045475,-,fall,forward,lying,-,(angular,velocity).
"751102940000,","0.04550946,","-0.03359759,",0.027183503,-,fall,forward,lying,-,(angular,velocity).
"751107949000,","0.052534413,","-0.038789943,",0.027794369,-,fall,forward,lying,-,(angular,velocity).
"751112978000,","0.044898596,","-0.05375614,",0.029626964,-,fall,forward,lying,-,(angular,velocity).
"751117932000,","0.054367006,","-0.058643065,",0.023823744,-,fall,forward,lying,-,(angular,velocity).
"751123077000,","0.05131268,","-0.0720821,",0.025350908,-,fall,forward,lying,-,(angular,velocity).
"751127973000,","0.049480084,","-0.089491755,",0.03023783,-,fall,forward,lying,-,(angular,velocity).
"751132945000,","0.054367006,","-0.09101892,",0.02565634,-,fall,forward,lying,-,(angular,velocity).
"751137973000,","0.054061573,","-0.10140363,",0.027183503,-,fall,forward,lying,-,(angular,velocity).
"751142991000,","0.043982297,","-0.10293079,",0.022296581,-,fall,forward,lying,-,(angular,velocity).
"751148000000,","0.0571159,","-0.11636983,",0.033292156,-,fall,forward,lying,-,(angular,velocity).
"751152917000,","0.05131268,","-0.11789699,",0.032070424,-,fall,forward,lying,-,(angular,velocity).
"751157934000,","0.050396383,","-0.11484267,",0.031154128,-,fall,forward,lying,-,(angular,velocity).
"751163003000,","0.059864793,","-0.116675265,",0.03145956,-,fall,forward,lying,-,(angular,velocity).
"751168014000,","0.058643065,","-0.12644911,",0.04062254,-,fall,forward,lying,-,(angular,velocity).
"751173028000,","0.06169739,","-0.12461651,",0.03848451,-,fall,forward,lying,-,(angular,velocity).
"751177963000,","0.06414085,","-0.13225232,",0.029626964,-,fall,forward,lying,-,(angular,velocity).
"751182937000,","0.064751714,","-0.12797627,",0.027183503,-,fall,forward,lying,-,(angular,velocity).
"751187955000,","0.053145275,","-0.12308934,",0.025961773,-,fall,forward,lying,-,(angular,velocity).
"751192981000,","0.06627888,","-0.11453723,",0.024129177,-,fall,forward,lying,-,(angular,velocity).
"751197927000,","0.06688975,","-0.113926366,",0.024129177,-,fall,forward,lying,-,(angular,velocity).
"751202957000,","0.062308256,","-0.11026118,",0.015271631,-,fall,forward,lying,-,(angular,velocity).
"751207911000,","0.055588737,","-0.10995574,",0.009162978,-,fall,forward,lying,-,(angular,velocity).
"751213038000,","0.04062254,","-0.094989546,",0.010079277,-,fall,forward,lying,-,(angular,velocity).
"751218001000,","0.0421497,","-0.08155051,",0.008857546,-,fall,forward,lying,-,(angular,velocity).
"751223120000,","0.046120327,","-0.06780604,",0.005497787,-,fall,forward,lying,-,(angular,velocity).
"751227938000,","0.03940081,","-0.049785517,",9.162979e-4,-,fall,forward,lying,-,(angular,velocity).
"751232943000,","0.02321288,","-0.044898596,",9.162979e-4,-,fall,forward,lying,-,(angular,velocity).
"751237976000,","0.025045475,","-0.029626964,",0.0033597588,-,fall,forward,lying,-,(angular,velocity).
"751243874000,","0.020463986,","-0.018325957,",0.004276057,-,fall,forward,lying,-,(angular,velocity).
"751247976000,","0.0018325958,","-9.162979e-4,",0.004581489,-,fall,forward,lying,-,(angular,velocity).
"751252948000,","0.01038471,","0.013439035,",3.0543262e-4,-,fall,forward,lying,-,(angular,velocity).
"751258338000,","0.01038471,","0.022602014,",0.0033597588,-,fall,forward,lying,-,(angular,velocity).
"751263027000,","-0.014049901,","0.03390302,",0.010995574,-,fall,forward,lying,-,(angular,velocity).
"751267991000,","-0.027183503,","0.035124753,",0.012217305,-,fall,forward,lying,-,(angular,velocity).
"751272964000,","-0.03756821,","0.033292156,",0.013439035,-,fall,forward,lying,-,(angular,velocity).
"751278036000,","-0.043982297,","0.04337143,",0.0143553335,-,fall,forward,lying,-,(angular,velocity).
"751282946000,","-0.061086524,","0.042455133,",0.015882496,-,fall,forward,lying,-,(angular,velocity).
"751288355000,","-0.061391957,","0.06719518,",0.017104227,-,fall,forward,lying,-,(angular,velocity).
"751292982000,","-0.09040806,","0.081855945,",0.02107485,-,fall,forward,lying,-,(angular,velocity).
"751297982000,","-0.10720685,","0.100792766,",0.021685716,-,fall,forward,lying,-,(angular,velocity).
"751302951000,","-0.106901415,","0.12950343,",0.028405234,-,fall,forward,lying,-,(angular,velocity).
"751307934000,","-0.10323623,","0.17623462,",0.023823744,-,fall,forward,lying,-,(angular,velocity).
"751313630000,","-0.11148291,","0.20341812,",0.027183503,-,fall,forward,lying,-,(angular,velocity).
"751317988000,","-0.10903945,","0.22357668,",0.023823744,-,fall,forward,lying,-,(angular,velocity).
"751323011000,","-0.111177474,","0.24037547,",0.01863139,-,fall,forward,lying,-,(angular,velocity).
"751327952000,","-0.106901415,","0.2501493,",0.0070249503,-,fall,forward,lying,-,(angular,velocity).
"751332937000,","-0.093462385,","0.24617869,",-0.004276057,-,fall,forward,lying,-,(angular,velocity).
"751338019000,","-0.09132435,","0.24037547,",-0.01282817,-,fall,forward,lying,-,(angular,velocity).
"751342964000,","-0.09315695,","0.22143865,",-0.027488936,-,fall,forward,lying,-,(angular,velocity).
"751347957000,","-0.09254608,","0.21380283,",-0.036651913,-,fall,forward,lying,-,(angular,velocity).
"751352945000,","-0.10048734,","0.20677789,",-0.05009095,-,fall,forward,lying,-,(angular,velocity).
"751357930000,","-0.10262536,","0.20677789,",-0.062308256,-,fall,forward,lying,-,(angular,velocity).
"751362965000,","-0.10140363,","0.20280726,",-0.06536258,-,fall,forward,lying,-,(angular,velocity).
"751368008000,","-0.10415252,","0.1908954,",-0.08002335,-,fall,forward,lying,-,(angular,velocity).
"751373083000,","-0.116675265,","0.19120082,",-0.090713486,-,fall,forward,lying,-,(angular,velocity).
"751377937000,","-0.11484267,","0.19394971,",-0.09590584,-,fall,forward,lying,-,(angular,velocity).
"751383186000,","-0.11056661,","0.18661933,",-0.100792766,-,fall,forward,lying,-,(angular,velocity).
"751387970000,","-0.10873401,","0.1872302,",-0.10354166,-,fall,forward,lying,-,(angular,velocity).
"751392981000,","-0.11209377,","0.19242255,",-0.09682214,-,fall,forward,lying,-,(angular,velocity).
"751397968000,","-0.10323623,","0.21166481,",-0.09193522,-,fall,forward,lying,-,(angular,velocity).
"751402951000,","-0.099265605,","0.23976462,",-0.08674286,-,fall,forward,lying,-,(angular,velocity).
"751407981000,","-0.1001819,","0.2779437,",-0.06811147,-,fall,forward,lying,-,(angular,velocity).
"751413011000,","-0.094989546,","0.32345316,",-0.050396383,-,fall,forward,lying,-,(angular,velocity).
"751417959000,","-0.07788532,","0.3726278,",-0.023518313,-,fall,forward,lying,-,(angular,velocity).
"751422961000,","-0.06352998,","0.3998113,",-0.016493361,-,fall,forward,lying,-,(angular,velocity).
"751427908000,","-0.04795292,","0.41355577,",-0.013744468,-,fall,forward,lying,-,(angular,velocity).
"751432950000,","-0.039095376,","0.4083634,",-0.024129177,-,fall,forward,lying,-,(angular,velocity).
"751437982000,","-0.06047566,","0.3622431,",-0.046120327,-,fall,forward,lying,-,(angular,velocity).
"751442968000,","-0.073303826,","0.30573806,",-0.07941248,-,fall,forward,lying,-,(angular,velocity).
"751447949000,","-0.09162979,","0.2611449,",-0.10262536,-,fall,forward,lying,-,(angular,velocity).
"751453006000,","-0.1020145,","0.22388211,",-0.12308934,-,fall,forward,lying,-,(angular,velocity).
"751457946000,","-0.09437868,","0.20158553,",-0.15118915,-,fall,forward,lying,-,(angular,velocity).
"751462974000,","-0.09101892,","0.18692477,",-0.1704314,-,fall,forward,lying,-,(angular,velocity).
"751467944000,","-0.07513642,","0.18906279,",-0.1863139,-,fall,forward,lying,-,(angular,velocity).
"751472948000,","-0.067500606,","0.16920967,",-0.18906279,-,fall,forward,lying,-,(angular,velocity).
"751477923000,","-0.058337633,","0.15699236,",-0.19914207,-,fall,forward,lying,-,(angular,velocity).
"751482931000,","-0.051618114,","0.15088372,",-0.20647246,-,fall,forward,lying,-,(angular,velocity).
"751488236000,","-0.04428773,","0.14721853,",-0.21380283,-,fall,forward,lying,-,(angular,velocity).
"751492973000,","-0.049480084,","0.15943582,",-0.22082779,-,fall,forward,lying,-,(angular,velocity).
"751498812000,","-0.05589417,","0.16737708,",-0.22602014,-,fall,forward,lying,-,(angular,velocity).
"751502944000,","-0.06627888,","0.15974127,",-0.22999077,-,fall,forward,lying,-,(angular,velocity).
"751507937000,","-0.061086524,","0.15821409,",-0.23426682,-,fall,forward,lying,-,(angular,velocity).
"751512972000,","-0.05589417,","0.14966199,",-0.23548855,-,fall,forward,lying,-,(angular,velocity).
"751518046000,","-0.059864793,","0.1423316,",-0.23365596,-,fall,forward,lying,-,(angular,velocity).
"751523039000,","-0.06658431,","0.12705997,",-0.23426682,-,fall,forward,lying,-,(angular,velocity).
"751527947000,","-0.06505715,","0.105068825,",-0.23273966,-,fall,forward,lying,-,(angular,velocity).
"751532929000,","-0.05955936,","0.09468412,",-0.21899518,-,fall,forward,lying,-,(angular,velocity).
"751538004000,","-0.06688975,","0.08032878,",-0.2171626,-,fall,forward,lying,-,(angular,velocity).
"751543053000,","-0.07513642,","0.06383542,",-0.20891592,-,fall,forward,lying,-,(angular,velocity).
"751547969000,","-0.07971791,","0.056505036,",-0.1994475,-,fall,forward,lying,-,(angular,velocity).
"751553028000,","-0.10262536,","0.05589417,",-0.19517145,-,fall,forward,lying,-,(angular,velocity).
"751557952000,","-0.10842858,","0.06872234,",-0.17623462,-,fall,forward,lying,-,(angular,velocity).
"751563005000,","-0.11636983,","0.08277224,",-0.16523905,-,fall,forward,lying,-,(angular,velocity).
"751568172000,","-0.12064589,","0.1001819,",-0.15393804,-,fall,forward,lying,-,(angular,velocity).
"751572951000,","-0.1414153,","0.11453723,",-0.14538592,-,fall,forward,lying,-,(angular,velocity).
"751577941000,","-0.1423316,","0.129198,",-0.13255776,-,fall,forward,lying,-,(angular,velocity).
"751582938000,","-0.14049901,","0.15149458,",-0.12339478,-,fall,forward,lying,-,(angular,velocity).
"751587993000,","-0.14905111,","0.14935656,",-0.122783914,-,fall,forward,lying,-,(angular,velocity).
"751593012000,","-0.16187929,","0.1469131,",-0.12767084,-,fall,forward,lying,-,(angular,velocity).
"751597987000,","-0.15974127,","0.13744467,",-0.124005646,-,fall,forward,lying,-,(angular,velocity).
"751602957000,","-0.16798794,","0.13408493,",-0.12889257,-,fall,forward,lying,-,(angular,velocity).
"751607933000,","-0.16432275,","0.13194689,",-0.14110987,-,fall,forward,lying,-,(angular,velocity).
"751612961000,","-0.16187929,","0.12797627,",-0.13958271,-,fall,forward,lying,-,(angular,velocity).
"751618023000,","-0.16340645,","0.12583824,",-0.14110987,-,fall,forward,lying,-,(angular,velocity).
"751622962000,","-0.15393804,","0.13072516,",-0.1432479,-,fall,forward,lying,-,(angular,velocity).
"751627958000,","-0.1459968,","0.13836098,",-0.14049901,-,fall,forward,lying,-,(angular,velocity).
"751632937000,","-0.13561209,","0.14874569,",-0.14263703,-,fall,forward,lying,-,(angular,velocity).
"751639286000,","-0.11728613,","0.14202617,",-0.14721853,-,fall,forward,lying,-,(angular,velocity).
"751642979000,","-0.10873401,","0.13683382,",-0.14935656,-,fall,forward,lying,-,(angular,velocity).
"751647976000,","-0.0852157,","0.13500121,",-0.1423316,-,fall,forward,lying,-,(angular,velocity).
"751653050000,","-0.070554934,","0.13988814,",-0.1432479,-,fall,forward,lying,-,(angular,velocity).
"751657910000,","-0.049785517,","0.13775012,",-0.13897185,-,fall,forward,lying,-,(angular,velocity).
"751663492000,","-0.041233405,","0.14905111,",-0.14721853,-,fall,forward,lying,-,(angular,velocity).
"751668013000,","-0.013439035,","0.14844026,",-0.14966199,-,fall,forward,lying,-,(angular,velocity).
"751673025000,","-0.002443461,","0.15241088,",-0.13622294,-,fall,forward,lying,-,(angular,velocity).
"751677943000,","0.0018325958,","0.16157386,",-0.13958271,-,fall,forward,lying,-,(angular,velocity).
"751682910000,","0.02443461,","0.16187929,",-0.13775012,-,fall,forward,lying,-,(angular,velocity).
"751688020000,","0.044898596,","0.17592919,",-0.13469578,-,fall,forward,lying,-,(angular,velocity).
"751692984000,","0.0693332,","0.19028452,",-0.13775012,-,fall,forward,lying,-,(angular,velocity).
"751697970000,","0.07544186,","0.20372356,",-0.13561209,-,fall,forward,lying,-,(angular,velocity).
"751702953000,","0.09712757,","0.20708331,",-0.13805555,-,fall,forward,lying,-,(angular,velocity).
"751708280000,","0.10629055,","0.204029,",-0.14874569,-,fall,forward,lying,-,(angular,velocity).
"751712967000,","0.1133155,","0.20341812,",-0.16126843,-,fall,forward,lying,-,(angular,velocity).
"751717974000,","0.12003502,","0.21227567,",-0.17012598,-,fall,forward,lying,-,(angular,velocity).
"751722975000,","0.11453723,","0.20861048,",-0.17287487,-,fall,forward,lying,-,(angular,velocity).
"751727941000,","0.10781772,","0.21899518,",-0.1872302,-,fall,forward,lying,-,(angular,velocity).
"751732983000,","0.08307768,","0.22815818,",-0.18906279,-,fall,forward,lying,-,(angular,velocity).
"751738000000,","0.0571159,","0.24312437,",-0.18142697,-,fall,forward,lying,-,(angular,velocity).
"751743003000,","0.026572637,","0.25137106,",-0.17989981,-,fall,forward,lying,-,(angular,velocity).
"751747949000,","0.008552114,","0.27366763,",-0.17715092,-,fall,forward,lying,-,(angular,velocity).
"751753001000,","-0.02076942,","0.27030787,",-0.15790866,-,fall,forward,lying,-,(angular,velocity).
"751757944000,","-0.045814894,","0.26175576,",-0.14080444,-,fall,forward,lying,-,(angular,velocity).
"751762977000,","-0.06414085,","0.25686884,",-0.13072516,-,fall,forward,lying,-,(angular,velocity).
"751767955000,","-0.064751714,","0.23701571,",-0.12522738,-,fall,forward,lying,-,(angular,velocity).
"751772952000,","-0.06811147,","0.19792034,",-0.113926366,-,fall,forward,lying,-,(angular,velocity).
"751777951000,","-0.06811147,","0.16615535,",-0.100792766,-,fall,forward,lying,-,(angular,velocity).
"751782943000,","-0.053145275,","0.12675454,",-0.0870483,-,fall,forward,lying,-,(angular,velocity).
"751787974000,","-0.049785517,","0.09101892,",-0.08093964,-,fall,forward,lying,-,(angular,velocity).
"751793005000,","-0.051923547,","0.04153884,",-0.07391469,-,fall,forward,lying,-,(angular,velocity).
"751798374000,","-0.052534413,","-0.0076358155,",-0.069027774,-,fall,forward,lying,-,(angular,velocity).
"751802961000,","-0.050701816,","-0.055588737,",-0.05467244,-,fall,forward,lying,-,(angular,velocity).
"751807913000,","-0.05955936,","-0.08979719,",-0.04795292,-,fall,forward,lying,-,(angular,velocity).
"751813039000,","-0.048563786,","-0.11789699,",-0.031154128,-,fall,forward,lying,-,(angular,velocity).
"751817979000,","-0.062308256,","-0.15393804,",-0.014966198,-,fall,forward,lying,-,(angular,velocity).
"751823918000,","-0.058948494,","-0.19822577,",-0.007941248,-,fall,forward,lying,-,(angular,velocity).
"751827953000,","-0.043982297,","-0.22021692,",0.0106901415,-,fall,forward,lying,-,(angular,velocity).
"751832943000,","-0.042455133,","-0.2415972,",0.02687807,-,fall,forward,lying,-,(angular,velocity).
