#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","-8.485051,","1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#datetime:,29/05/2013,15:47:41,4.3957543,-,sit,chair,-,(including,gravity).
##########################################,"-8.485051,","1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#activity:,7,-,sch,-,sit,chair,-,6s,gravity).
#subject,id:,9,4.3957543,-,sit,chair,-,(including,gravity).
#first,name:,sub9,4.3957543,-,sit,chair,-,(including,gravity).
#last,name:,sub9,4.3957543,-,sit,chair,-,(including,gravity).
#age:,30,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#height(cm):,177,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#weight(kg):,102,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
#gender:,male,"1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
"8590268376000,","-3.064578,","9.107543,",-0.1436521,-,sit,chair,-,(including,gravity).
"8590280765000,","-3.715801,","9.184157,",0.18195933,-,sit,chair,-,(including,gravity).
"8590295263000,","-5.0278234,","8.762778,",0.9768343,-,sit,chair,-,(including,gravity).
"8590304445000,","-6.042965,","8.274361,",1.8483237,-,sit,chair,-,(including,gravity).
"8590316036000,","-5.439626,","8.743625,",1.0055647,-,sit,chair,-,(including,gravity).
"8590328161000,","-4.8362875,","9.519346,",1.4173675,-,sit,chair,-,(including,gravity).
"8590338238000,","-4.2425256,","10.160992,",2.7964275,-,sit,chair,-,(including,gravity).
"8590349858000,","-3.466804,","10.295067,",3.572149,-,sit,chair,-,(including,gravity).
"8590362618000,","-2.815581,","10.04607,",3.4093432,-,sit,chair,-,(including,gravity).
"8590373133000,","-2.6431987,","9.222465,",2.4995465,-,sit,chair,-,(including,gravity).
"8590382905000,","-2.72939,","8.983045,",2.0398598,-,sit,chair,-,(including,gravity).
"8590394368000,","-2.681506,","8.896853,",1.5801731,-,sit,chair,-,(including,gravity).
"8590403883000,","-2.7102363,","8.762778,",0.91937345,-,sit,chair,-,(including,gravity).
"8590414409000,","-2.8538885,","8.695741,",0.41180268,-,sit,chair,-,(including,gravity).
"8590424175000,","-3.0454245,","8.571242,",-0.009576807,-,sit,chair,-,(including,gravity).
"8590435274000,","-3.2848446,","8.389283,",-0.095768064,-,sit,chair,-,(including,gravity).
"8590446571000,","-3.6391866,","8.197746,",0.24899697,-,sit,chair,-,(including,gravity).
"8590456316000,","-3.9743748,","8.101978,",0.8331822,-,sit,chair,-,(including,gravity).
"8590466480000,","-4.2521024,","7.967903,",1.4748282,-,sit,chair,-,(including,gravity).
"8590477412000,","-4.548983,","7.7572136,",1.9632454,-,sit,chair,-,(including,gravity).
"8590488192000,","-4.9895163,","7.52737,",2.384625,-,sit,chair,-,(including,gravity).
"8590498126000,","-5.391742,","7.4507556,",2.767697,-,sit,chair,-,(including,gravity).
"8590508082000,","-5.66947,","7.4507556,",2.9113493,-,sit,chair,-,(including,gravity).
"8590519698000,","-5.793968,","7.603985,",2.6719291,-,sit,chair,-,(including,gravity).
"8590530258000,","-5.7269306,","8.178593,",1.5035586,-,sit,chair,-,(including,gravity).
"8590542633000,","-5.305551,","8.446744,",1.3215994,-,sit,chair,-,(including,gravity).
"8590552720000,","-5.1810527,","8.465898,",1.541866,-,sit,chair,-,(including,gravity).
"8590565966000,","-5.21936,","8.303091,",1.8866309,-,sit,chair,-,(including,gravity).
"8590577386000,","-5.4300494,","8.034941,",1.9632454,-,sit,chair,-,(including,gravity).
"8590590593000,","-6.0621185,","7.297527,",1.3311762,-,sit,chair,-,(including,gravity).
"8590603333000,","-6.4068837,","7.0581064,",1.3120226,-,sit,chair,-,(including,gravity).
"8590614642000,","-6.6367273,","6.83784,",1.4460979,-,sit,chair,-,(including,gravity).
"8590624196000,","-6.8186865,","6.799533,",1.685518,-,sit,chair,-,(including,gravity).
"8590635848000,","-6.8761473,","6.847417,",2.0973208,-,sit,chair,-,(including,gravity).
"8590647429000,","-6.7803793,","7.019799,",2.6144683,-,sit,chair,-,(including,gravity).
"8590657088000,","-6.703765,","7.2209125,",3.0358477,-,sit,chair,-,(including,gravity).
"8590667725000,","-6.83784,","7.1347213,",2.9879637,-,sit,chair,-,(including,gravity).
"8590676856000,","-7.038953,","6.7803793,",2.528277,-,sit,chair,-,(including,gravity).
"8590687877000,","-7.4507556,","5.90889,",1.8770541,-,sit,chair,-,(including,gravity).
"8590699321000,","-7.4507556,","5.90889,",1.8770541,-,sit,chair,-,(including,gravity).
"8590708470000,","-7.393295,","5.363012,",1.8866309,-,sit,chair,-,(including,gravity).
"8590720208000,","-7.297527,","5.4300494,",1.982399,-,sit,chair,-,(including,gravity).
"8590730229000,","-7.2592196,","5.554548,",2.0398598,-,sit,chair,-,(including,gravity).
"8590739946000,","-7.326257,","5.583278,",2.2409728,-,sit,chair,-,(including,gravity).
"8590749778000,","-7.326257,","5.6886234,",2.2409728,-,sit,chair,-,(including,gravity).
"8590759867000,","-7.144298,","5.813122,",2.2505496,-,sit,chair,-,(including,gravity).
"8590770139000,","-7.038953,","5.851429,",2.327164,-,sit,chair,-,(including,gravity).
"8590780160000,","-7.086837,","5.947197,",2.585738,-,sit,chair,-,(including,gravity).
"8590790495000,","-7.345411,","6.0046577,",2.7868507,-,sit,chair,-,(including,gravity).
"8590801835000,","-7.642292,","6.0621185,",2.8921957,-,sit,chair,-,(including,gravity).
"8590814018000,","-7.833828,","5.9567738,",3.0550013,-,sit,chair,-,(including,gravity).
"8590823620000,","-7.7572136,","5.746084,",3.466804,-,sit,chair,-,(including,gravity).
"8590833929000,","-7.536947,","5.5258174,",3.8881836,-,sit,chair,-,(including,gravity).
"8590847971000,","-7.489063,","4.8841715,",3.217807,-,sit,chair,-,(including,gravity).
"8590859023000,","-7.747637,","4.6255975,",2.777274,-,sit,chair,-,(including,gravity).
"8590868661000,","-7.9966335,","4.5681367,",2.9496565,-,sit,chair,-,(including,gravity).
"8590879512000,","-8.178593,","4.6830587,",3.2561142,-,sit,chair,-,(including,gravity).
"8590890289000,","-8.418014,","4.7309427,",3.7445314,-,sit,chair,-,(including,gravity).
"8590902504000,","-8.66701,","4.7979803,",3.715801,-,sit,chair,-,(including,gravity).
"8590915297000,","-8.887277,","4.865018,",3.0933087,-,sit,chair,-,(including,gravity).
"8590928653000,","-8.90643,","4.6160207,",3.3614593,-,sit,chair,-,(including,gravity).
"8590940204000,","-8.954314,","4.462792,",3.5529952,-,sit,chair,-,(including,gravity).
"8590953712000,","-9.174581,","4.0414124,",3.821146,-,sit,chair,-,(including,gravity).
"8590965226000,","-9.078813,","3.9360676,",3.5051112,-,sit,chair,-,(including,gravity).
"8590977786000,","-8.829816,","4.223372,",2.9975405,-,sit,chair,-,(including,gravity).
"8590989617000,","-8.513782,","4.1276035,",2.6719291,-,sit,chair,-,(including,gravity).
"8591002177000,","-8.647857,","3.9456444,",3.0071173,-,sit,chair,-,(including,gravity).
"8591014243000,","-9.576807,","3.371036,",4.663905,-,sit,chair,-,(including,gravity).
"8591024053000,","-9.940725,","3.4572272,",4.6926355,-,sit,chair,-,(including,gravity).
"8591034163000,","-10.228029,","3.6487634,",4.5298295,-,sit,chair,-,(including,gravity).
"8591047300000,","-10.486604,","3.7062242,",4.4819455,-,sit,chair,-,(including,gravity).
"8591057681000,","-10.582372,","3.715801,",4.462792,-,sit,chair,-,(including,gravity).
"8591069588000,","-10.486604,","3.466804,",4.2521024,-,sit,chair,-,(including,gravity).
"8591079234000,","-10.170568,","3.1028855,",3.8977604,-,sit,chair,-,(including,gravity).
"8591091393000,","-9.844957,","2.7102363,",3.514688,-,sit,chair,-,(including,gravity).
"8591102548000,","-9.481039,","2.183512,",3.2944214,-,sit,chair,-,(including,gravity).
"8591115239000,","-9.394848,","2.030283,",3.217807,-,sit,chair,-,(including,gravity).
"8591128320000,","-9.279925,","1.7812861,",2.9879637,-,sit,chair,-,(including,gravity).
"8591140464000,","-9.155427,","1.4652514,",2.8634653,-,sit,chair,-,(including,gravity).
"8591152831000,","-9.069236,","1.1109096,",3.074155,-,sit,chair,-,(including,gravity).
"8591170435000,","-9.375694,","1.0821792,",3.122039,-,sit,chair,-,(including,gravity).
"8591181929000,","-9.557653,","1.1587936,",3.0550013,-,sit,chair,-,(including,gravity).
"8591193421000,","-9.624691,","1.091756,",3.064578,-,sit,chair,-,(including,gravity).
"8591204496000,","-9.586384,","1.0342951,",3.0454245,-,sit,chair,-,(including,gravity).
"8591215663000,","-9.528923,","0.8714894,",3.0454245,-,sit,chair,-,(including,gravity).
"8591228417000,","-9.433155,","0.63206923,",2.9975405,-,sit,chair,-,(including,gravity).
"8591239528000,","-9.3182335,","0.33518824,",3.0071173,-,sit,chair,-,(including,gravity).
"8591249047000,","-9.299079,","0.19153613,",3.2944214,-,sit,chair,-,(including,gravity).
"8591265783000,","-9.289502,","0.11492168,",3.6583402,-,sit,chair,-,(including,gravity).
"8591277892000,","-9.279925,","0.15322891,",3.9073372,-,sit,chair,-,(including,gravity).
"8591291408000,","-9.289502,","0.7469909,",4.098873,-,sit,chair,-,(including,gravity).
"8591302699000,","-9.308656,","1.1204864,",4.1946416,-,sit,chair,-,(including,gravity).
"8591314751000,","-9.260772,","1.3120226,",4.3957543,-,sit,chair,-,(including,gravity).
"8591324460000,","-9.193734,","1.340753,",4.510676,-,sit,chair,-,(including,gravity).
"8591338581000,","-9.126697,","1.2641385,",4.548983,-,sit,chair,-,(including,gravity).
"8591348566000,","-8.992621,","0.90979666,",4.2999864,-,sit,chair,-,(including,gravity).
"8591359077000,","-8.983045,","0.80445176,",4.175488,-,sit,chair,-,(including,gravity).
"8591369500000,","-9.050082,","0.7278373,",4.060566,-,sit,chair,-,(including,gravity).
"8591381789000,","-9.11712,","0.6991069,",4.0701427,-,sit,chair,-,(including,gravity).
"8591392270000,","-9.059659,","0.7086837,",4.280833,-,sit,chair,-,(including,gravity).
"8591402107000,","-8.829816,","0.81402856,",4.4915223,-,sit,chair,-,(including,gravity).
"8591414660000,","-8.504205,","0.91937345,",4.807557,-,sit,chair,-,(including,gravity).
"8591428634000,","-7.8146744,","0.8714894,",4.9895163,-,sit,chair,-,(including,gravity).
"8591440291000,","-7.5082164,","0.7661445,",4.7788267,-,sit,chair,-,(including,gravity).
"8591451380000,","-7.3549876,","0.7086837,",4.501099,-,sit,chair,-,(including,gravity).
"8591464372000,","-7.335834,","0.6991069,",4.2904096,-,sit,chair,-,(including,gravity).
"8591477201000,","-7.690176,","0.80445176,",4.5681367,-,sit,chair,-,(including,gravity).
"8591489840000,","-8.082825,","0.8810662,",4.8841715,-,sit,chair,-,(including,gravity).
"8591502751000,","-8.446744,","0.92895025,",5.1810527,-,sit,chair,-,(including,gravity).
"8591518082000,","-9.222465,","0.9959879,",5.3438582,-,sit,chair,-,(including,gravity).
"8591527977000,","-9.423578,","1.0726024,",5.305551,-,sit,chair,-,(including,gravity).
"8591540000000,","-9.490616,","1.2258313,",5.3725886,-,sit,chair,-,(including,gravity).
"8591553052000,","-9.346964,","1.5035586,",5.5258174,-,sit,chair,-,(including,gravity).
"8591565146000,","-8.868123,","1.8866309,",4.9320555,-,sit,chair,-,(including,gravity).
"8591578317000,","-8.63828,","1.9919758,",4.5777135,-,sit,chair,-,(including,gravity).
"8591593071000,","-8.475474,","2.0015526,",4.2425256,-,sit,chair,-,(including,gravity).
"8591603231000,","-8.121132,","1.9249382,",4.31914,-,sit,chair,-,(including,gravity).
"8591616119000,","-7.920019,","1.8004397,",4.261679,-,sit,chair,-,(including,gravity).
"8591630232000,","-7.690176,","1.6567876,",4.232949,-,sit,chair,-,(including,gravity).
"8591643193000,","-7.4028716,","1.283292,",4.098873,-,sit,chair,-,(including,gravity).
"8591653078000,","-7.3166804,","1.1683705,",4.060566,-,sit,chair,-,(including,gravity).
"8591665706000,","-7.326257,","1.1204864,",4.1946416,-,sit,chair,-,(including,gravity).
"8591677742000,","-7.441179,","1.1683705,",4.3957543,-,sit,chair,-,(including,gravity).
"8591690231000,","-7.6231384,","1.283292,",4.453215,-,sit,chair,-,(including,gravity).
"8591702753000,","-8.149862,","1.6472107,",4.501099,-,sit,chair,-,(including,gravity).
"8591715185000,","-8.475474,","1.7717092,",4.510676,-,sit,chair,-,(including,gravity).
"8591727793000,","-8.781932,","1.8770541,",4.5681367,-,sit,chair,-,(including,gravity).
"8591740253000,","-9.078813,","1.9632454,",4.6926355,-,sit,chair,-,(including,gravity).
"8591753698000,","-9.375694,","2.0973208,",4.644751,-,sit,chair,-,(including,gravity).
"8591765479000,","-9.394848,","2.1164744,",4.5298295,-,sit,chair,-,(including,gravity).
"8591778145000,","-9.423578,","2.1260512,",4.453215,-,sit,chair,-,(including,gravity).
"8591790271000,","-9.165004,","2.0015526,",4.1946416,-,sit,chair,-,(including,gravity).
"8591802736000,","-8.973468,","1.8483237,",4.098873,-,sit,chair,-,(including,gravity).
"8591815138000,","-8.743625,","1.7142484,",4.0222588,-,sit,chair,-,(including,gravity).
"8591829437000,","-8.571242,","1.6089035,",4.1946416,-,sit,chair,-,(including,gravity).
"8591840527000,","-8.379706,","1.484405,",4.1276035,-,sit,chair,-,(including,gravity).
"8591853124000,","-8.465898,","1.4748282,",4.0414124,-,sit,chair,-,(including,gravity).
"8591863874000,","-8.475474,","1.5035586,",4.0892963,-,sit,chair,-,(including,gravity).
"8591873651000,","-8.542512,","1.5705963,",3.9073372,-,sit,chair,-,(including,gravity).
"8591883714000,","-8.66701,","1.5897499,",4.0797195,-,sit,chair,-,(including,gravity).
"8591893939000,","-8.7532015,","1.6567876,",4.2904096,-,sit,chair,-,(including,gravity).
"8591903742000,","-8.820239,","1.6759412,",4.4723687,-,sit,chair,-,(including,gravity).
"8591913712000,","-8.90643,","1.6759412,",4.405331,-,sit,chair,-,(including,gravity).
"8591923713000,","-8.925584,","1.6663644,",3.9743748,-,sit,chair,-,(including,gravity).
"8591933799000,","-9.011775,","1.6184803,",4.2904096,-,sit,chair,-,(including,gravity).
"8591943977000,","-8.896853,","1.5610195,",4.367024,-,sit,chair,-,(including,gravity).
"8591954271000,","-8.734048,","1.5227122,",4.2904096,-,sit,chair,-,(including,gravity).
"8591964540000,","-8.532935,","1.5035586,",4.223372,-,sit,chair,-,(including,gravity).
"8591974531000,","-8.236053,","1.4269443,",3.8881836,-,sit,chair,-,(including,gravity).
"8591985298000,","-8.255207,","1.4269443,",4.185065,-,sit,chair,-,(including,gravity).
"8591994748000,","-8.293514,","1.4269443,",4.223372,-,sit,chair,-,(including,gravity).
"8592004879000,","-8.312668,","1.4939818,",4.3287168,-,sit,chair,-,(including,gravity).
"8592015921000,","-8.379706,","1.5227122,",4.4340615,-,sit,chair,-,(including,gravity).
"8592027241000,","-8.552089,","1.541866,",4.596867,-,sit,chair,-,(including,gravity).
"8592039610000,","-8.542512,","1.5131354,",4.596867,-,sit,chair,-,(including,gravity).
"8592049370000,","-8.513782,","1.4556746,",4.5872903,-,sit,chair,-,(including,gravity).
"8592059001000,","-8.437167,","1.4556746,",4.5777135,-,sit,chair,-,(including,gravity).
"8592069261000,","-8.360553,","1.4460979,",4.510676,-,sit,chair,-,(including,gravity).
"8592079314000,","-8.350976,","1.484405,",4.4915223,-,sit,chair,-,(including,gravity).
"8592089719000,","-8.37013,","1.4939818,",4.55856,-,sit,chair,-,(including,gravity).
"8592099717000,","-8.408437,","1.532289,",4.5681367,-,sit,chair,-,(including,gravity).
"8592110280000,","-8.456321,","1.5705963,",4.663905,-,sit,chair,-,(including,gravity).
"8592124862000,","-8.485051,","1.6472107,",4.654328,-,sit,chair,-,(including,gravity).
"8592134114000,","-8.485051,","1.6472107,",4.654328,-,sit,chair,-,(including,gravity).
"8592144451000,","-8.42759,","1.685518,",4.5872903,-,sit,chair,-,(including,gravity).
"8592154498000,","-8.389283,","1.6567876,",4.548983,-,sit,chair,-,(including,gravity).
"8592165341000,","-8.350976,","1.6759412,",4.4915223,-,sit,chair,-,(including,gravity).
"8592175853000,","-8.341399,","1.6950948,",4.462792,-,sit,chair,-,(including,gravity).
"8592188265000,","-8.389283,","1.6663644,",4.4436383,-,sit,chair,-,(including,gravity).
"8592198336000,","-8.408437,","1.6759412,",4.4436383,-,sit,chair,-,(including,gravity).
"8592208515000,","-8.42759,","1.6759412,",4.4436383,-,sit,chair,-,(including,gravity).
"8592219057000,","-8.418014,","1.6567876,",4.414908,-,sit,chair,-,(including,gravity).
"8592228947000,","-8.437167,","1.6280571,",4.3957543,-,sit,chair,-,(including,gravity).
"8592239770000,","-8.485051,","1.6280571,",4.3957543,-,sit,chair,-,(including,gravity).
"8592251658000,","-8.532935,","1.6567876,",4.367024,-,sit,chair,-,(including,gravity).
"8592263832000,","-8.523358,","1.6184803,",4.3957543,-,sit,chair,-,(including,gravity).
"8592274066000,","-8.619126,","1.6472107,",4.3478703,-,sit,chair,-,(including,gravity).
"8592284028000,","-8.6574335,","1.6376339,",4.309563,-,sit,chair,-,(including,gravity).
"8592294787000,","-8.628703,","1.6376339,",4.3382936,-,sit,chair,-,(including,gravity).
"8592305345000,","-8.628703,","1.5897499,",4.3766007,-,sit,chair,-,(including,gravity).
"8592314883000,","-8.619126,","1.5514427,",4.3287168,-,sit,chair,-,(including,gravity).
"8592325135000,","-8.599973,","1.5705963,",4.3478703,-,sit,chair,-,(including,gravity).
"8592335210000,","-8.571242,","1.5227122,",4.3287168,-,sit,chair,-,(including,gravity).
"8592346485000,","-8.590396,","1.5801731,",4.2999864,-,sit,chair,-,(including,gravity).
"8592357134000,","-8.676587,","1.5897499,",4.271256,-,sit,chair,-,(including,gravity).
"8592367581000,","-8.8777,","1.6472107,",4.309563,-,sit,chair,-,(including,gravity).
"8592377375000,","-9.078813,","1.7812861,",4.4340615,-,sit,chair,-,(including,gravity).
"8592388267000,","-9.356541,","1.934515,",4.5298295,-,sit,chair,-,(including,gravity).
"8592397465000,","-9.500193,","1.982399,",4.5298295,-,sit,chair,-,(including,gravity).
"8592407644000,","-9.490616,","1.934515,",4.3861775,-,sit,chair,-,(including,gravity).
"8592418225000,","-9.337387,","1.7717092,",4.1371803,-,sit,chair,-,(including,gravity).
"8592428081000,","-9.088389,","1.5801731,",4.050989,-,sit,chair,-,(including,gravity).
"8592439573000,","-8.552089,","1.3790601,",4.050989,-,sit,chair,-,(including,gravity).
"8592449609000,","-8.341399,","1.3503298,",4.1180267,-,sit,chair,-,(including,gravity).
"8592464642000,","-8.24563,","1.3694834,",4.146757,-,sit,chair,-,(including,gravity).
"8592477325000,","-8.264784,","1.388637,",4.232949,-,sit,chair,-,(including,gravity).
"8592490830000,","-8.389283,","1.436521,",4.405331,-,sit,chair,-,(including,gravity).
"8592502980000,","-8.485051,","1.4748282,",4.4723687,-,sit,chair,-,(including,gravity).
"8592515964000,","-8.590396,","1.5227122,",4.596867,-,sit,chair,-,(including,gravity).
"8592528179000,","-8.628703,","1.6663644,",4.7500963,-,sit,chair,-,(including,gravity).
"8592539476000,","-8.619126,","1.7238252,",4.759673,-,sit,chair,-,(including,gravity).
"8592549114000,","-8.66701,","1.7812861,",4.6351743,-,sit,chair,-,(including,gravity).
"8592558731000,","-8.676587,","1.7717092,",4.4436383,-,sit,chair,-,(including,gravity).
"8592569539000,","-8.7053175,","1.8291701,",4.309563,-,sit,chair,-,(including,gravity).
"8592582092000,","-8.724471,","1.7621324,",4.156334,-,sit,chair,-,(including,gravity).
"8592592986000,","-8.714894,","1.6950948,",4.1276035,-,sit,chair,-,(including,gravity).
"8592603366000,","-8.66701,","1.6472107,",4.1276035,-,sit,chair,-,(including,gravity).
"8592615202000,","-8.676587,","1.541866,",4.1659107,-,sit,chair,-,(including,gravity).
"8592629856000,","-8.6574335,","1.4652514,",4.357447,-,sit,chair,-,(including,gravity).
"8592641410000,","-8.66701,","1.4652514,",4.3861775,-,sit,chair,-,(including,gravity).
"8592652056000,","-8.7053175,","1.4939818,",4.4340615,-,sit,chair,-,(including,gravity).
"8592664166000,","-8.676587,","1.5227122,",4.414908,-,sit,chair,-,(including,gravity).
"8592674548000,","-8.599973,","1.4939818,",4.405331,-,sit,chair,-,(including,gravity).
"8592684616000,","-8.542512,","1.484405,",4.3957543,-,sit,chair,-,(including,gravity).
"8592694838000,","-8.456321,","1.5035586,",4.3957543,-,sit,chair,-,(including,gravity).
"8592705085000,","-8.408437,","1.5801731,",4.405331,-,sit,chair,-,(including,gravity).
