#rate,of,rotation,around,the,x,y,z,axes,(angular,velocity).
"#timestamp(ns),x,y,z(rad/s)","-1.0177015,","0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#datetime:,29/05/2013,14:16:16,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
##########################################,"-1.0177015,","0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#activity:,4,-,jum,-,jumping,-,30s,axes,(angular,velocity).
#subject,id:,7,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#first,name:,sub7,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#last,name:,sub7,-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#age:,25,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#height(cm):,189,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#weight(kg):,80,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
#gender:,male,"0.011301007,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
"4032273371000,","0.13744467,","-0.12797627,",-0.043676864,-,jumping,-,30s,axes,(angular,velocity).
"4032278364000,","0.1432479,","-0.13805555,",-0.043066,-,jumping,-,30s,axes,(angular,velocity).
"4032283297000,","0.1518,","-0.13652839,",-0.0421497,-,jumping,-,30s,axes,(angular,velocity).
"4032288334000,","0.15454891,","-0.14752395,",-0.03756821,-,jumping,-,30s,axes,(angular,velocity).
"4032293588000,","0.15790866,","-0.16707164,",-0.03940081,-,jumping,-,30s,axes,(angular,velocity).
"4032298341000,","0.1704314,","-0.18478674,",-0.03756821,-,jumping,-,30s,axes,(angular,velocity).
"4032303339000,","0.17501289,","-0.21655174,",-0.01985312,-,jumping,-,30s,axes,(angular,velocity).
"4032308336000,","0.15760323,","-0.22052236,",-0.019242255,-,jumping,-,30s,axes,(angular,velocity).
"4032313363000,","0.16737708,","-0.19425514,",-0.03390302,-,jumping,-,30s,axes,(angular,velocity).
"4032318340000,","0.22113322,","-0.19456059,",-0.038789943,-,jumping,-,30s,axes,(angular,velocity).
"4032323332000,","0.22999077,","-0.20555615,",-0.051618114,-,jumping,-,30s,axes,(angular,velocity).
"4032328822000,","0.2302962,","-0.20769419,",-0.050701816,-,jumping,-,30s,axes,(angular,velocity).
"4032333343000,","0.22907446,","-0.19547687,",-0.050396383,-,jumping,-,30s,axes,(angular,velocity).
"4032338340000,","0.23640485,","-0.1853976,",-0.055283304,-,jumping,-,30s,axes,(angular,velocity).
"4032343494000,","0.2501493,","-0.16371189,",-0.05955936,-,jumping,-,30s,axes,(angular,velocity).
"4032348354000,","0.25045475,","-0.16249016,",-0.05497787,-,jumping,-,30s,axes,(angular,velocity).
"4032353343000,","0.25595254,","-0.1600467,",-0.061391957,-,jumping,-,30s,axes,(angular,velocity).
"4032358374000,","0.27366763,","-0.16157386,",-0.070554934,-,jumping,-,30s,axes,(angular,velocity).
"4032363358000,","0.27580565,","-0.15943582,",-0.06719518,-,jumping,-,30s,axes,(angular,velocity).
"4032368342000,","0.2742785,","-0.16646078,",-0.061086524,-,jumping,-,30s,axes,(angular,velocity).
"4032373337000,","0.2761111,","-0.17928895,",-0.064446285,-,jumping,-,30s,axes,(angular,velocity).
"4032378352000,","0.2764165,","-0.21471913,",-0.034208454,-,jumping,-,30s,axes,(angular,velocity).
"4032383343000,","0.28099802,","-0.24495697,",-0.0290161,-,jumping,-,30s,axes,(angular,velocity).
"4032388400000,","0.2556471,","-0.22143865,",-0.062002823,-,jumping,-,30s,axes,(angular,velocity).
"4032393369000,","0.2742785,","-0.19120082,",-0.040011674,-,jumping,-,30s,axes,(angular,velocity).
"4032398361000,","0.2883284,","-0.1704314,",-0.03573562,-,jumping,-,30s,axes,(angular,velocity).
"4032403345000,","0.29016098,","-0.15454891,",-0.038179077,-,jumping,-,30s,axes,(angular,velocity).
"4032408362000,","0.29138273,","-0.1432479,",-0.035124753,-,jumping,-,30s,axes,(angular,velocity).
"4032413345000,","0.2846632,","-0.12370021,",-0.026572637,-,jumping,-,30s,axes,(angular,velocity).
"4032418344000,","0.2828306,","-0.105374254,",-0.026267206,-,jumping,-,30s,axes,(angular,velocity).
"4032423359000,","0.28527406,","-0.086437434,",-0.025045475,-,jumping,-,30s,axes,(angular,velocity).
"4032428336000,","0.29932398,","-0.06261369,",-0.019242255,-,jumping,-,30s,axes,(angular,velocity).
"4032433323000,","0.30176744,","-0.04642576,",-0.01863139,-,jumping,-,30s,axes,(angular,velocity).
"4032438331000,","0.30268374,","-0.043982297,",-0.009773844,-,jumping,-,30s,axes,(angular,velocity).
"4032444406000,","0.30207285,","-0.043676864,",-0.0027488936,-,jumping,-,30s,axes,(angular,velocity).
"4032448311000,","0.31490102,","-0.039095376,",0.004886922,-,jumping,-,30s,axes,(angular,velocity).
"4032453258000,","0.3200934,","-0.040317107,",0.0076358155,-,jumping,-,30s,axes,(angular,velocity).
"4032458324000,","0.310625,","-0.06352998,",0.018936822,-,jumping,-,30s,axes,(angular,velocity).
"4032463263000,","0.32375857,","-0.06078109,",0.024129177,-,jumping,-,30s,axes,(angular,velocity).
"4032468286000,","0.31245756,","-0.0729984,",0.024129177,-,jumping,-,30s,axes,(angular,velocity).
"4032473309000,","0.3222314,","-0.07696902,",0.022296581,-,jumping,-,30s,axes,(angular,velocity).
"4032478290000,","0.31856623,","-0.080634214,",0.020463986,-,jumping,-,30s,axes,(angular,velocity).
"4032483450000,","0.30604348,","-0.09040806,",0.022296581,-,jumping,-,30s,axes,(angular,velocity).
"4032488831000,","0.29657507,","-0.096516706,",0.026267206,-,jumping,-,30s,axes,(angular,velocity).
"4032493303000,","0.28771752,","-0.09040806,",0.03634648,-,jumping,-,30s,axes,(angular,velocity).
"4032498284000,","0.27305678,","-0.073303826,",0.020158553,-,jumping,-,30s,axes,(angular,velocity).
"4032503280000,","0.25228736,","-0.07696902,",0.017104227,-,jumping,-,30s,axes,(angular,velocity).
"4032508291000,","0.24465153,","-0.07696902,",0.009468411,-,jumping,-,30s,axes,(angular,velocity).
"4032514294000,","0.226631,","-0.074830994,",0.022602014,-,jumping,-,30s,axes,(angular,velocity).
"4032518329000,","0.20677789,","-0.057421334,",0.020463986,-,jumping,-,30s,axes,(angular,velocity).
"4032523417000,","0.18478674,","-0.059864793,",0.015577064,-,jumping,-,30s,axes,(angular,velocity).
"4032528358000,","0.15302174,","-0.06261369,",0.019547688,-,jumping,-,30s,axes,(angular,velocity).
"4032533288000,","0.14538592,","-0.0720821,",0.01863139,-,jumping,-,30s,axes,(angular,velocity).
"4032538303000,","0.12308934,","-0.074830994,",0.021380283,-,jumping,-,30s,axes,(angular,velocity).
"4032543314000,","0.10720685,","-0.09010262,",0.024740042,-,jumping,-,30s,axes,(angular,velocity).
"4032548300000,","0.08582657,","-0.099265605,",0.021991149,-,jumping,-,30s,axes,(angular,velocity).
"4032553272000,","0.06963864,","-0.10476339,",0.024129177,-,jumping,-,30s,axes,(angular,velocity).
"4032558319000,","0.055283304,","-0.124005646,",0.02076942,-,jumping,-,30s,axes,(angular,velocity).
"4032563658000,","0.04917465,","-0.12583824,",0.026267206,-,jumping,-,30s,axes,(angular,velocity).
"4032568307000,","0.014966198,","-0.14813483,",0.016187929,-,jumping,-,30s,axes,(angular,velocity).
"4032573306000,","-0.004886922,","-0.14966199,",0.024129177,-,jumping,-,30s,axes,(angular,velocity).
"4032578304000,","-0.013744468,","-0.17440203,",0.017715093,-,jumping,-,30s,axes,(angular,velocity).
"4032584315000,","-0.023518313,","-0.16676621,",0.011301007,-,jumping,-,30s,axes,(angular,velocity).
"4032588397000,","-0.037873644,","-0.17073683,",0.01282817,-,jumping,-,30s,axes,(angular,velocity).
"4032593442000,","-0.057421334,","-0.1685988,",0.007330383,-,jumping,-,30s,axes,(angular,velocity).
"4032598336000,","-0.07666359,","-0.16890424,",0.0070249503,-,jumping,-,30s,axes,(angular,velocity).
"4032603177000,","-0.09712757,","-0.15363261,",-0.0018325958,-,jumping,-,30s,axes,(angular,velocity).
"4032608283000,","-0.11759156,","-0.14538592,",-0.013133603,-,jumping,-,30s,axes,(angular,velocity).
"4032613180000,","-0.15607607,","-0.14080444,",-0.011301007,-,jumping,-,30s,axes,(angular,velocity).
"4032618174000,","-0.17134771,","-0.1459968,",-0.013744468,-,jumping,-,30s,axes,(angular,velocity).
"4032623211000,","-0.20586158,","-0.15271631,",-0.016798794,-,jumping,-,30s,axes,(angular,velocity).
"4032628177000,","-0.24678956,","-0.18020524,",-0.003970624,-,jumping,-,30s,axes,(angular,velocity).
"4032633181000,","-0.28405234,","-0.18845193,",-0.01282817,-,jumping,-,30s,axes,(angular,velocity).
"4032638212000,","-0.3042109,","-0.20799962,",-0.013133603,-,jumping,-,30s,axes,(angular,velocity).
"4032643187000,","-0.3549127,","-0.24098633,",-0.008552114,-,jumping,-,30s,axes,(angular,velocity).
"4032648174000,","-0.39614612,","-0.26511553,",-0.017104227,-,jumping,-,30s,axes,(angular,velocity).
"4032653389000,","-0.44318274,","-0.28221974,",-0.028099801,-,jumping,-,30s,axes,(angular,velocity).
"4032658228000,","-0.50854534,","-0.29871312,",-0.04520403,-,jumping,-,30s,axes,(angular,velocity).
"4032663235000,","-0.5757405,","-0.31215215,",-0.077579886,-,jumping,-,30s,axes,(angular,velocity).
"4032668191000,","-0.6310238,","-0.310625,",-0.09865474,-,jumping,-,30s,axes,(angular,velocity).
"4032673241000,","-0.6945538,","-0.29993483,",-0.12767084,-,jumping,-,30s,axes,(angular,velocity).
"4032678193000,","-0.77121735,","-0.27122417,",-0.15607607,-,jumping,-,30s,axes,(angular,velocity).
"4032683200000,","-0.86498517,","-0.22571471,",-0.1777618,-,jumping,-,30s,axes,(angular,velocity).
"4032688233000,","-0.9468411,","-0.160963,",-0.1853976,-,jumping,-,30s,axes,(angular,velocity).
"4032693219000,","-1.0537425,","-0.0852157,",-0.19211712,-,jumping,-,30s,axes,(angular,velocity).
"4032698224000,","-1.1502593,","-0.004886922,",-0.19028452,-,jumping,-,30s,axes,(angular,velocity).
"4032703238000,","-1.2669345,","0.0720821,",-0.18142697,-,jumping,-,30s,axes,(angular,velocity).
"4032708287000,","-1.3961325,","0.12675454,",-0.18142697,-,jumping,-,30s,axes,(angular,velocity).
"4032713265000,","-1.5464053,","0.18020524,",-0.18692477,-,jumping,-,30s,axes,(angular,velocity).
"4032718275000,","-1.7275269,","0.21624629,",-0.19975294,-,jumping,-,30s,axes,(angular,velocity).
"4032723385000,","-1.917506,","0.26236662,",-0.21044308,-,jumping,-,30s,axes,(angular,velocity).
"4032728262000,","-2.134974,","0.32467487,",-0.23457226,-,jumping,-,30s,axes,(angular,velocity).
"4032733259000,","-2.3628268,","0.3454443,",-0.25595254,-,jumping,-,30s,axes,(angular,velocity).
"4032738311000,","-2.4825563,","0.3903429,",-0.2669481,-,jumping,-,30s,axes,(angular,velocity).
"4032743301000,","-2.7119362,","0.41996986,",-0.30115658,-,jumping,-,30s,axes,(angular,velocity).
"4032748288000,","-2.9581149,","0.4364632,",-0.3371976,-,jumping,-,30s,axes,(angular,velocity).
"4032753293000,","-3.195436,","0.42546764,",-0.37782016,-,jumping,-,30s,axes,(angular,velocity).
"4032758307000,","-3.38175,","0.37659842,",-0.4120286,-,jumping,-,30s,axes,(angular,velocity).
"4032763285000,","-3.5161405,","0.29840767,",-0.4279111,-,jumping,-,30s,axes,(angular,velocity).
"4032768278000,","-3.608381,","0.15821409,",-0.4465425,-,jumping,-,30s,axes,(angular,velocity).
"4032773412000,","-3.6251798,","-0.033292156,",-0.4474588,-,jumping,-,30s,axes,(angular,velocity).
"4032778308000,","-3.6257906,","-0.24709499,",-0.43096542,-,jumping,-,30s,axes,(angular,velocity).
"4032783259000,","-3.5915823,","-0.398895,",-0.39645153,-,jumping,-,30s,axes,(angular,velocity).
"4032789181000,","-3.5311065,","-0.48808134,",-0.35735616,-,jumping,-,30s,axes,(angular,velocity).
"4032793352000,","-3.4309247,","-0.5235115,",-0.3359759,-,jumping,-,30s,axes,(angular,velocity).
"4032798299000,","-3.3108897,","-0.5198463,",-0.3436117,-,jumping,-,30s,axes,(angular,velocity).
"4032803277000,","-3.1325169,","-0.3924809,",-0.38698313,-,jumping,-,30s,axes,(angular,velocity).
"4032808348000,","-2.9077187,","-0.14172074,",-0.4251622,-,jumping,-,30s,axes,(angular,velocity).
"4032813367000,","-2.6746736,","0.062308256,",-0.48838675,-,jumping,-,30s,axes,(angular,velocity).
"4032818301000,","-2.4327707,","0.20158553,",-0.52870387,-,jumping,-,30s,axes,(angular,velocity).
"4032823330000,","-2.223244,","0.21288654,",-0.54611355,-,jumping,-,30s,axes,(angular,velocity).
"4032828272000,","-2.0427334,","0.007330383,",-0.55680364,-,jumping,-,30s,axes,(angular,velocity).
"4032833424000,","-1.9062049,","-0.15363261,",-0.61666846,-,jumping,-,30s,axes,(angular,velocity).
"4032839139000,","-1.8026633,","-0.52656585,",-0.6282749,-,jumping,-,30s,axes,(angular,velocity).
"4032843322000,","-1.7617353,","-0.93523467,",-0.63255095,-,jumping,-,30s,axes,(angular,velocity).
"4032848307000,","-1.6905695,","-1.4141531,",-0.6178902,-,jumping,-,30s,axes,(angular,velocity).
"4032853350000,","-1.6600263,","-1.9883664,",-0.58062744,-,jumping,-,30s,axes,(angular,velocity).
"4032858324000,","-1.6740762,","-2.6279423,",-0.5155703,-,jumping,-,30s,axes,(angular,velocity).
"4032863301000,","-1.7858646,","-3.2418618,",-0.4392121,-,jumping,-,30s,axes,(angular,velocity).
"4032868303000,","-2.0454822,","-3.7012324,",-0.35185838,-,jumping,-,30s,axes,(angular,velocity).
"4032873306000,","-2.485,","-3.9409971,",-0.23518312,-,jumping,-,30s,axes,(angular,velocity).
"4032878309000,","-3.0320296,","-3.8322632,",-0.043066,-,jumping,-,30s,axes,(angular,velocity).
"4032883325000,","-3.5686748,","-3.2241468,",0.15363261,-,jumping,-,30s,axes,(angular,velocity).
"4032888324000,","-4.0188823,","-1.992337,",0.23793201,-,jumping,-,30s,axes,(angular,velocity).
"4032893314000,","-4.2271876,","-0.398895,",0.11789699,-,jumping,-,30s,axes,(angular,velocity).
"4032898365000,","-4.003,","0.89919364,",-0.15974127,-,jumping,-,30s,axes,(angular,velocity).
"4032903293000,","-3.4413095,","1.6319265,",-0.4550946,-,jumping,-,30s,axes,(angular,velocity).
"4032909337000,","-2.7348437,","1.9220876,",-0.70402217,-,jumping,-,30s,axes,(angular,velocity).
"4032913372000,","-2.1190915,","1.7919732,",-0.8228355,-,jumping,-,30s,axes,(angular,velocity).
"4032918288000,","-1.7302758,","1.2834278,",-0.8155051,-,jumping,-,30s,axes,(angular,velocity).
"4032923287000,","-1.5824465,","0.63499445,",-0.72295904,-,jumping,-,30s,axes,(angular,velocity).
"4032928316000,","-1.5711454,","0.09315695,",-0.6209445,-,jumping,-,30s,axes,(angular,velocity).
"4032933316000,","-1.6734654,","-0.07819075,",-0.5821546,-,jumping,-,30s,axes,(angular,velocity).
"4032938352000,","-1.717753,","-0.12950343,",-0.5494733,-,jumping,-,30s,axes,(angular,velocity).
"4032943362000,","-1.6649132,","0.098043874,",-0.5390886,-,jumping,-,30s,axes,(angular,velocity).
"4032948285000,","-1.4071281,","0.33017266,",-0.59986967,-,jumping,-,30s,axes,(angular,velocity).
"4032953370000,","-1.0219775,","0.35338554,",-0.6417139,-,jumping,-,30s,axes,(angular,velocity).
"4032958318000,","-0.6310238,","0.16310102,",-0.6267477,-,jumping,-,30s,axes,(angular,velocity).
"4032963317000,","-0.32375857,","-0.03145956,",-0.5390886,-,jumping,-,30s,axes,(angular,velocity).
"4032968322000,","-0.12889257,","-0.07238753,",-0.39950588,-,jumping,-,30s,axes,(angular,velocity).
"4032973315000,","-0.009162978,","0.03023783,",-0.25625798,-,jumping,-,30s,axes,(angular,velocity).
"4032978957000,","0.07422013,","0.21502456,",-0.122478485,-,jumping,-,30s,axes,(angular,velocity).
"4032983456000,","0.20311269,","0.33322698,",-3.0543262e-4,-,jumping,-,30s,axes,(angular,velocity).
"4032990247000,","0.33505958,","0.15271631,",0.15699236,-,jumping,-,30s,axes,(angular,velocity).
"4032993488000,","0.43127087,","0.028710667,",0.19242255,-,jumping,-,30s,axes,(angular,velocity).
"4032998488000,","0.4465425,","-0.12003502,",0.25045475,-,jumping,-,30s,axes,(angular,velocity).
"4033003284000,","0.49205196,","-0.10995574,",0.2593123,-,jumping,-,30s,axes,(angular,velocity).
"4033008326000,","0.5867361,","-0.002443461,",0.2434298,-,jumping,-,30s,axes,(angular,velocity).
"4033013267000,","0.7122689,","0.17745635,",0.24465153,-,jumping,-,30s,axes,(angular,velocity).
"4033018319000,","0.8695667,","0.28008172,",0.24312437,-,jumping,-,30s,axes,(angular,velocity).
"4033023301000,","1.0112875,","0.23854288,",0.2501493,-,jumping,-,30s,axes,(angular,velocity).
"4033028316000,","1.1475104,","0.18509217,",0.18906279,-,jumping,-,30s,axes,(angular,velocity).
"4033033298000,","1.2498302,","0.11453723,",0.13194689,-,jumping,-,30s,axes,(angular,velocity).
"4033039079000,","1.3069462,","0.124005646,",-0.03756821,-,jumping,-,30s,axes,(angular,velocity).
"4033043317000,","1.4737124,","0.12889257,",-0.061391957,-,jumping,-,30s,axes,(angular,velocity).
"4033048277000,","1.5302174,","0.07147124,",-0.05100725,-,jumping,-,30s,axes,(angular,velocity).
"4033053284000,","1.636508,","-0.047647487,",0.01038471,-,jumping,-,30s,axes,(angular,velocity).
"4033058502000,","1.7171422,","-0.23365596,",0.1160644,-,jumping,-,30s,axes,(angular,velocity).
"4033063300000,","1.7803668,","-0.45173484,",0.23243423,-,jumping,-,30s,axes,(angular,velocity).
"4033068276000,","1.8536706,","-0.66339964,",0.3491095,-,jumping,-,30s,axes,(angular,velocity).
"4033073364000,","1.9608774,","-0.8539896,",0.47708577,-,jumping,-,30s,axes,(angular,velocity).
"4033078425000,","2.071444,","-1.022283,",0.62796944,-,jumping,-,30s,axes,(angular,velocity).
"4033083330000,","2.1661282,","-1.1826351,",0.7834347,-,jumping,-,30s,axes,(angular,velocity).
