#acceleration,force,along,the,x,y,z,axes,(including,gravity).
"#timestamp(ns),x,y,z(m/s^2)","0.20111294,","19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#datetime:,28/05/2013,10:34:59,-0.5650316,-,jogging,-,30s,(including,gravity).
##########################################,"0.20111294,","19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#activity:,3,-,jog,-,jogging,-,30s,(including,gravity).
#subject,id:,5,-0.5650316,-,jogging,-,30s,(including,gravity).
#first,name:,sub5,-0.5650316,-,jogging,-,30s,(including,gravity).
#last,name:,sub5,-0.5650316,-,jogging,-,30s,(including,gravity).
#age:,36,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#height(cm):,160,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#weight(kg):,50,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
#gender:,female,"19.52711,",-0.5650316,-,jogging,-,30s,(including,gravity).
"881244256000,","-0.9959879,","9.3182335,",0.29688102,-,jogging,-,30s,(including,gravity).
"881255700000,","-0.7278373,","9.442732,",0.30645782,-,jogging,-,30s,(including,gravity).
"881267778000,","-0.90979666,","8.772355,",-0.047884032,-,jogging,-,30s,(including,gravity).
"881278166000,","-0.92895025,","8.054094,",-0.21068975,-,jogging,-,30s,(including,gravity).
"881287997000,","-0.6991069,","7.383718,",-0.30645782,-,jogging,-,30s,(including,gravity).
"881300428000,","-0.90021986,","6.5122285,",-0.16280572,-,jogging,-,30s,(including,gravity).
"881314305000,","-0.9864111,","6.4068837,",0.05746084,-,jogging,-,30s,(including,gravity).
"881324204000,","-1.2545617,","6.6846113,",0.4405331,-,jogging,-,30s,(including,gravity).
"881334022000,","-1.7717092,","7.4124484,",0.7469909,-,jogging,-,30s,(including,gravity).
"881349043000,","-2.6240451,","9.940725,",0.9864111,-,jogging,-,30s,(including,gravity).
"881358987000,","-2.7581203,","11.032481,",1.3982137,-,jogging,-,30s,(including,gravity).
"881369706000,","-2.815581,","11.856087,",1.7908629,-,jogging,-,30s,(including,gravity).
"881382268000,","-2.9783869,","12.449849,",1.9440918,-,jogging,-,30s,(including,gravity).
"881393016000,","-3.3039982,","13.034034,",2.2409728,-,jogging,-,30s,(including,gravity).
"881402371000,","-3.6583402,","13.723564,",2.681506,-,jogging,-,30s,(including,gravity).
"881415508000,","-4.0892963,","14.642938,",3.2273839,-,jogging,-,30s,(including,gravity).
"881425986000,","-3.7924154,","14.595054,",2.9400797,-,jogging,-,30s,(including,gravity).
"881438329000,","-3.1794999,","14.173674,",2.4899697,-,jogging,-,30s,(including,gravity).
"881449230000,","-2.4037786,","13.599066,",2.0015526,-,jogging,-,30s,(including,gravity).
"881459524000,","-1.7142484,","12.794614,",1.6376339,-,jogging,-,30s,(including,gravity).
"881471913000,","-1.2737153,","11.827356,",1.3982137,-,jogging,-,30s,(including,gravity).
"881482371000,","-1.2066777,","10.783484,",1.2545617,-,jogging,-,30s,(including,gravity).
"881492968000,","-1.4460979,","9.730036,",0.92895025,-,jogging,-,30s,(including,gravity).
"881502433000,","-1.7238252,","8.762778,",0.7086837,-,jogging,-,30s,(including,gravity).
"881514304000,","-1.9440918,","8.101978,",0.6703765,-,jogging,-,30s,(including,gravity).
"881524553000,","-1.4077905,","7.1059904,",0.7757214,-,jogging,-,30s,(including,gravity).
"881534252000,","-0.61291564,","7.0581064,",0.20111294,-,jogging,-,30s,(including,gravity).
"881544316000,","0.25857377,","7.4124484,",-0.82360536,-,jogging,-,30s,(including,gravity).
"881557524000,","0.641646,","8.054094,",-2.327164,-,jogging,-,30s,(including,gravity).
"881568199000,","1.043872,","8.714894,",-2.815581,-,jogging,-,30s,(including,gravity).
"881580620000,","1.340753,","9.222465,",-2.4899697,-,jogging,-,30s,(including,gravity).
"881592031000,","1.3694834,","9.931149,",-1.5610195,-,jogging,-,30s,(including,gravity).
"881603729000,","0.7469909,","10.352529,",-0.92895025,-,jogging,-,30s,(including,gravity).
"881614539000,","1.0821792,","10.419566,",-0.8714894,-,jogging,-,30s,(including,gravity).
"881625187000,","1.8387469,","10.658986,",-1.0534488,-,jogging,-,30s,(including,gravity).
"881636844000,","2.6527755,","11.501745,",-1.4556746,-,jogging,-,30s,(including,gravity).
"881649542000,","3.2369606,","13.110648,",-1.5705963,-,jogging,-,30s,(including,gravity).
"881659481000,","3.2561142,","15.093047,",-0.94810385,-,jogging,-,30s,(including,gravity).
"881670496000,","2.6527755,","16.960526,",-0.5650316,-,jogging,-,30s,(including,gravity).
"881681454000,","1.5514427,","18.119318,",0.1436521,-,jogging,-,30s,(including,gravity).
"881691508000,","-0.08619126,","18.157625,",2.2218192,-,jogging,-,30s,(including,gravity).
"881703098000,","-0.47884035,","17.697939,",2.9975405,-,jogging,-,30s,(including,gravity).
"881713732000,","-0.641646,","17.228676,",3.6966474,-,jogging,-,30s,(including,gravity).
"881724081000,","-0.7182605,","16.654066,",4.223372,-,jogging,-,30s,(including,gravity).
"881733975000,","-0.9768343,","15.907076,",4.510676,-,jogging,-,30s,(including,gravity).
"881744807000,","-1.4460979,","14.891934,",4.606444,-,jogging,-,30s,(including,gravity).
"881757551000,","-1.9632454,","13.67568,",4.232949,-,jogging,-,30s,(including,gravity).
"881768470000,","-2.1930888,","12.315774,",3.4572272,-,jogging,-,30s,(including,gravity).
"881781980000,","-1.541866,","9.442732,",2.0015526,-,jogging,-,30s,(including,gravity).
"881791703000,","-1.2354081,","7.9104424,",1.9249382,-,jogging,-,30s,(including,gravity).
"881802770000,","-0.7086837,","6.157887,",2.030283,-,jogging,-,30s,(including,gravity).
"881817143000,","-0.32561144,","4.76925,",2.1739352,-,jogging,-,30s,(including,gravity).
"881828933000,","-0.12449849,","3.3135753,",2.087744,-,jogging,-,30s,(including,gravity).
"881848810000,","0.10534488,","-0.40222588,",1.1587936,-,jogging,-,30s,(including,gravity).
"881858893000,","-0.009576807,","-1.2066777,",0.12449849,-,jogging,-,30s,(including,gravity).
"881868997000,","-0.1436521,","-1.340753,",-1.3694834,-,jogging,-,30s,(including,gravity).
"881892105000,","0.38307226,","0.58418524,",-3.6487634,-,jogging,-,30s,(including,gravity).
"881903173000,","0.7565677,","1.6950948,",-3.265691,-,jogging,-,30s,(including,gravity).
"881914186000,","1.5897499,","3.083732,",-1.4269443,-,jogging,-,30s,(including,gravity).
"881930910000,","1.0055647,","6.579266,",2.566584,-,jogging,-,30s,(including,gravity).
"881942315000,","-1.0534488,","6.1195793,",2.4708161,-,jogging,-,30s,(including,gravity).
"881952322000,","-2.336741,","5.391742,",0.11492168,-,jogging,-,30s,(including,gravity).
"881962844000,","-1.3311762,","4.2521024,",-2.2026656,-,jogging,-,30s,(including,gravity).
"881972220000,","0.842759,","4.510676,",-2.3463178,-,jogging,-,30s,(including,gravity).
"881982057000,","1.8962077,","6.5984197,",-0.63206923,-,jogging,-,30s,(including,gravity).
"881991876000,","2.777274,","11.329363,",0.545878,-,jogging,-,30s,(including,gravity).
"882001979000,","3.3135753,","15.437813,",-1.532289,-,jogging,-,30s,(including,gravity).
"882013205000,","2.030283,","17.48725,",-2.2026656,-,jogging,-,30s,(including,gravity).
"882022284000,","-0.32561144,","16.634912,",-2.9113493,-,jogging,-,30s,(including,gravity).
"882032440000,","-1.8291701,","14.81532,",-2.585738,-,jogging,-,30s,(including,gravity).
"882042626000,","-1.8866309,","14.5088625,",-1.1683705,-,jogging,-,30s,(including,gravity).
"882052743000,","-0.92895025,","16.050728,",0.63206923,-,jogging,-,30s,(including,gravity).
"882065450000,","-2.9975405,","18.53112,",3.3423057,-,jogging,-,30s,(including,gravity).
"882074771000,","-2.9975405,","18.53112,",3.3423057,-,jogging,-,30s,(including,gravity).
"882085225000,","-7.967903,","19.230228,",2.4516625,-,jogging,-,30s,(including,gravity).
"882097405000,","-8.082825,","19.13446,",2.0973208,-,jogging,-,30s,(including,gravity).
"882106748000,","-6.5218053,","19.325996,",2.3654714,-,jogging,-,30s,(including,gravity).
"882117503000,","-4.644751,","19.37388,",2.8060043,-,jogging,-,30s,(including,gravity).
"882131174000,","-3.1603463,","18.138472,",2.6431987,-,jogging,-,30s,(including,gravity).
"882144474000,","-2.27928,","12.076353,",1.1587936,-,jogging,-,30s,(including,gravity).
"882161640000,","-1.685518,","8.935161,",1.0821792,-,jogging,-,30s,(including,gravity).
"882173443000,","-0.78529817,","6.3206925,",0.7757214,-,jogging,-,30s,(including,gravity).
"882182896000,","0.38307226,","4.357447,",0.29688102,-,jogging,-,30s,(including,gravity).
"882193811000,","2.2409728,","2.4612393,",-0.24899697,-,jogging,-,30s,(including,gravity).
"882206349000,","2.815581,","2.873042,",-0.2777274,-,jogging,-,30s,(including,gravity).
"882217894000,","3.1316159,","3.916914,",-0.095768064,-,jogging,-,30s,(including,gravity).
"882228122000,","3.1316159,","4.960786,",0.18195933,-,jogging,-,30s,(including,gravity).
"882238011000,","2.633622,","5.4204726,",0.19153613,-,jogging,-,30s,(including,gravity).
"882258266000,","1.8195933,","4.146757,",-0.095768064,-,jogging,-,30s,(including,gravity).
"882268383000,","1.4556746,","3.074155,",-0.06703765,-,jogging,-,30s,(including,gravity).
"882278703000,","0.6703765,","1.9440918,",-0.15322891,-,jogging,-,30s,(including,gravity).
"882288700000,","-0.59376204,","0.9768343,",-0.34476504,-,jogging,-,30s,(including,gravity).
"882298760000,","-2.0111294,","0.18195933,",-0.34476504,-,jogging,-,30s,(including,gravity).
"882309320000,","-2.9400797,","-0.41180268,",-0.047884032,-,jogging,-,30s,(including,gravity).
"882319290000,","-3.074155,","-0.39264908,",0.4213795,-,jogging,-,30s,(including,gravity).
"882331460000,","-2.873042,","0.2777274,",0.38307226,-,jogging,-,30s,(including,gravity).
"882340356000,","-2.4037786,","1.1875241,",-0.6607997,-,jogging,-,30s,(including,gravity).
"882352277000,","-0.02873042,","4.6351743,",-2.873042,-,jogging,-,30s,(including,gravity).
"882362161000,","1.8866309,","8.743625,",-2.5091233,-,jogging,-,30s,(including,gravity).
"882372358000,","2.3080103,","14.144943,",-0.32561144,-,jogging,-,30s,(including,gravity).
"882382597000,","3.0550013,","16.845604,",0.7469909,-,jogging,-,30s,(including,gravity).
"882392198000,","4.663905,","18.195932,",-3.074155,-,jogging,-,30s,(including,gravity).
"882402410000,","5.1906295,","18.86631,",-2.0590134,-,jogging,-,30s,(including,gravity).
"882413398000,","6.0142345,","19.201498,",-2.0685902,-,jogging,-,30s,(including,gravity).
"882422654000,","5.592855,","19.37388,",-0.5650316,-,jogging,-,30s,(including,gravity).
"882432519000,","3.8402996,","19.460072,",1.8387469,-,jogging,-,30s,(including,gravity).
"882442666000,","1.7142484,","19.498379,",4.003105,-,jogging,-,30s,(including,gravity).
"882453861000,","0.05746084,","19.517532,",5.650316,-,jogging,-,30s,(including,gravity).
"882465184000,","-0.59376204,","19.52711,",5.889736,-,jogging,-,30s,(including,gravity).
"882476694000,","-0.6703765,","19.52711,",5.6215854,-,jogging,-,30s,(including,gravity).
"882486778000,","-0.47884035,","17.697939,",4.8267107,-,jogging,-,30s,(including,gravity).
"882505742000,","0.18195933,","12.516887,",1.733402,-,jogging,-,30s,(including,gravity).
"882516433000,","0.019153614,","8.762778,",-0.02873042,-,jogging,-,30s,(including,gravity).
"882532390000,","-0.9864111,","1.0534488,",-1.3790601,-,jogging,-,30s,(including,gravity).
"882542817000,","-1.484405,","-0.6607997,",-1.4652514,-,jogging,-,30s,(including,gravity).
"882552376000,","-1.3982137,","-1.2449849,",-1.1013328,-,jogging,-,30s,(including,gravity).
"882563450000,","-1.340753,","-1.6472107,",-0.8810662,-,jogging,-,30s,(including,gravity).
"882572178000,","-1.3215994,","-2.0207062,",-0.6607997,-,jogging,-,30s,(including,gravity).
"882582420000,","-1.3790601,","-2.2218192,",-0.4309563,-,jogging,-,30s,(including,gravity).
"882592311000,","-1.283292,","-2.183512,",0.019153614,-,jogging,-,30s,(including,gravity).
"882605891000,","-1.043872,","-1.9728222,",0.39264908,-,jogging,-,30s,(including,gravity).
"882619196000,","-0.49799395,","-0.7374141,",0.1340753,-,jogging,-,30s,(including,gravity).
"882632007000,","-0.34476504,","0.16280572,",-0.51714754,-,jogging,-,30s,(including,gravity).
"882642046000,","-0.08619126,","0.9768343,",-1.0726024,-,jogging,-,30s,(including,gravity).
"882652285000,","0.47884035,","1.541866,",-1.1875241,-,jogging,-,30s,(including,gravity).
"882661782000,","1.0821792,","2.0015526,",-0.5554548,-,jogging,-,30s,(including,gravity).
"882671586000,","1.6089035,","3.122039,",0.5650316,-,jogging,-,30s,(including,gravity).
"882681833000,","1.1109096,","4.960786,",1.9919758,-,jogging,-,30s,(including,gravity).
"882691891000,","-0.45968673,","5.439626,",3.7828386,-,jogging,-,30s,(including,gravity).
"882703258000,","-1.8291701,","4.6255975,",3.1124623,-,jogging,-,30s,(including,gravity).
"882713760000,","-2.9400797,","2.7389667,",0.91937345,-,jogging,-,30s,(including,gravity).
"882723003000,","-1.484405,","2.327164,",-1.8195933,-,jogging,-,30s,(including,gravity).
"882733850000,","2.8921957,","3.5817258,",-3.8019924,-,jogging,-,30s,(including,gravity).
"882743152000,","7.7093296,","11.549629,",5.209783,-,jogging,-,30s,(including,gravity).
"882754029000,","8.599973,","15.543158,",2.96881,-,jogging,-,30s,(including,gravity).
"882764501000,","-8.2169,","16.577452,",1.8387469,-,jogging,-,30s,(including,gravity).
"882774120000,","-11.204864,","12.765883,",0.47884035,-,jogging,-,30s,(including,gravity).
"882784879000,","-8.944737,","11.712435,",-0.60333884,-,jogging,-,30s,(including,gravity).
"882794314000,","-5.104438,","12.842498,",-0.33518824,-,jogging,-,30s,(including,gravity).
"882807280000,","-2.432509,","15.945383,",-0.019153614,-,jogging,-,30s,(including,gravity).
"882817489000,","-0.46926352,","17.745823,",0.1340753,-,jogging,-,30s,(including,gravity).
"882827685000,","0.095768064,","18.646044,",1.13964,-,jogging,-,30s,(including,gravity).
"882840419000,","-1.1875241,","19.096153,",2.0685902,-,jogging,-,30s,(including,gravity).
"882851561000,","-2.5570073,","19.31642,",1.7429788,-,jogging,-,30s,(including,gravity).
"882863073000,","-2.920926,","18.818426,",1.7046716,-,jogging,-,30s,(including,gravity).
"882873864000,","-0.16280572,","19.230228,",1.7621324,-,jogging,-,30s,(including,gravity).
"882883325000,","1.3599066,","18.952501,",1.733402,-,jogging,-,30s,(including,gravity).
"882894368000,","3.3039982,","16.701952,",2.681506,-,jogging,-,30s,(including,gravity).
"882907879000,","3.5338416,","12.660539,",3.6774938,-,jogging,-,30s,(including,gravity).
"882919296000,","1.8291701,","8.7532015,",3.2561142,-,jogging,-,30s,(including,gravity).
"882931880000,","-1.7429788,","3.0550013,",1.3120226,-,jogging,-,30s,(including,gravity).
"882943229000,","-2.5187001,","1.0151415,",0.89064306,-,jogging,-,30s,(including,gravity).
"882953645000,","-2.3942018,","-0.50757074,",0.5267244,-,jogging,-,30s,(including,gravity).
"882964940000,","-1.7046716,","-1.3982137,",0.20111294,-,jogging,-,30s,(including,gravity).
"882976978000,","-0.92895025,","-1.6472107,",0.10534488,-,jogging,-,30s,(including,gravity).
"882987500000,","-0.2777274,","-1.2545617,",0.45010993,-,jogging,-,30s,(including,gravity).
"882998135000,","0.11492168,","-0.35434186,",1.2258313,-,jogging,-,30s,(including,gravity).
"883008261000,","0.095768064,","0.60333884,",1.6472107,-,jogging,-,30s,(including,gravity).
"883018674000,","-0.20111294,","1.4748282,",1.2354081,-,jogging,-,30s,(including,gravity).
"883029538000,","-0.545878,","1.9440918,",0.50757074,-,jogging,-,30s,(including,gravity).
"883040314000,","-0.8714894,","1.6472107,",0.16280572,-,jogging,-,30s,(including,gravity).
"883053541000,","-0.7757214,","1.2449849,",0.40222588,-,jogging,-,30s,(including,gravity).
"883064649000,","-0.48841715,","1.0055647,",0.61291564,-,jogging,-,30s,(including,gravity).
"883075754000,","0.019153614,","0.94810385,",0.641646,-,jogging,-,30s,(including,gravity).
"883086449000,","0.34476504,","1.091756,",-0.06703765,-,jogging,-,30s,(including,gravity).
"883098748000,","0.019153614,","1.6759412,",-1.2737153,-,jogging,-,30s,(including,gravity).
"883108773000,","-0.31603462,","5.3342814,",-4.663905,-,jogging,-,30s,(including,gravity).
"883118873000,","0.80445176,","10.457873,",-4.2999864,-,jogging,-,30s,(including,gravity).
"883132140000,","0.18195933,","14.997279,",-0.1340753,-,jogging,-,30s,(including,gravity).
"883142700000,","-0.05746084,","17.266983,",-2.3175871,-,jogging,-,30s,(including,gravity).
"883153316000,","3.016694,","18.406622,",-2.9879637,-,jogging,-,30s,(including,gravity).
"883163220000,","6.799533,","18.971655,",-2.528277,-,jogging,-,30s,(including,gravity).
"883173407000,","8.829816,","19.258959,",-2.0207062,-,jogging,-,30s,(including,gravity).
"883183322000,","8.465898,","19.40261,",-0.32561144,-,jogging,-,30s,(including,gravity).
"883193626000,","6.3685765,","19.469648,",1.6184803,-,jogging,-,30s,(including,gravity).
"883206330000,","3.715801,","19.507956,",3.371036,-,jogging,-,30s,(including,gravity).
"883219106000,","-0.41180268,","19.536686,",5.2863975,-,jogging,-,30s,(including,gravity).
"883228823000,","-1.6663644,","18.435352,",4.453215,-,jogging,-,30s,(including,gravity).
"883238644000,","-1.6089035,","16.472107,",3.3135753,-,jogging,-,30s,(including,gravity).
"883248806000,","-0.7086837,","14.30775,",1.9919758,-,jogging,-,30s,(including,gravity).
"883259299000,","-0.02873042,","11.798626,",0.6799533,-,jogging,-,30s,(including,gravity).
"883270542000,","-0.038307227,","8.90643,",-0.49799395,-,jogging,-,30s,(including,gravity).
"883282712000,","-0.30645782,","5.4683566,",-1.4748282,-,jogging,-,30s,(including,gravity).
"883293896000,","-0.93852705,","1.0151415,",-2.6623523,-,jogging,-,30s,(including,gravity).
"883305984000,","-0.7086837,","-2.6431987,",-1.7908629,-,jogging,-,30s,(including,gravity).
"883317898000,","-0.60333884,","-2.5474305,",-1.541866,-,jogging,-,30s,(including,gravity).
"883332286000,","-0.6991069,","-2.432509,",-1.2449849,-,jogging,-,30s,(including,gravity).
"883341993000,","-0.6799533,","-2.2505496,",-0.59376204,-,jogging,-,30s,(including,gravity).
"883352495000,","-0.45010993,","-2.3463178,",0.02873042,-,jogging,-,30s,(including,gravity).
"883363902000,","-0.38307226,","-2.4995465,",0.51714754,-,jogging,-,30s,(including,gravity).
"883373338000,","-0.47884035,","-2.2505496,",0.51714754,-,jogging,-,30s,(including,gravity).
"883383615000,","-0.81402856,","-1.3790601,",0.047884032,-,jogging,-,30s,(including,gravity).
"883393670000,","-1.1587936,","-0.41180268,",-0.45968673,-,jogging,-,30s,(including,gravity).
"883408318000,","-0.47884035,","1.541866,",-0.9864111,-,jogging,-,30s,(including,gravity).
"883418452000,","0.5363012,","2.5091233,",-0.33518824,-,jogging,-,30s,(including,gravity).
"883430844000,","1.532289,","4.5681367,",1.4173675,-,jogging,-,30s,(including,gravity).
"883442492000,","1.6376339,","7.019799,",3.6104562,-,jogging,-,30s,(including,gravity).
"883453835000,","-0.11492168,","7.73806,",1.283292,-,jogging,-,30s,(including,gravity).
"883464014000,","-0.41180268,","8.724471,",2.2122424,-,jogging,-,30s,(including,gravity).
"883473819000,","0.8331822,","9.864111,",-0.6895301,-,jogging,-,30s,(including,gravity).
"883486035000,","2.6240451,","14.700398,",0.1340753,-,jogging,-,30s,(including,gravity).
"883497699000,","0.6512229,","14.614207,",0.91937345,-,jogging,-,30s,(including,gravity).
"883508231000,","-2.2409728,","14.106636,",-0.21068975,-,jogging,-,30s,(including,gravity).
"883518380000,","-3.3614593,","13.148955,",-2.4516625,-,jogging,-,30s,(including,gravity).
"883532063000,","-3.6487634,","13.110648,",-2.480393,-,jogging,-,30s,(including,gravity).
"883542446000,","-4.0892963,","15.974113,",-1.4077905,-,jogging,-,30s,(including,gravity).
"883552795000,","-3.4763808,","17.7554,",0.37349546,-,jogging,-,30s,(including,gravity).
"883566999000,","-3.1603463,","18.646044,",1.6472107,-,jogging,-,30s,(including,gravity).
"883577594000,","-3.620033,","19.096153,",1.8770541,-,jogging,-,30s,(including,gravity).
"883588555000,","-5.00867,","19.31642,",1.8674773,-,jogging,-,30s,(including,gravity).
"883599993000,","-6.7708025,","19.431341,",2.183512,-,jogging,-,30s,(including,gravity).
"883613075000,","-4.644751,","19.517532,",3.2752678,-,jogging,-,30s,(including,gravity).
"883623459000,","-2.2505496,","19.40261,",3.3806129,-,jogging,-,30s,(including,gravity).
"883634845000,","0.4213795,","17.563864,",3.2465374,-,jogging,-,30s,(including,gravity).
"883649076000,","2.3558946,","14.949395,",3.1124623,-,jogging,-,30s,(including,gravity).
"883658580000,","2.3463178,","11.808203,",2.5378537,-,jogging,-,30s,(including,gravity).
"883669212000,","0.9864111,","8.475474,",1.388637,-,jogging,-,30s,(including,gravity).
"883680631000,","-0.7469909,","3.6870706,",0.37349546,-,jogging,-,30s,(including,gravity).
"883691958000,","-0.47884035,","2.1930888,",-0.06703765,-,jogging,-,30s,(including,gravity).
"883702787000,","0.31603462,","1.3503298,",-0.48841715,-,jogging,-,30s,(including,gravity).
"883712826000,","1.2545617,","1.1779473,",-0.4309563,-,jogging,-,30s,(including,gravity).
"883722745000,","1.9536686,","1.2449849,",0.076614454,-,jogging,-,30s,(including,gravity).
"883734499000,","2.4133554,","1.292869,",0.62249243,-,jogging,-,30s,(including,gravity).
"883752362000,","1.733402,","1.0534488,",0.641646,-,jogging,-,30s,(including,gravity).
"883762894000,","0.58418524,","1.0534488,",0.2777274,-,jogging,-,30s,(including,gravity).
"883778439000,","-0.8523358,","0.9672575,",0.22984336,-,jogging,-,30s,(including,gravity).
"883790341000,","-2.930503,","1.0055647,",0.5363012,-,jogging,-,30s,(including,gravity).
"883799457000,","-2.72939,","1.4077905,",0.7469909,-,jogging,-,30s,(including,gravity).
"883809484000,","-1.8579005,","2.2409728,",0.4309563,-,jogging,-,30s,(including,gravity).
"883819658000,","-1.1683705,","3.1603463,",-0.4309563,-,jogging,-,30s,(including,gravity).
"883830624000,","-1.1492168,","4.1946416,",-2.231396,-,jogging,-,30s,(including,gravity).
"883841867000,","-0.58418524,","6.2728086,",-4.0892963,-,jogging,-,30s,(including,gravity).
"883851881000,","1.4077905,","10.6398325,",-4.8458643,-,jogging,-,30s,(including,gravity).
"883861916000,","2.0973208,","15.093047,",-2.1643584,-,jogging,-,30s,(including,gravity).
"883872010000,","2.2505496,","17.314867,",-2.566584,-,jogging,-,30s,(including,gravity).
"883881820000,","4.1659107,","18.425776,",-3.916914,-,jogging,-,30s,(including,gravity).
"883892028000,","6.14831,","18.981232,",-3.2848446,-,jogging,-,30s,(including,gravity).
"883901984000,","7.52737,","19.258959,",-3.0071173,-,jogging,-,30s,(including,gravity).
